auroc_target_skip,average_precision_target_skip,false_skip_new_max,false_skip_rate,group,jaccard,mutual_information_skip_nats,p_target_keep_given_source_skip,p_target_skip_given_source_skip,pearson_log_score,skip_mask_agreement,skip_precision,skip_recall,source_skip_tiles,spearman_log_score,target_skip_tiles,tiles,value
0.7586234479426159,0.023565392076857067,46,0.9387755102040817,global,0.030303030303030304,0.0005658880411296923,0.9387755102040817,0.061224489795918366,0.2714911562650943,0.9835390946502057,0.061224489795918366,0.05660377358490566,49,0.2845926279848443,53,5832,all
nan,nan,0,nan,noise_bucket,nan,0.0,nan,nan,0.2748209725861012,1.0,nan,nan,0,0.28702002993622316,0,1944,high
0.7655478283427956,0.0700036896049185,46,0.9387755102040817,noise_bucket,0.030303030303030304,0.0004218885795169594,0.9387755102040817,0.061224489795918366,0.2694916484204716,0.9506172839506173,0.061224489795918366,0.05660377358490566,49,0.28053901628761196,53,1944,low
nan,nan,0,nan,noise_bucket,nan,0.0,nan,nan,0.2702390755957501,1.0,nan,nan,0,0.28670014797631305,0,1944,mid
0.7512642634854771,0.020311226736814843,17,1.0,layer,0.0,7.259113148068422e-05,1.0,0.0,0.2732672970733055,0.9830246913580247,0.0,0.0,17,0.28723643827305856,16,1944,0
0.7541438993864281,0.02381194243760515,15,0.9375,layer,0.03125,0.00059304880087902,0.9375,0.0625,0.27338964043630987,0.9840534979423868,0.0625,0.058823529411764705,16,0.2845982278123946,17,1944,1
0.7689838877338877,0.03585351783709563,14,0.875,layer,0.058823529411764705,0.001727645602574614,0.875,0.125,0.2678414164535974,0.9835390946502057,0.125,0.1,16,0.2828846526798892,20,1944,2
0.7603734439834025,0.019590785204034192,7,1.0,head,0.0,5.973432030517782e-05,1.0,0.0,0.2594856316369749,0.9845679012345679,0.0,0.0,7,0.26953544104370436,8,972,1
0.6865017361111111,0.02996977637267889,15,1.0,head,0.0,9.622682401973811e-05,1.0,0.0,0.26699809891673476,0.9799382716049383,0.0,0.0,15,0.275404497250966,24,1944,2
0.839608520437536,0.02727544169815277,24,0.8888888888888888,head,0.06666666666666667,0.0019735916787054007,0.8888888888888888,0.1111111111111111,0.28093896801569046,0.98559670781893,0.1111111111111111,0.14285714285714285,27,0.28617672349873985,21,2916,3
0.7603734439834025,0.019590785204034192,7,1.0,kv_group,0.0,5.973432030517782e-05,1.0,0.0,0.2594856316369749,0.9845679012345679,0.0,0.0,7,0.26953544104370436,8,972,1
0.6865017361111111,0.02996977637267889,15,1.0,kv_group,0.0,9.622682401973811e-05,1.0,0.0,0.26699809891673476,0.9799382716049383,0.0,0.0,15,0.275404497250966,24,1944,2
0.839608520437536,0.02727544169815277,24,0.8888888888888888,kv_group,0.06666666666666667,0.0019735916787054007,0.8888888888888888,0.1111111111111111,0.28093896801569046,0.98559670781893,0.1111111111111111,0.14285714285714285,27,0.28617672349873985,21,2916,3
0.7586234479426159,0.023565392076857067,46,0.9387755102040817,diffusion_block,0.030303030303030304,0.0005658880411296923,0.9387755102040817,0.061224489795918366,0.2714911562650943,0.9835390946502057,0.061224489795918366,0.05660377358490566,49,0.2845926279848443,53,5832,0
0.7586234479426159,0.023565392076857067,46,0.9387755102040817,sequence_length,0.030303030303030304,0.0005658880411296923,0.9387755102040817,0.061224489795918366,0.2714911562650943,0.9835390946502057,0.061224489795918366,0.05660377358490566,49,0.2845926279848443,53,5832,48
0.6082858021107278,0.024122075210808506,45,0.9574468085106383,region,0.02197802197802198,0.0002366859446182792,0.9574468085106383,0.0425531914893617,0.09491495911425198,0.9656635802469136,0.0425531914893617,0.043478260869565216,47,0.13204723168509686,46,2592,is_local
nan,nan,0,nan,region,nan,0.0,nan,nan,0.1619371074444076,1.0,nan,nan,0,0.15405833902002333,0,2916,is_distant
0.502204356846473,0.016071430591849865,13,1.0,region,0.0,0.00011128250867254167,1.0,0.0,-0.010234316087999951,0.9783950617283951,0.0,0.0,13,-0.01835069543674104,8,972,is_diagonal
0.554936835106383,0.04545907812986632,13,0.8125,region,0.06666666666666667,0.0031460274968442333,0.8125,0.1875,-0.09803777520352115,0.9567901234567902,0.1875,0.09375,16,-0.07512216143062048,32,972,is_sink
0.6583208338140841,0.01296816011490954,21,1.0,source_head,0.0,6.723606889927472e-05,1.0,0.0,0.275017328250381,0.9835390946502057,0.0,0.0,21,0.26441432442449536,27,2916,head:0
0.8332057416267943,0.05290323563619089,14,0.875,source_head,0.06060606060606061,0.0017795688884490444,0.875,0.125,0.30763387653767765,0.9840534979423868,0.125,0.10526315789473684,16,0.3475713596768615,19,1944,head:1
0.9113249444855662,0.04375668017209241,11,0.9166666666666666,source_head,0.05555555555555555,0.0016816539063696165,0.9166666666666666,0.08333333333333333,0.18299398821981283,0.9825102880658436,0.08333333333333333,0.14285714285714285,12,0.18905476832679893,7,972,head:2
