auroc_target_skip,average_precision_target_skip,false_skip_new_max,false_skip_rate,group,jaccard,mutual_information_skip_nats,p_target_keep_given_source_skip,p_target_skip_given_source_skip,pearson_log_score,skip_mask_agreement,skip_precision,skip_recall,source_skip_tiles,spearman_log_score,target_skip_tiles,tiles,value
0.9897553235524077,0.5124663530262783,0,nan,global,0.0,0.0,nan,nan,0.9903225399024007,0.9868827160493827,nan,0.0,0,0.9885715877234866,34,2592,all
0.9952456418383518,0.8566114594286287,0,nan,noise_bucket,0.0,0.0,nan,nan,0.9901629281775773,0.9737654320987654,nan,0.0,0,0.9886541588446337,34,1296,low
nan,nan,0,nan,noise_bucket,nan,0.0,nan,nan,0.9904932748358815,1.0,nan,nan,0,0.9884708120177286,0,1296,mid
0.9901950335713524,0.5734775202624426,0,nan,layer,0.0,0.0,nan,nan,0.9945130968548773,0.9872685185185185,nan,0.0,0,0.9935002768138056,11,864,0
0.9892358520728978,0.45286142654563705,0,nan,layer,0.0,0.0,nan,nan,0.991847845391638,0.9872685185185185,nan,0.0,0,0.9900519033923033,11,864,1
0.9892410015649452,0.5751330732275854,0,nan,layer,0.0,0.0,nan,nan,0.9846714786618883,0.9861111111111112,nan,0.0,0,0.9817101627639456,12,864,2
0.9868509026075328,0.4552564987347596,0,nan,head,0.0,0.0,nan,nan,0.989040217579874,0.9891975308641975,nan,0.0,0,0.9831318580196321,7,648,0
0.9935546875,0.75867673992674,0,nan,head,0.0,0.0,nan,nan,0.9916416924400419,0.9876543209876543,nan,0.0,0,0.9893950253601693,8,648,1
0.9891247379454927,0.4900625958298592,0,nan,head,0.0,0.0,nan,nan,0.989356869701484,0.9814814814814815,nan,0.0,0,0.987679427341429,12,648,2
0.9897481613550256,0.5436696900982615,0,nan,head,0.0,0.0,nan,nan,0.9903609978637664,0.9891975308641975,nan,0.0,0,0.9881804197621468,7,648,3
0.9868509026075328,0.4552564987347596,0,nan,kv_group,0.0,0.0,nan,nan,0.989040217579874,0.9891975308641975,nan,0.0,0,0.9831318580196321,7,648,0
0.9935546875,0.75867673992674,0,nan,kv_group,0.0,0.0,nan,nan,0.9916416924400419,0.9876543209876543,nan,0.0,0,0.9893950253601693,8,648,1
0.9891247379454927,0.4900625958298592,0,nan,kv_group,0.0,0.0,nan,nan,0.989356869701484,0.9814814814814815,nan,0.0,0,0.987679427341429,12,648,2
0.9897481613550256,0.5436696900982615,0,nan,kv_group,0.0,0.0,nan,nan,0.9903609978637664,0.9891975308641975,nan,0.0,0,0.9881804197621468,7,648,3
0.9897553235524077,0.5124663530262783,0,nan,diffusion_block,0.0,0.0,nan,nan,0.9903225399024007,0.9868827160493827,nan,0.0,0,0.9885715877234866,34,2592,0
0.9897553235524077,0.5124663530262783,0,nan,sequence_length,0.0,0.0,nan,nan,0.9903225399024007,0.9868827160493827,nan,0.0,0,0.9885715877234866,34,2592,48
0.9797703663203936,0.5379341300882443,0,nan,region,0.0,0.0,nan,nan,0.9871524930207227,0.9730902777777778,nan,0.0,0,0.9832199268506915,31,1152,is_local
nan,nan,0,nan,region,nan,0.0,nan,nan,0.9900383435313739,1.0,nan,nan,0,0.989930292753319,0,1296,is_distant
0.9757983193277311,0.546156263091747,0,nan,region,0.0,0.0,nan,nan,0.9872228837967671,0.9837962962962963,nan,0.0,0,0.9802531187355138,7,432,is_diagonal
0.97265625,0.4909563451865281,0,nan,region,0.0,0.0,nan,nan,0.9878866115667877,0.9629629629629629,nan,0.0,0,0.977216396454647,16,432,is_sink
