representation,sources,layers,physical_tiles,pre_qk_sparsity,qk_tile_mmas_avoided,qk_flops_avoided,estimated_k_tile_hbm_bytes_avoided,downstream_blasst_sparsity,metadata_bytes_per_target_tile,metadata_bytes_loaded,previous_step_cache_bytes,predictor_operations_per_tile,hbm_break_even_pre_qk_sparsity,net_k_metadata_bytes_saved,net_k_traffic_saving_fraction,caveat
bit_mask,1,3,216,0.05,10.8,22118.4,1382.4,0.0,0.125,27.0,27.0,1,0.0009765625,1355.4,0.0490234375,analytical lower-bound traffic model; not a kernel speedup claim
log_score_q4,1,3,216,0.05,10.8,22118.4,1382.4,0.0,0.5,108.0,108.0,2,0.00390625,1274.4,0.04609375,analytical lower-bound traffic model; not a kernel speedup claim
log_score_q8,1,3,216,0.05,10.8,22118.4,1382.4,0.0,1.0,216.0,216.0,2,0.0078125,1166.4,0.0421875,analytical lower-bound traffic model; not a kernel speedup claim
score_fp16,1,3,216,0.05,10.8,22118.4,1382.4,0.0,2.0,432.0,432.0,2,0.015625,950.4000000000001,0.034375,analytical lower-bound traffic model; not a kernel speedup claim
