sequence_length,threshold_factor,sparsity_percent,dense_time_ms,time_ms,speedup
65536,0.0,0.0,227.132,227.132,1.0
65536,0.8,49.24,227.132,188.72940625,1.2034796511738615
65536,1.2,79.52,227.132,155.86303125,1.457253834847383
65536,2.0,89.84,227.132,149.796109375,1.5162743608473646
65536,4.0,96.19,227.132,145.40675,1.5620457784800226
