request_id,layer,step,mask_ratio,source,strategy,heads_per_group,window_size,baseline_physical_sparsity,physical_tile_sparsity,improvement,required_tile_reduction
context-0-regime-0,0,1,0.89,current,bitmap,1,256,0.00775146484375,0.02984619140625,0.0220947265625,0.022267330995878742
context-0-regime-0,0,1,0.89,current,bitmap,1,512,0.00775146484375,0.039093017578125,0.031341552734375,0.0315863935535462
context-0-regime-0,0,1,0.89,current,bitmap,1,1024,0.00775146484375,0.0435028076171875,0.0357513427734375,0.036030632958110376
context-0-regime-0,0,1,0.89,current,bitmap,1,4096,0.00775146484375,0.047760009765625,0.040008544921875,0.040321092452482055
context-0-regime-0,0,1,0.89,current,bitmap,2,512,0.00775146484375,0.0113372802734375,0.0035858154296875,0.003613827889524468
context-0-regime-0,0,1,0.89,current,bitmap,2,1024,0.00775146484375,0.01226806640625,0.0045166015625,0.004551885341698925
context-0-regime-0,0,1,0.89,current,bitmap,2,4096,0.00775146484375,0.0126800537109375,0.0049285888671875,0.004967091099218779
context-0-regime-0,0,1,0.89,current,bitmap,4,512,0.00775146484375,0.0081787109375,0.00042724609375,0.00043058374853910397
context-0-regime-0,0,1,0.89,current,bitmap,4,1024,0.00775146484375,0.007965087890625,0.000213623046875,0.00021529187426949647
context-0-regime-0,0,1,0.89,current,bitmap,4,4096,0.00775146484375,0.0082244873046875,0.0004730224609375,0.0004767177215968532
context-0-regime-0,0,1,0.89,current,bitmap,8,1024,0.00775146484375,0.0071868896484375,-0.0005645751953125,-0.0005689856677124627
context-0-regime-0,0,1,0.89,current,bitmap,8,4096,0.00775146484375,0.0072021484375,-0.00054931640625,-0.000553607676693213
context-0-regime-0,0,1,0.89,current,bitmap,32,1024,0.00775146484375,0.0071868896484375,-0.0005645751953125,-0.0005689856677124627
context-0-regime-0,0,1,0.89,current,bitmap,32,4096,0.00775146484375,0.0074615478515625,-0.0002899169921875,-0.0002921818293657452
context-0-regime-0,0,1,0.89,previous,bitmap,1,256,0.00775146484375,0.0227508544921875,0.0149993896484375,0.015116565171925944
context-0-regime-0,0,1,0.89,previous,bitmap,1,512,0.00775146484375,0.02880859375,0.02105712890625,0.021221627606569426
context-0-regime-0,0,1,0.89,previous,bitmap,1,1024,0.00775146484375,0.0307464599609375,0.0229949951171875,0.02317463246601459
context-0-regime-0,0,1,0.89,previous,bitmap,1,4096,0.00775146484375,0.032623291015625,0.024871826171875,0.02506612536138275
context-0-regime-0,0,1,0.89,previous,bitmap,2,512,0.00775146484375,0.010040283203125,0.002288818359375,0.0023066986528880173
context-0-regime-0,0,1,0.89,previous,bitmap,2,1024,0.00775146484375,0.010009765625,0.00225830078125,0.002275942670849518
context-0-regime-0,0,1,0.89,previous,bitmap,2,4096,0.00775146484375,0.010101318359375,0.002349853515625,0.0023682106169650163
context-0-regime-0,0,1,0.89,previous,bitmap,4,512,0.00775146484375,0.00732421875,-0.00042724609375,-0.00043058374853899295
context-0-regime-0,0,1,0.89,previous,bitmap,4,1024,0.00775146484375,0.007354736328125,-0.000396728515625,-0.00039982776650049345
