batch_size,block_size,scheduler,trial,request_id,block_index,prompt_id,prompt_difficulty,prompt_length_label,steps_needed,steps_executed,useful_token_steps,executed_token_steps,token_step_min,token_step_mean,token_step_max,block_internal_waste_ratio,latency_ms,tokens_generated
16,16,real_llada_confidence_cutoff,0,0,0,0,hard,very_short,2,16,31,256,1,1.9375,2,1.032258064516129,9933.81789499108,16
16,16,real_llada_confidence_cutoff,0,1,0,4,hard,short,2,16,31,256,1,1.9375,2,1.032258064516129,9933.81789499108,16
16,16,real_llada_confidence_cutoff,0,2,0,8,hard,medium,2,16,31,256,1,1.9375,2,1.032258064516129,9933.81789499108,16
16,16,real_llada_confidence_cutoff,0,3,0,12,hard,long,3,16,44,256,1,2.75,3,1.0909090909090908,9933.81789499108,16
16,16,real_llada_confidence_cutoff,0,4,0,1,hard,very_short,2,16,24,256,1,1.5,2,1.3333333333333333,9933.81789499108,16
16,16,real_llada_confidence_cutoff,0,5,0,5,hard,short,2,16,27,256,1,1.6875,2,1.1851851851851851,9933.81789499108,16
16,16,real_llada_confidence_cutoff,0,6,0,9,hard,medium,3,16,32,256,1,2.0,3,1.5,9933.81789499108,16
16,16,real_llada_confidence_cutoff,0,7,0,13,hard,long,16,16,136,256,1,8.5,16,1.8823529411764706,9933.81789499108,16
16,16,real_llada_confidence_cutoff,0,8,0,2,hard,very_short,2,16,31,256,1,1.9375,2,1.032258064516129,9933.81789499108,16
16,16,real_llada_confidence_cutoff,0,9,0,6,hard,short,2,16,31,256,1,1.9375,2,1.032258064516129,9933.81789499108,16
16,16,real_llada_confidence_cutoff,0,10,0,10,hard,medium,2,16,31,256,1,1.9375,2,1.032258064516129,9933.81789499108,16
16,16,real_llada_confidence_cutoff,0,11,0,14,hard,long,3,16,45,256,1,2.8125,3,1.0666666666666667,9933.81789499108,16
16,16,real_llada_confidence_cutoff,0,12,0,3,hard,very_short,2,16,31,256,1,1.9375,2,1.032258064516129,9933.81789499108,16
16,16,real_llada_confidence_cutoff,0,13,0,7,hard,short,2,16,23,256,1,1.4375,2,1.391304347826087,9933.81789499108,16
16,16,real_llada_confidence_cutoff,0,14,0,11,hard,medium,2,16,31,256,1,1.9375,2,1.032258064516129,9933.81789499108,16
16,16,real_llada_confidence_cutoff,0,15,0,15,hard,long,16,16,136,256,1,8.5,16,1.8823529411764706,9933.81789499108,16
