split,candidate,reference,count,candidate_correct,reference_correct,delta_pp,paired_ci95_pp,candidate_overall_sparsity_pct,reference_overall_sparsity_pct,overall_sparsity_gap_pp,candidate_global_sparsity_pct,reference_global_sparsity_pct,global_sparsity_gap_pp,candidate_local_sparsity_pct,reference_local_sparsity_pct,local_sparsity_gap_pp,within2pp_all_types
full,jl_gaussian_r8_s50,jl_gaussian_r32_s50,30,15.0,15.0,0.0,"[-16.666666666666664, 20.0]",50.78100792023631,50.66209872342243,0.11890919681387668,49.32274597912675,50.66969045007185,-1.346944470945094,51.14489286416355,50.66023008176459,0.4846627823989591,True
full,jl_gaussian_r8_s50,full_centered_s50,30,15.0,15.0,0.0,"[-16.666666666666664, 16.666666666666664]",50.78100792023631,51.30589972496203,-0.5248918047257245,49.32274597912675,51.42517710361238,-2.102431124485621,51.14489286416355,51.27643520296559,-0.13154233880203758,False
full,jl_gaussian_r16_s50,jl_gaussian_r32_s50,30,11.0,15.0,-13.333333333333334,"[-30.0, 0.0]",51.035903991754864,50.66209872342243,0.3738052683324278,50.68110430659818,50.66969045007185,0.0114138565263322,51.124969005702944,50.66023008176459,0.46473892393835703,True
full,jl_gaussian_r16_s50,full_centered_s50,30,11.0,15.0,-13.333333333333334,"[-33.33333333333333, 6.666666666666667]",51.035903991754864,51.30589972496203,-0.2699957332071734,50.68110430659818,51.42517710361238,-0.7440727970141947,51.124969005702944,51.27643520296559,-0.15146619726263966,True
full,jl_gaussian_r24_s50,jl_gaussian_r32_s50,30,16.0,15.0,3.3333333333333335,"[-16.666666666666664, 23.333333333333332]",50.67194813263354,50.66209872342243,0.009849409211104554,50.349125206864166,50.66969045007185,-0.3205652432076822,50.74933656191642,50.66023008176459,0.08910648015183487,True
full,jl_gaussian_r24_s50,full_centered_s50,30,16.0,15.0,3.3333333333333335,"[-13.333333333333334, 20.0]",50.67194813263354,51.30589972496203,-0.6339515923284966,50.349125206864166,51.42517710361238,-1.0760518967482091,50.74933656191642,51.27643520296559,-0.5270986410491618,True
full,jl_gaussian_r32_s50,full_centered_s50,30,15.0,15.0,0.0,"[-16.666666666666664, 16.666666666666664]",50.66209872342243,51.30589972496203,-0.6438010015396012,50.66969045007185,51.42517710361238,-0.7554866535405269,50.66023008176459,51.27643520296559,-0.6162051212009967,True
noncalibration24,jl_gaussian_r8_s50,jl_gaussian_r32_s50,24,13.0,12.0,4.166666666666667,"[-16.666666666666664, 25.0]",50.82641594057361,50.708548823676246,0.11786711689736329,49.4028637406139,51.06525350423654,-1.6623897636226348,51.183882626746744,50.62026517455297,0.5636174521937765,True
noncalibration24,jl_gaussian_r8_s50,full_centered_s50,24,13.0,12.0,4.166666666666667,"[-16.666666666666664, 25.0]",50.82641594057361,51.46903830931324,-0.6426223687396315,49.4028637406139,51.849038064604905,-2.446174323990996,51.183882626746744,51.37500798042136,-0.19112535367461492,False
noncalibration24,jl_gaussian_r16_s50,jl_gaussian_r32_s50,24,9.0,12.0,-12.5,"[-29.166666666666668, 4.166666666666666]",51.044619863892606,50.708548823676246,0.3360710402163569,50.50839535707957,51.06525350423654,-0.5568581471569689,51.17846992601767,50.62026517455297,0.5582047514646971,True
noncalibration24,jl_gaussian_r16_s50,full_centered_s50,24,9.0,12.0,-12.5,"[-37.5, 12.5]",51.044619863892606,51.46903830931324,-0.4244184454206379,50.50839535707957,51.849038064604905,-1.3406427075253302,51.17846992601767,51.37500798042136,-0.19653805440369432,True
noncalibration24,jl_gaussian_r24_s50,jl_gaussian_r32_s50,24,14.0,12.0,8.333333333333334,"[-12.5, 29.166666666666668]",50.790708738484206,50.708548823676246,0.08215991480795548,50.6286806864784,51.06525350423654,-0.4365728177581407,50.829536456999136,50.62026517455297,0.20927128244616622,True
