condition,id,task,canvas_index,iterations,stopped_natively,hit_cap,final_entropy,final_flips,dense_bootstrap_steps,generated_tokens,returned_tokens,eligible,skipped,global_eligible,global_skipped,local_eligible,local_skipped
unweighted_s70,ruler4k/ruler_4096_fwe_p0085,fwe,0,10,True,False,0.004458078183233738,0,0,16,16,256000,188608,104000,82406,152000,106202
unweighted_s70,ruler4k/ruler_4096_fwe_p0071,fwe,0,11,True,False,0.0037982009816914797,0,0,23,23,283360,202515,116160,87340,167200,115175
unweighted_s70,ruler4k/ruler_4096_fwe_p0075,fwe,0,15,True,False,0.0007878345204517245,0,0,15,15,379200,272170,151200,112083,228000,160087
unweighted_s70,ruler4k/ruler_4096_fwe_p0086,fwe,0,10,True,False,0.0036538979038596153,0,0,20,20,251200,180106,99200,74208,152000,105898
unweighted_s70,ruler4k/ruler_4096_qa_1_p0505,qa_1,0,16,True,False,0.002668968867510557,0,0,10,10,409600,289363,166400,120889,243200,168474
unweighted_s70,ruler4k/ruler_4096_qa_1_p0517,qa_1,0,18,True,False,0.0003223269304726273,0,0,21,21,446400,305526,172800,113282,273600,192244
unweighted_s70,ruler4k/ruler_4096_qa_1_p0501,qa_1,0,11,True,False,0.004925874061882496,0,0,24,24,271040,184894,103840,66938,167200,117956
unweighted_s70,ruler4k/ruler_4096_qa_1_p0530,qa_1,0,19,True,False,0.0049322862178087234,0,0,8,8,477280,328437,188480,124027,288800,204410
unweighted_s70,ruler4k/ruler_4096_qa_1_p0509,qa_1,0,3,True,False,0.0032088884618133307,0,0,8,8,75360,53384,29760,21255,45600,32129
unweighted_s70,ruler4k/ruler_4096_qa_1_p0549,qa_1,0,8,True,False,0.002831606660038233,0,0,9,9,198400,138901,76800,52770,121600,86131
unweighted_s70,ruler4k/ruler_4096_qa_1_p0514,qa_1,0,4,True,False,0.0045598093420267105,0,0,11,11,101120,70677,40320,28370,60800,42307
unweighted_s70,ruler4k/ruler_4096_qa_1_p0540,qa_1,0,5,True,False,0.0021679094061255455,0,0,10,10,111200,71273,35200,19446,76000,51827
