batch_size,block_size,seq_len,forward_steps,forward_ms_avg,forward_ms_p50,tokens_per_sec,peak_mem_gib,verdict,gpu_util_avg,gpu_util_p50,gpu_util_p90,gpu_util_max,mem_util_avg,mem_util_p50,mem_util_p90,mem_util_max,power_w_avg,power_w_p50,power_w_p90,power_w_max,sm_pct_avg,sm_pct_p50,sm_pct_p90,sm_pct_max,sm_activity_pct_avg,sm_activity_pct_p50,sm_activity_pct_p90,sm_activity_pct_max,sm_occupancy_pct_avg,sm_occupancy_pct_p50,sm_occupancy_pct_p90,sm_occupancy_pct_max,tensor_activity_pct_avg,tensor_activity_pct_p50,tensor_activity_pct_p90,tensor_activity_pct_max,dram_activity_pct_avg,dram_activity_pct_p50,dram_activity_pct_p90,dram_activity_pct_max,fp32_activity_pct_avg,fp32_activity_pct_p50,fp32_activity_pct_p90,fp32_activity_pct_max
8,64,133,40,38.039,38.067,27971.2,15.22,compute-light: GPU busy but tensor cores underused (check dtype / kernel mix),98.18,99.00,99.00,99.00,47.06,47.00,48.00,48.00,546.99,634.25,694.21,696.98,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,
16,64,133,40,74.993,74.473,28375.9,15.48,well utilized: sustained GPU + SM activity during forwards,99.41,100.00,100.00,100.00,55.47,56.00,57.00,57.00,636.06,691.39,694.76,703.63,0.00,0.00,0.00,0.00,91.00,91.00,91.00,91.00,35.00,35.00,35.00,35.00,49.00,49.00,49.00,49.00,43.00,43.00,43.00,43.00,0.00,0.00,0.00,0.00
