strategy,signal_source,head_sharing,records,mean_baseline_physical_sparsity,mean_physical_sparsity,mean_physical_sparsity_improvement,median_physical_sparsity_improvement,p10_physical_sparsity_improvement,mean_required_tile_reduction,fraction_records_ge_15pp,fraction_records_ge_20pct_work
bucket6-rho50,previous,layer,64,0.381028413772583,0.23428845405578613,-0.14673995971679688,-0.1504669189453125,-0.2142333984375,-0.2556061489775453,0.0,0.0
simhash8-any,current,layer,96,0.2810710271199544,0.13328774770100912,-0.1477832794189453,-0.166015625,-0.2907867431640625,-0.2539541382642329,0.0,0.0
bucket8-any,current,layer,96,0.2810710271199544,0.13269313176472983,-0.1483778953552246,-0.16861724853515625,-0.28521728515625,-0.25483643417619156,0.0,0.0
bucket8-rho25-state,current,layer,96,0.2810710271199544,0.1312403678894043,-0.14983065923055014,-0.147979736328125,-0.2686767578125,-0.24767318313532496,0.0,0.0
bitmap-any,previous,layer,64,0.381028413772583,0.23075175285339355,-0.15027666091918945,-0.12635040283203125,-0.30938720703125,-0.2801505775880396,0.0,0.0
bucket8-rho75,previous,layer,64,0.381028413772583,0.22580981254577637,-0.15521860122680664,-0.153778076171875,-0.242401123046875,-0.2650617311004929,0.0,0.0
bucket8-any-state,previous,layer,64,0.381028413772583,0.22034049034118652,-0.16068792343139648,-0.149261474609375,-0.32122802734375,-0.2962328841614296,0.0,0.0
simhash16-rho75,previous,layer,64,0.381028413772583,0.21932578086853027,-0.16170263290405273,-0.1567535400390625,-0.24578857421875,-0.27527508761331804,0.0,0.0
bucket6-rho75-state,previous,layer,64,0.381028413772583,0.21852874755859375,-0.16249966621398926,-0.16423797607421875,-0.2517852783203125,-0.2806858461988817,0.0,0.0
simhash32-rho25,current,layer,96,0.2810710271199544,0.11725409825642903,-0.1638169288635254,-0.16306304931640625,-0.29443359375,-0.26827580861812644,0.0,0.0
bucket8-any-state,current,layer,96,0.2810710271199544,0.11688232421875,-0.16418870290120444,-0.19234466552734375,-0.318756103515625,-0.28375095197925854,0.0,0.0
bitmap-any-state,previous,layer,64,0.381028413772583,0.21678924560546875,-0.16423916816711426,-0.15073394775390625,-0.3257904052734375,-0.3044130258337797,0.0,0.0
simhash16-any,previous,layer,64,0.381028413772583,0.21639633178710938,-0.16463208198547363,-0.121185302734375,-0.3587188720703125,-0.3073929624849052,0.0,0.0
bucket8-rho25,previous,layer,64,0.381028413772583,0.21460580825805664,-0.16642260551452637,-0.1825103759765625,-0.245147705078125,-0.290007573690781,0.0,0.0
simhash16-any,current,layer,96,0.2810710271199544,0.11107126871744792,-0.1699997584025065,-0.19744110107421875,-0.3208160400390625,-0.29135786448702333,0.0,0.0
bucket6-rho25-state,previous,layer,64,0.381028413772583,0.20790839195251465,-0.17312002182006836,-0.19594573974609375,-0.2557373046875,-0.30314775697074803,0.0,0.0
bucket8-rho50,previous,layer,64,0.381028413772583,0.20553302764892578,-0.17549538612365723,-0.18148040771484375,-0.25286865234375,-0.3027852733750972,0.0,0.0
simhash16-any-state,previous,layer,64,0.381028413772583,0.20024585723876953,-0.18078255653381348,-0.157318115234375,-0.3762359619140625,-0.335278000321021,0.0,0.0
simhash16-rho25,previous,layer,64,0.381028413772583,0.19745206832885742,-0.18357634544372559,-0.20562744140625,-0.2581634521484375,-0.3192480987350439,0.0,0.0
bucket6-rho50-state,previous,layer,64,0.381028413772583,0.19708776473999023,-0.18394064903259277,-0.19190216064453125,-0.2716827392578125,-0.3206400280958083,0.0,0.0
simhash16-rho50,previous,layer,64,0.381028413772583,0.193220853805542,-0.18780755996704102,-0.2008056640625,-0.25689697265625,-0.3234910416843637,0.0,0.0
bucket8-rho75-state,previous,layer,64,0.381028413772583,0.19307851791381836,-0.18794989585876465,-0.18951416015625,-0.2860565185546875,-0.3227905305882573,0.0,0.0
bucket8-rho25-state,previous,layer,64,0.381028413772583,0.18934154510498047,-0.19168686866760254,-0.21820831298828125,-0.284210205078125,-0.33556934727997956,0.0,0.0
simhash16-rho75-state,previous,layer,64,0.381028413772583,0.18835186958312988,-0.19267654418945312,-0.19249725341796875,-0.28564453125,-0.33067395943135786,0.0,0.0
simhash32-any,current,layer,96,0.2810710271199544,0.08300050099690755,-0.19807052612304688,-0.238800048828125,-0.3862762451171875,-0.3426648613865585,0.0,0.0
simhash16-rho25-state,previous,layer,64,0.381028413772583,0.17781448364257812,-0.20321393013000488,-0.23150634765625,-0.2894439697265625,-0.35617346367164526,0.0,0.0
bucket8-rho50-state,previous,layer,64,0.381028413772583,0.17467093467712402,-0.20635747909545898,-0.21874237060546875,-0.3088226318359375,-0.3573478941368037,0.0,0.0
simhash16-rho50-state,previous,layer,64,0.381028413772583,0.16625308990478516,-0.21477532386779785,-0.2318267822265625,-0.311279296875,-0.37177415126730284,0.0,0.0
