estimator,accumulation_rule,budget,decision_tiles,reused_tiles,reuse_fraction,safe_reuse_fraction_at_1pct,median_actual_staleness_error,p99_actual_staleness_error,maximum_actual_staleness_error
representation_drift,sum,0.001,23040,3548,0.15399305555555556,1.0,0.0,0.0,0.0
representation_drift,sum,0.005,23040,3548,0.15399305555555556,1.0,0.0,0.0,0.0
representation_drift,sum,0.01,23040,3548,0.15399305555555556,1.0,0.0,0.0,0.0
representation_drift,sum,0.05,23040,3548,0.15399305555555556,1.0,0.0,0.0,0.0
representation_drift,sum,0.1,23040,3548,0.15399305555555556,1.0,0.0,0.0,0.0
representation_drift,sum,0.25,23040,3548,0.15399305555555556,1.0,0.0,0.0,0.0
representation_drift,sum,0.5,23040,3663,0.158984375,0.9686049686049686,0.0,0.12970948219299316,0.19946907460689545
representation_drift,sum,1.0,23040,5484,0.23802083333333332,0.7861050328227571,0.0,1.4304076433181763,1.787207841873169
representation_drift,rss,0.001,23040,3548,0.15399305555555556,1.0,0.0,0.0,0.0
representation_drift,rss,0.005,23040,3548,0.15399305555555556,1.0,0.0,0.0,0.0
representation_drift,rss,0.01,23040,3548,0.15399305555555556,1.0,0.0,0.0,0.0
representation_drift,rss,0.05,23040,3548,0.15399305555555556,1.0,0.0,0.0,0.0
representation_drift,rss,0.1,23040,3548,0.15399305555555556,1.0,0.0,0.0,0.0
representation_drift,rss,0.25,23040,3548,0.15399305555555556,1.0,0.0,0.0,0.0
representation_drift,rss,0.5,23040,3663,0.158984375,0.9686049686049686,0.0,0.12970948219299316,0.19946907460689545
representation_drift,rss,1.0,23040,5571,0.241796875,0.7738287560581584,0.0,1.4279718399047852,1.787207841873169
representation_drift,max,0.001,23040,3548,0.15399305555555556,1.0,0.0,0.0,0.0
representation_drift,max,0.005,23040,3548,0.15399305555555556,1.0,0.0,0.0,0.0
representation_drift,max,0.01,23040,3548,0.15399305555555556,1.0,0.0,0.0,0.0
representation_drift,max,0.05,23040,3548,0.15399305555555556,1.0,0.0,0.0,0.0
representation_drift,max,0.1,23040,3548,0.15399305555555556,1.0,0.0,0.0,0.0
representation_drift,max,0.25,23040,3548,0.15399305555555556,1.0,0.0,0.0,0.0
representation_drift,max,0.5,23040,3704,0.1607638888888889,0.9578833693304536,0.0,0.16630633175373077,0.3339056670665741
representation_drift,max,1.0,23040,6695,0.2905815972222222,0.7381628080657207,0.0,1.480270266532898,1.787207841873169
representation_drift,decay,0.001,23040,3548,0.15399305555555556,1.0,0.0,0.0,0.0
representation_drift,decay,0.005,23040,3548,0.15399305555555556,1.0,0.0,0.0,0.0
representation_drift,decay,0.01,23040,3548,0.15399305555555556,1.0,0.0,0.0,0.0
representation_drift,decay,0.05,23040,3548,0.15399305555555556,1.0,0.0,0.0,0.0
representation_drift,decay,0.1,23040,3548,0.15399305555555556,1.0,0.0,0.0,0.0
representation_drift,decay,0.25,23040,3548,0.15399305555555556,1.0,0.0,0.0,0.0
representation_drift,decay,0.5,23040,3663,0.158984375,0.9686049686049686,0.0,0.12970948219299316,0.19946907460689545
representation_drift,decay,1.0,23040,5496,0.23854166666666668,0.7843886462882096,0.0,1.4301674365997314,1.787207841873169
oracle_one_step_output_drift,sum,0.001,23040,5018,0.21779513888888888,1.0,0.0,0.00014049364835955203,0.0031123494263738394
oracle_one_step_output_drift,sum,0.005,23040,5074,0.22022569444444445,1.0,0.0,0.005341995507478714,0.0059182243421673775
oracle_one_step_output_drift,sum,0.01,23040,5198,0.22560763888888888,0.9934590227010388,0.0,0.009954346343874931,0.010418707504868507
oracle_one_step_output_drift,sum,0.05,23040,5564,0.24149305555555556,0.7492810927390366,0.0,0.04525060951709747,0.04975952208042145
oracle_one_step_output_drift,sum,0.1,23040,5987,0.25985243055555557,0.6313679639218306,0.0,0.09681005775928497,0.10009417682886124
oracle_one_step_output_drift,sum,0.25,23040,8853,0.38424479166666664,0.3779509770699198,0.065646693110466,0.24546632170677185,0.25022435188293457
oracle_one_step_output_drift,sum,0.5,23040,11855,0.5145399305555556,0.26343315056938,0.16154105961322784,0.48761534690856934,0.4999437630176544
oracle_one_step_output_drift,sum,1.0,23040,15555,0.6751302083333334,0.18199935711989715,0.31125885248184204,0.9931603074073792,1.0119949579238892
oracle_one_step_output_drift,rss,0.001,23040,5020,0.21788194444444445,1.0,0.0,0.0001520997320767492,0.0031123494263738394
oracle_one_step_output_drift,rss,0.005,23040,5083,0.22061631944444443,1.0,0.0,0.0063453903421759605,0.009177839383482933
oracle_one_step_output_drift,rss,0.01,23040,5208,0.22604166666666667,0.9877112135176651,0.0,0.010182981379330158,0.014770208857953548
oracle_one_step_output_drift,rss,0.05,23040,5627,0.24422743055555557,0.6994846276879332,0.0,0.06244963780045509,0.08937247097492218
oracle_one_step_output_drift,rss,0.1,23040,6057,0.262890625,0.5958395245170877,0.0,0.11718592047691345,0.17110446095466614
oracle_one_step_output_drift,rss,0.25,23040,9338,0.4052951388888889,0.34868280145641467,0.09392789006233215,0.2926768660545349,0.3668367266654968
oracle_one_step_output_drift,rss,0.5,23040,13050,0.56640625,0.23509578544061302,0.2231544405221939,0.6888107657432556,1.0047264099121094
oracle_one_step_output_drift,rss,1.0,23040,17302,0.7509548611111111,0.15437521673794938,0.5050821304321289,1.670709252357483,2.3535146713256836
oracle_one_step_output_drift,max,0.001,23040,5022,0.21796875,1.0,0.0,0.00023771688574925065,0.0031123494263738394
oracle_one_step_output_drift,max,0.005,23040,5087,0.22078993055555557,0.9978376253194418,0.0,0.006838504690676928,0.012977617792785168
oracle_one_step_output_drift,max,0.01,23040,5232,0.22708333333333333,0.9728593272171254,0.0,0.013814284466207027,0.023013899102807045
oracle_one_step_output_drift,max,0.05,23040,5650,0.24522569444444445,0.6881415929203539,0.0,0.07455749064683914,0.12908115983009338
oracle_one_step_output_drift,max,0.1,23040,6121,0.26566840277777776,0.5819310570168273,0.0,0.15869547426700592,0.250740647315979
oracle_one_step_output_drift,max,0.25,23040,10412,0.4519097222222222,0.3116596235113331,0.12486428022384644,0.5774980783462524,0.9574978351593018
oracle_one_step_output_drift,max,0.5,23040,14508,0.6296875,0.2078853046594982,0.29441532492637634,1.8832706212997437,2.881563186645508
oracle_one_step_output_drift,max,1.0,23040,19156,0.8314236111111111,0.12361662142409689,0.6803653836250305,1.3216038942337036,2.511758804321289
oracle_one_step_output_drift,decay,0.001,23040,5019,0.21783854166666666,1.0,0.0,0.00014049364835955203,0.0031123494263738394
oracle_one_step_output_drift,decay,0.005,23040,5080,0.2204861111111111,1.0,0.0,0.005748403258621693,0.007986482232809067
oracle_one_step_output_drift,decay,0.01,23040,5202,0.22578125,0.9919261822376009,0.0,0.009954346343874931,0.012977617792785168
oracle_one_step_output_drift,decay,0.05,23040,5604,0.24322916666666666,0.7184154175588865,0.0,0.05432252213358879,0.06425970792770386
oracle_one_step_output_drift,decay,0.1,23040,6036,0.26197916666666665,0.6022200132538105,0.0,0.10639379918575287,0.13068756461143494
oracle_one_step_output_drift,decay,0.25,23040,8975,0.3895399305555556,0.3663509749303621,0.07757706940174103,0.2469034343957901,0.28740793466567993
oracle_one_step_output_drift,decay,0.5,23040,12275,0.5327690972222222,0.25327902240325867,0.18608458340168,0.5105419754981995,0.688970148563385
oracle_one_step_output_drift,decay,1.0,23040,16527,0.7173177083333333,0.1591940461063714,0.45103219151496887,1.1280781030654907,2.0220859050750732
