policy,split,records,reused_tiles,reuse_fraction,prediction_precision,unsafe_reuse_rate,unsafe_wilson95_upper,oracle_safe_recall,mean_reused_tile_error,maximum_reused_tile_error
q_only_fro:all,calibration,245760,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
q_only_fro:all,development,245760,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
q_only_fro:all,final_benchmark,245760,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
q_only_fro:all,heldout,245760,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
q_only_fro:protect_masked_new,calibration,245760,1655,0.006734212239583333,0.9691842900302114,0.03081570996978852,0.04028928856017278,0.3129145532579009,0.0007743836613371968,0.03461696580052376
q_only_fro:protect_masked_new,development,245760,1990,0.008097330729166666,0.9527638190954774,0.04723618090452261,0.05746105586165328,0.3716189729517836,0.0013018574099987745,0.054850805550813675
q_only_fro:protect_masked_new,final_benchmark,245760,960,0.00390625,1.0,0.0,0.003985571263342763,0.18611865063978286,0.0,0.0
q_only_fro:protect_masked_new,heldout,245760,1689,0.00687255859375,0.9733570159857904,0.02664298401420959,0.035463255555316285,0.31101021566401815,0.0007337950519286096,0.03352545574307442
kv_only_max_fro:all,calibration,245760,4022,0.016365559895833333,0.9435604177026355,0.056439582297364496,0.06400385457353296,0.740343347639485,0.038799967616796494,2.4502155780792236
kv_only_max_fro:all,development,245760,4503,0.01832275390625,0.9244947812569398,0.07550521874306018,0.08358904431051732,0.8159545276362211,0.050246525555849075,2.299692392349243
kv_only_max_fro:all,final_benchmark,245760,3989,0.016231282552083334,0.932815241915267,0.06718475808473301,0.07537729930632764,0.721403644823575,0.04299591854214668,2.3997297286987305
kv_only_max_fro:all,heldout,245760,4323,0.01759033203125,0.931529030765672,0.06847096923432801,0.07638896648381234,0.761823685206205,0.047156043350696564,5.023910045623779
kv_only_max_fro:protect_masked_new,calibration,245760,1608,0.00654296875,0.9975124378109452,0.0024875621890547263,0.00637876416852221,0.3129145532579009,3.7358371628215536e-05,0.015747006982564926
kv_only_max_fro:protect_masked_new,development,245760,1902,0.0077392578125,0.9968454258675079,0.0031545741324921135,0.006865507898669773,0.3716189729517836,4.7213685320457444e-05,0.015476739034056664
kv_only_max_fro:protect_masked_new,final_benchmark,245760,960,0.00390625,1.0,0.0,0.003985571263342763,0.18611865063978286,0.0,0.0
kv_only_max_fro:protect_masked_new,heldout,245760,1646,0.006697591145833333,0.9987849331713244,0.001215066828675577,0.004419577549841403,0.31101021566401815,1.9018700186279602e-05,0.015890996903181076
kv_only_sum_fro:all,calibration,245760,4012,0.016324869791666665,0.943419740777667,0.056580259222333,0.06416270171649963,0.7383925087787748,0.038876913487911224,2.4502155780792236
kv_only_sum_fro:all,development,245760,4492,0.018277994791666665,0.924087266251113,0.07591273374888691,0.08402562696410276,0.8136025088200706,0.05034995824098587,2.299692392349243
kv_only_sum_fro:all,final_benchmark,245760,3985,0.016215006510416668,0.9322459222082811,0.06775407779171895,0.07598079051373115,0.7202404032570764,0.04302454739809036,2.3997297286987305
kv_only_sum_fro:all,heldout,245760,4309,0.017533365885416666,0.9310744952425156,0.06892550475748434,0.07687967284741398,0.7589860007567159,0.04727539047598839,5.023910045623779
kv_only_sum_fro:protect_masked_new,calibration,245760,1608,0.00654296875,0.9975124378109452,0.0024875621890547263,0.00637876416852221,0.3129145532579009,3.7358371628215536e-05,0.015747006982564926
kv_only_sum_fro:protect_masked_new,development,245760,1902,0.0077392578125,0.9968454258675079,0.0031545741324921135,0.006865507898669773,0.3716189729517836,4.7213685320457444e-05,0.015476739034056664
kv_only_sum_fro:protect_masked_new,final_benchmark,245760,960,0.00390625,1.0,0.0,0.003985571263342763,0.18611865063978286,0.0,0.0
kv_only_sum_fro:protect_masked_new,heldout,245760,1644,0.006689453125,1.0,0.0,0.002331206561244873,0.31101021566401815,0.0,0.0
qk_max_fro:all,calibration,245760,3418,0.013907877604166667,0.9959040374488005,0.004095962551199532,0.006863865322167081,0.6640655481857198,0.0001924527605297044,0.17384546995162964
qk_max_fro:all,development,245760,3862,0.015714518229166665,0.9994821336095288,0.0005178663904712584,0.0018863672471798889,0.7565660525284202,1.0656761332938913e-05,0.021745003759860992
qk_max_fro:all,final_benchmark,245760,3574,0.014542643229166667,0.927252378287633,0.0727476217123671,0.08172902950165642,0.6424970918960837,0.006672414019703865,0.43453770875930786
qk_max_fro:all,heldout,245760,3626,0.014754231770833333,0.9972421400992829,0.0027578599007170436,0.00506945117461429,0.6840711312902006,5.58163519599475e-05,0.026806002482771873
qk_max_fro:protect_masked_new,calibration,245760,1608,0.00654296875,0.9975124378109452,0.0024875621890547263,0.00637876416852221,0.3129145532579009,4.718677882920019e-05,0.02069908007979393
qk_max_fro:protect_masked_new,development,245760,1900,0.007731119791666667,0.9978947368421053,0.002105263157894737,0.005400780605306859,0.3716189729517836,4.245325180818327e-05,0.021429743617773056
qk_max_fro:protect_masked_new,final_benchmark,245760,960,0.00390625,1.0,0.0,0.003985571263342763,0.18611865063978286,0.0,0.0
qk_max_fro:protect_masked_new,heldout,245760,1644,0.006689453125,1.0,0.0,0.002331206561244873,0.31101021566401815,0.0,0.0
qk_sum_fro:all,calibration,245760,3418,0.013907877604166667,0.9959040374488005,0.004095962551199532,0.006863865322167081,0.6640655481857198,0.00010341598681407049,0.06563212722539902
qk_sum_fro:all,development,245760,3878,0.015779622395833335,0.9953584321815369,0.0046415678184631255,0.007325460118922566,0.7565660525284202,9.916270209942013e-05,0.043220266699790955
qk_sum_fro:all,final_benchmark,245760,3479,0.014156087239583334,0.9534348950847945,0.04656510491520552,0.05408080552672458,0.643078712679333,0.0027873050421476364,0.43453770875930786
qk_sum_fro:all,heldout,245760,3642,0.0148193359375,0.9928610653487095,0.007138934651290499,0.010439957775077122,0.6840711312902006,0.0001475627941545099,0.028946077451109886
qk_sum_fro:protect_masked_new,calibration,245760,1608,0.00654296875,0.9975124378109452,0.0024875621890547263,0.00637876416852221,0.3129145532579009,4.712321242550388e-05,0.020596859976649284
qk_sum_fro:protect_masked_new,development,245760,1908,0.007763671875,0.9937106918238994,0.006289308176100629,0.01096122512316083,0.3716189729517836,0.00012955507554579526,0.022100349888205528
qk_sum_fro:protect_masked_new,final_benchmark,245760,960,0.00390625,1.0,0.0,0.003985571263342763,0.18611865063978286,0.0,0.0
qk_sum_fro:protect_masked_new,heldout,245760,1645,0.006693522135416667,0.9993920972644377,0.0006079027355623101,0.0034354477915107076,0.31101021566401815,1.3435218534141313e-05,0.022100934758782387
qk_product_fro:all,calibration,245760,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
qk_product_fro:all,development,245760,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
qk_product_fro:all,final_benchmark,245760,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
qk_product_fro:all,heldout,245760,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
qk_product_fro:protect_masked_new,calibration,245760,1608,0.00654296875,0.9975124378109452,0.0024875621890547263,0.00637876416852221,0.3129145532579009,4.969557994627394e-05,0.022950194776058197
qk_product_fro:protect_masked_new,development,245760,1916,0.007796223958333333,0.9895615866388309,0.010438413361169102,0.016068583975731465,0.3716189729517836,0.00021571900288108736,0.02442668005824089
qk_product_fro:protect_masked_new,final_benchmark,245760,960,0.00390625,1.0,0.0,0.003985571263342763,0.18611865063978286,0.0,0.0
qk_product_fro:protect_masked_new,heldout,245760,1650,0.0067138671875,0.9963636363636363,0.0036363636363636364,0.007910972467099991,0.31101021566401815,8.251301915151998e-05,0.02546817436814308
qkv_sum_b0_fro:all,calibration,245760,3418,0.013907877604166667,0.9959040374488005,0.004095962551199532,0.006863865322167081,0.6640655481857198,0.00010341598681407049,0.06563212722539902
