policy,split,total_tiles,baseline_skipped_tiles,baseline_kept_tiles,additional_skipped_tiles,baseline_physical_sparsity,new_physical_sparsity,additional_physical_sparsity,downstream_work_reduction,unsafe_removals,unsafe_removal_rate,unsafe_wilson95_upper,new_max_removals,affected_masked_rows,maximum_masked_relative_error,p99_masked_relative_error,mean_masked_relative_error,pv_tiles_eliminated,v_bytes_avoided,softmax_elements_avoided,pv_flops_avoided,qk_flops_avoided,optimistic_kernel_speedup,half_downstream_kernel_speedup,passes_offline_work_gate
online_mass_weighted_sum_b1,final_benchmark,786432,328882,457550,0,0.41819508870442706,0.41819508870442706,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1.0,1.0,False
oracle_mass_v_max_max,calibration,786432,285190,501242,0,0.36263783772786456,0.36263783772786456,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1.0,1.0,False
oracle_mass_v_max_max,heldout,786432,220192,566240,0,0.2799886067708333,0.2799886067708333,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1.0,1.0,False
oracle_mass_v_max_max,final_benchmark,786432,328882,457550,0,0.41819508870442706,0.41819508870442706,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1.0,1.0,False
oracle_mass_v_max_masked,calibration,786432,285190,501242,0,0.36263783772786456,0.36263783772786456,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1.0,1.0,False
oracle_mass_v_max_masked,heldout,786432,220192,566240,0,0.2799886067708333,0.2799886067708333,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1.0,1.0,False
oracle_mass_v_max_masked,final_benchmark,786432,328882,457550,0,0.41819508870442706,0.41819508870442706,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1.0,1.0,False
oracle_mass_v_mean_max,calibration,786432,285190,501242,0,0.36263783772786456,0.36263783772786456,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1.0,1.0,False
oracle_mass_v_mean_max,heldout,786432,220192,566240,0,0.2799886067708333,0.2799886067708333,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1.0,1.0,False
oracle_mass_v_mean_max,final_benchmark,786432,328882,457550,0,0.41819508870442706,0.41819508870442706,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1.0,1.0,False
oracle_mass_v_mean_masked,calibration,786432,285190,501242,0,0.36263783772786456,0.36263783772786456,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1.0,1.0,False
oracle_mass_v_mean_masked,heldout,786432,220192,566240,0,0.2799886067708333,0.2799886067708333,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1.0,1.0,False
