request_id,prompt_tokens,num_blocks,block_0_steps,block_0_time_ms,block_1_steps,block_1_time_ms,block_2_steps,block_2_time_ms,block_3_steps,block_3_time_ms,total_denoising_steps,total_time_ms,mean_time_per_step_ms
0,50,4,5,239.79036199853,1,69.11999000112701,1,61.338784000326996,1,60.98588299937546,8,431.23501899935945,53.90437737491993
1,75,4,3,100.61407900138875,1,61.00938400049927,1,60.68459800007986,1,61.629789999642526,6,283.9378510016104,47.322975166935066
2,100,4,3,96.57904799860262,1,54.62489599995024,1,54.15473399989423,1,60.56285100021341,6,265.9215289986605,44.320254833110084
3,125,4,4,113.01633199946082,1,54.90607899992028,1,58.82095500055584,1,59.10026700075832,7,285.84363300069526,40.83480471438504
4,150,4,3,91.73773099792015,1,56.47812400093244,1,54.36224400000356,1,58.9880629995605,6,261.56616199841665,43.59436033306944
5,200,4,4,110.52724299952388,3,97.599734999676,1,61.81070599996019,1,59.50969699915731,9,329.4473809983174,36.6052645553686
6,250,4,5,129.79688099767372,1,55.06270399928326,1,54.978375001155655,1,57.027112001378555,8,296.8650719994912,37.1081339999364
7,300,4,3,92.61325000079523,1,54.83006800022849,1,56.00534699988202,1,55.38678700031596,6,258.8354520012217,43.139242000203616
8,400,4,7,167.28431699993962,5,137.05739099714265,1,55.809158000556636,1,59.52672999956121,14,419.6775959972001,29.976971142657153
9,500,4,5,141.39555499787093,1,55.52364899995155,1,59.19726299907779,1,60.11947499973758,8,316.23594199663785,39.52949274957973
10,600,4,5,154.37713199935388,1,63.164499999402324,1,63.235277999410755,1,63.684834000014234,8,344.4617439981812,43.05771799977265
11,700,4,5,169.4180319973384,1,65.83785899965733,1,65.96387699937623,1,66.56856600056926,8,367.7883339969412,45.97354174961765
12,800,4,4,183.4584590014856,6,225.4236620010488,1,69.20061399978295,1,67.98177100063185,12,546.0645060029492,45.50537550024577
13,900,4,5,203.26069999828178,4,173.93514500145102,1,72.722975999568,1,71.599195998715,11,521.5180169980158,47.41072881800144
14,1000,4,5,220.18083399962052,1,73.42695999977877,1,74.33876399954897,1,74.28474799962714,8,442.2313059985754,55.278913249821926
15,1100,4,5,234.99554700174485,1,76.18684099907114,1,76.57612599905406,1,77.36424499853456,8,465.1227589984046,58.140344874800576
16,1200,4,1,77.34550799978024,2,122.69471699983114,1,83.95569299864292,1,81.4680719995522,5,365.4639899978065,73.0927979995613
17,1300,4,8,416.42949400011275,2,131.89906000116025,1,83.32205800070369,1,84.88631099862687,12,716.5369230006036,59.7114102500503
18,1400,4,4,237.9554149974865,1,86.08432700020785,1,86.4935109984799,1,87.7247480002552,7,498.2580009964295,71.17971442806136
19,1500,4,6,357.2343889991316,1,87.9738859985082,1,88.51993200005381,1,89.71553700030199,9,623.4437439979956,69.2715271108884
20,1600,4,6,388.80716399944504,1,99.8330469992652,1,94.77166999931796,1,100.91425300015544,9,684.3261339981836,76.0362371109093
21,1750,4,3,222.44105900063005,2,164.14070700011507,1,98.94519899899024,1,100.14446700006374,7,585.6714319997991,83.66734742854273
22,1900,4,5,379.66101200072444,1,103.45853599937982,1,104.58776999985275,1,105.17344599975331,8,692.8807639997103,86.61009549996379
23,2000,4,6,465.139308002108,1,107.92347899950983,1,108.04959800043434,1,114.64502499984519,9,795.7574100018974,88.41749000021082
