experiment,batch_id,batch_size,block_index,step,min_prompt_tokens,max_prompt_tokens,active_requests_before_step,step_latency_ms
exp2_bs8,0,8,0,1,50,300,8,128.08200099971145
exp2_bs8,0,8,0,2,50,300,8,91.90366599978006
exp2_bs8,0,8,0,3,50,300,8,92.47226099978434
exp2_bs8,0,8,0,4,50,300,3,90.93458200004534
exp2_bs8,0,8,0,5,50,300,2,91.32501400017645
exp2_bs8,0,8,1,1,50,300,8,136.56903999981296
exp2_bs8,0,8,1,2,50,300,1,98.98127799897338
exp2_bs8,0,8,1,3,50,300,1,99.99616200002492
exp2_bs8,0,8,2,1,50,300,8,150.92437300154415
exp2_bs8,0,8,3,1,50,300,8,150.7393490010145
exp2_bs8,1,8,0,1,400,1100,8,333.708703999946
exp2_bs8,1,8,0,2,400,1100,8,303.55321199931495
exp2_bs8,1,8,0,3,400,1100,8,322.09472300019115
exp2_bs8,1,8,0,4,400,1100,8,314.9871850000636
exp2_bs8,1,8,0,5,400,1100,7,304.8233480003546
exp2_bs8,1,8,0,6,400,1100,1,316.8812470012199
exp2_bs8,1,8,0,7,400,1100,1,314.9673759999132
exp2_bs8,1,8,1,1,400,1100,8,349.85582700028317
exp2_bs8,1,8,1,2,400,1100,3,323.56741100011277
exp2_bs8,1,8,1,3,400,1100,3,331.260368000585
exp2_bs8,1,8,1,4,400,1100,3,326.03539599949727
exp2_bs8,1,8,1,5,400,1100,2,323.4426090002671
exp2_bs8,1,8,1,6,400,1100,1,329.10206700034905
exp2_bs8,1,8,2,1,400,1100,8,359.07781799869554
exp2_bs8,1,8,3,1,400,1100,8,362.06064600082755
exp2_bs8,2,8,0,1,1200,2000,8,1170.9013749987207
exp2_bs8,2,8,0,2,1200,2000,7,595.2733590002026
exp2_bs8,2,8,0,3,1200,2000,7,582.1539560001838
exp2_bs8,2,8,0,4,1200,2000,6,597.149265000553
exp2_bs8,2,8,0,5,1200,2000,5,589.8338660008449
exp2_bs8,2,8,0,6,1200,2000,4,587.1418110000377
exp2_bs8,2,8,0,7,1200,2000,1,591.4958070006833
exp2_bs8,2,8,0,8,1200,2000,1,589.6747879996838
exp2_bs8,2,8,1,1,1200,2000,8,1183.585505999872
exp2_bs8,2,8,1,2,1200,2000,3,614.5161650001683
exp2_bs8,2,8,2,1,1200,2000,8,1193.4981909998896
exp2_bs8,2,8,3,1,1200,2000,8,1201.549008001166
