experiment,batch_id,batch_size,block_index,step,min_prompt_tokens,max_prompt_tokens,active_requests_before_step,step_latency_ms
exp1_bs1,11,1,1,1,700,700,1,65.83785899965733
exp1_bs1,11,1,2,1,700,700,1,65.96387699937623
exp1_bs1,11,1,3,1,700,700,1,66.56856600056926
exp1_bs1,12,1,0,1,800,800,1,77.05297900065489
exp1_bs1,12,1,0,2,800,800,1,35.38325800036546
exp1_bs1,12,1,0,3,800,800,1,35.561984001105884
exp1_bs1,12,1,0,4,800,800,1,35.46023799935938
exp1_bs1,12,1,1,1,800,800,1,69.09546200040495
exp1_bs1,12,1,1,2,800,800,1,31.131424999330193
exp1_bs1,12,1,1,3,800,800,1,31.247568000253523
exp1_bs1,12,1,1,4,800,800,1,31.267607999325264
exp1_bs1,12,1,1,5,800,800,1,31.329157000072883
exp1_bs1,12,1,1,6,800,800,1,31.352442001661984
exp1_bs1,12,1,2,1,800,800,1,69.20061399978295
exp1_bs1,12,1,3,1,800,800,1,67.98177100063185
exp1_bs1,13,1,0,1,900,900,1,68.11057699997036
exp1_bs1,13,1,0,2,900,900,1,33.51660699991044
exp1_bs1,13,1,0,3,900,900,1,33.57559500000207
exp1_bs1,13,1,0,4,900,900,1,34.047612998620025
exp1_bs1,13,1,0,5,900,900,1,34.01030799977889
exp1_bs1,13,1,1,1,900,900,1,71.60541400116927
exp1_bs1,13,1,1,2,900,900,1,33.98119499979657
exp1_bs1,13,1,1,3,900,900,1,34.02735300005588
exp1_bs1,13,1,1,4,900,900,1,34.3211830004293
exp1_bs1,13,1,2,1,900,900,1,72.722975999568
exp1_bs1,13,1,3,1,900,900,1,71.599195998715
exp1_bs1,14,1,0,1,1000,1000,1,71.15410400001565
exp1_bs1,14,1,0,2,1000,1000,1,36.81766900081129
exp1_bs1,14,1,0,3,1000,1000,1,37.7121609999449
exp1_bs1,14,1,0,4,1000,1000,1,37.29426599966246
exp1_bs1,14,1,0,5,1000,1000,1,37.20263399918622
exp1_bs1,14,1,1,1,1000,1000,1,73.42695999977877
exp1_bs1,14,1,2,1,1000,1000,1,74.33876399954897
exp1_bs1,14,1,3,1,1000,1000,1,74.28474799962714
exp1_bs1,15,1,0,1,1100,1100,1,74.30487700003141
exp1_bs1,15,1,0,2,1100,1100,1,40.05236900047748
exp1_bs1,15,1,0,3,1100,1100,1,40.07229800117784
exp1_bs1,15,1,0,4,1100,1100,1,40.43393800020567
exp1_bs1,15,1,0,5,1100,1100,1,40.132064999852446
exp1_bs1,15,1,1,1,1100,1100,1,76.18684099907114
exp1_bs1,15,1,2,1,1100,1100,1,76.57612599905406
exp1_bs1,15,1,3,1,1100,1100,1,77.36424499853456
exp1_bs1,16,1,0,1,1200,1200,1,77.34550799978024
exp1_bs1,16,1,1,1,1200,1200,1,78.58728300016082
exp1_bs1,16,1,1,2,1200,1200,1,44.10743399967032
exp1_bs1,16,1,2,1,1200,1200,1,83.95569299864292
exp1_bs1,16,1,3,1,1200,1200,1,81.4680719995522
exp1_bs1,17,1,0,1,1300,1300,1,81.60129499992763
exp1_bs1,17,1,0,2,1300,1300,1,47.53560500103049
exp1_bs1,17,1,0,3,1300,1300,1,47.6768019998417
exp1_bs1,17,1,0,4,1300,1300,1,47.82806000002893
exp1_bs1,17,1,0,5,1300,1300,1,47.874994001176674
exp1_bs1,17,1,0,6,1300,1300,1,48.240636999253184
exp1_bs1,17,1,0,7,1300,1300,1,47.8750209986174
exp1_bs1,17,1,0,8,1300,1300,1,47.79708000023675
exp1_bs1,17,1,1,1,1300,1300,1,83.56774400090217
exp1_bs1,17,1,1,2,1300,1300,1,48.331316000258084
exp1_bs1,17,1,2,1,1300,1300,1,83.32205800070369
exp1_bs1,17,1,3,1,1300,1300,1,84.88631099862687
exp1_bs1,18,1,0,1,1400,1400,1,84.77009399939561
exp1_bs1,18,1,0,2,1400,1400,1,50.52181599967298
exp1_bs1,18,1,0,3,1400,1400,1,51.33070299962128
exp1_bs1,18,1,0,4,1400,1400,1,51.33280199879664
exp1_bs1,18,1,1,1,1400,1400,1,86.08432700020785
exp1_bs1,18,1,2,1,1400,1400,1,86.4935109984799
exp1_bs1,18,1,3,1,1400,1400,1,87.7247480002552
exp1_bs1,19,1,0,1,1500,1500,1,87.55219600061537
exp1_bs1,19,1,0,2,1500,1500,1,53.39718000141147
exp1_bs1,19,1,0,3,1500,1500,1,53.68735499905597
exp1_bs1,19,1,0,4,1500,1500,1,54.0131729994755
exp1_bs1,19,1,0,5,1500,1500,1,53.55124299967429
exp1_bs1,19,1,0,6,1500,1500,1,55.03324199889903
exp1_bs1,19,1,1,1,1500,1500,1,87.9738859985082
exp1_bs1,19,1,2,1,1500,1500,1,88.51993200005381
exp1_bs1,19,1,3,1,1500,1500,1,89.71553700030199
exp1_bs1,20,1,0,1,1600,1600,1,91.35626699935528
exp1_bs1,20,1,0,2,1600,1600,1,59.64407499959634
exp1_bs1,20,1,0,3,1600,1600,1,59.40037599975767
exp1_bs1,20,1,0,4,1600,1600,1,59.027520001109224
exp1_bs1,20,1,0,5,1600,1600,1,59.84851100038213
exp1_bs1,20,1,0,6,1600,1600,1,59.530414999244385
exp1_bs1,20,1,1,1,1600,1600,1,99.8330469992652
exp1_bs1,20,1,2,1,1600,1600,1,94.77166999931796
exp1_bs1,20,1,3,1,1600,1600,1,100.91425300015544
exp1_bs1,21,1,0,1,1750,1750,1,96.33566400043492
exp1_bs1,21,1,0,2,1750,1750,1,62.804884000797756
exp1_bs1,21,1,0,3,1750,1750,1,63.300510999397375
exp1_bs1,21,1,1,1,1750,1750,1,98.91371999947296
exp1_bs1,21,1,1,2,1750,1750,1,65.22698700064211
exp1_bs1,21,1,2,1,1750,1750,1,98.94519899899024
exp1_bs1,21,1,3,1,1750,1750,1,100.14446700006374
exp1_bs1,22,1,0,1,1900,1900,1,102.06361699965782
exp1_bs1,22,1,0,2,1900,1900,1,68.92487400000391
exp1_bs1,22,1,0,3,1900,1900,1,69.91517400092562
exp1_bs1,22,1,0,4,1900,1900,1,69.31760899897199
exp1_bs1,22,1,0,5,1900,1900,1,69.4397380011651
exp1_bs1,22,1,1,1,1900,1900,1,103.45853599937982
exp1_bs1,22,1,2,1,1900,1900,1,104.58776999985275
exp1_bs1,22,1,3,1,1900,1900,1,105.17344599975331
exp1_bs1,23,1,0,1,2000,2000,1,105.3373830000055
exp1_bs1,23,1,0,2,2000,2000,1,71.58662500114588
exp1_bs1,23,1,0,3,2000,2000,1,72.02520900136733
exp1_bs1,23,1,0,4,2000,2000,1,71.85382299940102
exp1_bs1,23,1,0,5,2000,2000,1,72.0822399998724
exp1_bs1,23,1,0,6,2000,2000,1,72.25402800031588
exp1_bs1,23,1,1,1,2000,2000,1,107.92347899950983
exp1_bs1,23,1,2,1,2000,2000,1,108.04959800043434
exp1_bs1,23,1,3,1,2000,2000,1,114.64502499984519
