experiment,batch_id,batch_size,block_index,block_size,request_ids,request_lengths,min_prompt_tokens,max_prompt_tokens,sequence_tokens,max_steps,confidence_threshold,acceptance_policy,denoising_steps,total_time_ms,mean_time_per_step_ms,min_time_per_step_ms,max_time_per_step_ms,hit_max_steps
exp1_bs1,9,1,3,32,9,500,500,500,628,64,0.9,confidence_cutoff,1,60.11947499973758,60.11947499973758,60.11947499973758,60.11947499973758,False
exp1_bs1,10,1,0,32,10,600,600,600,632,64,0.9,confidence_cutoff,5,154.37713199935388,30.875426399870776,23.94864399866492,57.96447300053842,False
exp1_bs1,10,1,1,32,10,600,600,600,664,64,0.9,confidence_cutoff,1,63.164499999402324,63.164499999402324,63.164499999402324,63.164499999402324,False
exp1_bs1,10,1,2,32,10,600,600,600,696,64,0.9,confidence_cutoff,1,63.235277999410755,63.235277999410755,63.235277999410755,63.235277999410755,False
exp1_bs1,10,1,3,32,10,600,600,600,728,64,0.9,confidence_cutoff,1,63.684834000014234,63.684834000014234,63.684834000014234,63.684834000014234,False
exp1_bs1,11,1,0,32,11,700,700,700,732,64,0.9,confidence_cutoff,5,169.4180319973384,33.88360639946768,26.836830998945516,61.682922998443246,False
exp1_bs1,11,1,1,32,11,700,700,700,764,64,0.9,confidence_cutoff,1,65.83785899965733,65.83785899965733,65.83785899965733,65.83785899965733,False
exp1_bs1,11,1,2,32,11,700,700,700,796,64,0.9,confidence_cutoff,1,65.96387699937623,65.96387699937623,65.96387699937623,65.96387699937623,False
exp1_bs1,11,1,3,32,11,700,700,700,828,64,0.9,confidence_cutoff,1,66.56856600056926,66.56856600056926,66.56856600056926,66.56856600056926,False
exp1_bs1,12,1,0,32,12,800,800,800,832,64,0.9,confidence_cutoff,4,183.4584590014856,45.8646147503714,35.38325800036546,77.05297900065489,False
exp1_bs1,12,1,1,32,12,800,800,800,864,64,0.9,confidence_cutoff,6,225.4236620010488,37.570610333508135,31.131424999330193,69.09546200040495,False
exp1_bs1,12,1,2,32,12,800,800,800,896,64,0.9,confidence_cutoff,1,69.20061399978295,69.20061399978295,69.20061399978295,69.20061399978295,False
exp1_bs1,12,1,3,32,12,800,800,800,928,64,0.9,confidence_cutoff,1,67.98177100063185,67.98177100063185,67.98177100063185,67.98177100063185,False
exp1_bs1,13,1,0,32,13,900,900,900,932,64,0.9,confidence_cutoff,5,203.26069999828178,40.652139999656356,33.51660699991044,68.11057699997036,False
exp1_bs1,13,1,1,32,13,900,900,900,964,64,0.9,confidence_cutoff,4,173.93514500145102,43.483786250362755,33.98119499979657,71.60541400116927,False
exp1_bs1,13,1,2,32,13,900,900,900,996,64,0.9,confidence_cutoff,1,72.722975999568,72.722975999568,72.722975999568,72.722975999568,False
exp1_bs1,13,1,3,32,13,900,900,900,1028,64,0.9,confidence_cutoff,1,71.599195998715,71.599195998715,71.599195998715,71.599195998715,False
exp1_bs1,14,1,0,32,14,1000,1000,1000,1032,64,0.9,confidence_cutoff,5,220.18083399962052,44.0361667999241,36.81766900081129,71.15410400001565,False
exp1_bs1,14,1,1,32,14,1000,1000,1000,1064,64,0.9,confidence_cutoff,1,73.42695999977877,73.42695999977877,73.42695999977877,73.42695999977877,False
