policy,split,records,reused_tiles,reuse_fraction,prediction_precision,unsafe_reuse_rate,unsafe_wilson95_upper,oracle_safe_recall,mean_reused_tile_error,maximum_reused_tile_error
stable_query_x_stable_kv,calibration,245760,8774,0.03570149739583333,0.9656940961932984,0.03430590380670162,0.03832281892877222,0.08490575491266923,0.00196174718439579,0.11769048869609833
stable_query_x_stable_kv,development,245760,8577,0.03489990234375,0.975049551125102,0.024950448874897984,0.02847012888548825,0.08539162931272144,0.0014698179438710213,0.10121576488018036
stable_query_x_stable_kv,final_benchmark,245760,4973,0.020235188802083335,0.9704403780414237,0.029559621958576313,0.034642221320314755,0.04785419641440584,0.001712814555503428,0.12210998684167862
stable_query_x_stable_kv,heldout,245760,8627,0.03510335286458333,0.9742668366755535,0.025733163324446504,0.02929138140123905,0.08489727480252925,0.001646272954531014,0.1251118928194046
stable_query_x_any_kv,calibration,245760,26432,0.10755208333333334,0.927360774818402,0.07263922518159806,0.07583062474794623,0.24562845089334923,0.0036733821034431458,0.9788169264793396
stable_query_x_any_kv,development,245760,22912,0.09322916666666667,0.9433048184357542,0.05669518156424581,0.05976460580214081,0.22068268376609454,0.0030067209154367447,1.0324721336364746
stable_query_x_any_kv,final_benchmark,245760,13248,0.05390625,0.9305555555555556,0.06944444444444445,0.07389917944148082,0.12224337617007774,0.003470469731837511,0.8668417930603027
stable_query_x_any_kv,heldout,245760,21184,0.08619791666666667,0.9313632930513596,0.06863670694864048,0.07212022854825821,0.1992889032544797,0.003559206146746874,1.0054289102554321
any_query_x_stable_kv,calibration,245760,12030,0.0489501953125,0.9481296758104738,0.05187032418952618,0.055978184798085,0.11429659394947542,0.005271581932902336,1.2566955089569092
any_query_x_stable_kv,development,245760,10555,0.042948404947916664,0.9648507816200853,0.035149218379914735,0.03883500000812403,0.10398521498514351,0.001929410849697888,0.1895630955696106
any_query_x_stable_kv,final_benchmark,245760,12691,0.05163981119791667,0.956031833582854,0.04396816641714601,0.04767531041308258,0.12030977312390925,0.004048371221870184,0.9086227416992188
