benchmark,split,candidate,reference,count,candidate_correct,reference_correct,delta_pp,paired_ci95_pp,overall_sparsity_gap_pp,global_sparsity_gap_pp,local_sparsity_gap_pp,within2pp_all_types
aime26,calibration6,blasst_aggressive_s50,dense,6,2.0,3.0,-16.666666666666668,"[-50.0, 0.0]",53.17263404512445,55.425815281375094,52.63142453163662,False
aime26,calibration6,blasst_aggressive_s50,full_centered_s50,6,2.0,4.0,-33.33333333333333,"[-66.66666666666666, 0.0]",2.826750619287499,6.964441964529805,1.8425887963009369,False
aime26,calibration6,blasst_aggressive_s50,jl_gaussian_r8_s50,6,2.0,3.0,-16.666666666666668,"[-50.0, 0.0]",2.657048740569923,7.744619290441529,1.4409493450615818,False
aime26,calibration6,blasst_aggressive_s50,mass_s50,6,2.0,2.0,0.0,"[-50.0, 50.0]",2.46200023523393,3.1514740767207394,2.3011889240938443,False
aime26,calibration6,full_centered_s50,blasst_aggressive_s50,6,4.0,2.0,33.33333333333333,"[0.0, 66.66666666666666]",-2.826750619287499,-6.964441964529805,-1.8425887963009369,False
aime26,calibration6,full_centered_s50,dense,6,4.0,3.0,16.666666666666664,"[0.0, 50.0]",50.345883425836945,48.46137331684528,50.78883573533568,False
aime26,calibration6,full_centered_s50,jl_gaussian_r8_s50,6,4.0,3.0,16.666666666666664,"[0.0, 50.0]",-0.16970187871757636,0.780177325911724,-0.40163945123935507,True
aime26,calibration6,full_centered_s50,mass_s50,6,4.0,2.0,33.33333333333333,"[0.0, 66.66666666666666]",-0.3647503840535693,-3.812967887809066,0.4586001277929075,False
aime26,calibration6,jl_gaussian_r8_s50,blasst_aggressive_s50,6,3.0,2.0,16.666666666666668,"[0.0, 50.0]",-2.657048740569923,-7.744619290441529,-1.4409493450615818,False
aime26,calibration6,jl_gaussian_r8_s50,dense,6,3.0,3.0,0.0,"[0.0, 0.0]",50.51558530455452,47.68119599093356,51.190475186575036,False
aime26,calibration6,jl_gaussian_r8_s50,full_centered_s50,6,3.0,4.0,-16.666666666666664,"[-50.0, 0.0]",0.16970187871757636,-0.780177325911724,0.40163945123935507,True
aime26,calibration6,jl_gaussian_r8_s50,mass_s50,6,3.0,2.0,16.666666666666668,"[0.0, 50.0]",-0.19504850533599294,-4.593145213720789,0.8602395790322626,False
aime26,calibration6,mass_s50,blasst_aggressive_s50,6,2.0,2.0,0.0,"[-50.0, 50.0]",-2.46200023523393,-3.1514740767207394,-2.3011889240938443,False
aime26,calibration6,mass_s50,dense,6,2.0,3.0,-16.666666666666668,"[-50.0, 0.0]",50.71063380989052,52.27434120465435,50.330235607542775,False
aime26,calibration6,mass_s50,full_centered_s50,6,2.0,4.0,-33.33333333333333,"[-66.66666666666666, 0.0]",0.3647503840535693,3.812967887809066,-0.4586001277929075,False
aime26,calibration6,mass_s50,jl_gaussian_r8_s50,6,2.0,3.0,-16.666666666666668,"[-50.0, 0.0]",0.19504850533599294,4.593145213720789,-0.8602395790322626,False
aime26,full,blasst_aggressive_s50,dense,30,8.0,17.0,-30.0,"[-50.0, -10.0]",50.463550873718845,49.28671149564146,50.75256875463575,False
aime26,full,blasst_aggressive_s50,full_centered_s50,30,8.0,17.0,-30.0,"[-50.0, -10.0]",-0.6449298663515735,-1.6164964765574885,-0.4062576234330595,True
aime26,full,blasst_aggressive_s50,jl_gaussian_r8_s50,30,8.0,15.0,-23.333333333333332,"[-40.0, -6.666666666666667]",-0.12638685455667042,0.43309151801090295,-0.2633203492249492,True
aime26,full,blasst_aggressive_s50,mass_s50,30,8.0,16.0,-26.666666666666668,"[-46.666666666666664, -6.666666666666667]",-1.0193276884150615,-3.8944151870065227,-0.3157464256222764,False
aime26,full,full_centered_s50,blasst_aggressive_s50,30,17.0,8.0,30.0,"[10.0, 50.0]",0.6449298663515735,1.6164964765574885,0.4062576234330595,True
aime26,full,full_centered_s50,dense,30,17.0,17.0,0.0,"[-16.666666666666664, 16.666666666666664]",51.10848074007042,50.90320797219895,51.15882637806881,False
aime26,full,full_centered_s50,jl_gaussian_r8_s50,30,17.0,15.0,6.666666666666665,"[-10.0, 23.333333333333332]",0.518543011794903,2.0495879945683915,0.1429372742081103,False
aime26,full,full_centered_s50,mass_s50,30,17.0,16.0,3.3333333333333326,"[-16.666666666666664, 23.333333333333332]",-0.37439782206348804,-2.277918710449034,0.0905111978107831,False
aime26,full,jl_gaussian_r8_s50,blasst_aggressive_s50,30,15.0,8.0,23.333333333333332,"[6.666666666666667, 40.0]",0.12638685455667042,-0.43309151801090295,0.2633203492249492,True
aime26,full,jl_gaussian_r8_s50,dense,30,15.0,17.0,-6.666666666666665,"[-23.333333333333332, 10.0]",50.589937728275515,48.85361997763056,51.0158891038607,False
aime26,full,jl_gaussian_r8_s50,full_centered_s50,30,15.0,17.0,-6.666666666666665,"[-23.333333333333332, 10.0]",-0.518543011794903,-2.0495879945683915,-0.1429372742081103,False
aime26,full,jl_gaussian_r8_s50,mass_s50,30,15.0,16.0,-3.3333333333333326,"[-23.333333333333332, 16.666666666666664]",-0.8929408338583911,-4.327506705017425,-0.052426076397327215,False
aime26,full,mass_s50,blasst_aggressive_s50,30,16.0,8.0,26.666666666666668,"[6.666666666666667, 46.666666666666664]",1.0193276884150615,3.8944151870065227,0.3157464256222764,False
aime26,full,mass_s50,dense,30,16.0,17.0,-3.3333333333333326,"[-16.666666666666664, 10.0]",51.482878562133905,53.181126682647985,51.068315180258026,False
aime26,full,mass_s50,full_centered_s50,30,16.0,17.0,-3.3333333333333326,"[-23.333333333333332, 16.666666666666664]",0.37439782206348804,2.277918710449034,-0.0905111978107831,False
aime26,full,mass_s50,jl_gaussian_r8_s50,30,16.0,15.0,3.3333333333333326,"[-16.666666666666664, 23.333333333333332]",0.8929408338583911,4.327506705017425,0.052426076397327215,False
aime26,noncalibration24,blasst_aggressive_s50,dense,24,6.0,14.0,-33.333333333333336,"[-54.166666666666664, -12.5]",49.76571814962087,47.74037534843722,50.26594600285641,False
aime26,noncalibration24,blasst_aggressive_s50,full_centered_s50,24,6.0,13.0,-29.166666666666664,"[-50.0, -8.333333333333332]",-1.5417212088116472,-3.7730502357130327,-0.9904181366012565,False
aime26,noncalibration24,blasst_aggressive_s50,jl_gaussian_r8_s50,24,6.0,12.0,-25.0,"[-45.83333333333333, -4.166666666666666]",-0.84367146736401,-1.410840491188814,-0.7039322098934653,True
aime26,noncalibration24,blasst_aggressive_s50,mass_s50,24,6.0,14.0,-33.333333333333336,"[-54.166666666666664, -12.5]",-1.9018151632171854,-5.656828706233968,-0.9790032908416624,False
aime26,noncalibration24,full_centered_s50,blasst_aggressive_s50,24,13.0,6.0,29.166666666666664,"[8.333333333333332, 50.0]",1.5417212088116472,3.7730502357130327,0.9904181366012565,False
aime26,noncalibration24,full_centered_s50,dense,24,13.0,14.0,-4.166666666666674,"[-20.833333333333336, 12.5]",51.30743935843252,51.513425584150255,51.256364139457666,False
aime26,noncalibration24,full_centered_s50,jl_gaussian_r8_s50,24,13.0,12.0,4.1666666666666625,"[-12.5, 20.833333333333336]",0.6980497414476372,2.3622097445242183,0.28648592670779127,False
aime26,noncalibration24,full_centered_s50,mass_s50,24,13.0,14.0,-4.166666666666674,"[-25.0, 16.666666666666664]",-0.36009395440553815,-1.883778470520936,0.011414845759594172,True
aime26,noncalibration24,jl_gaussian_r8_s50,blasst_aggressive_s50,24,12.0,6.0,25.0,"[4.166666666666666, 45.83333333333333]",0.84367146736401,1.410840491188814,0.7039322098934653,True
aime26,noncalibration24,jl_gaussian_r8_s50,dense,24,12.0,14.0,-8.333333333333337,"[-29.166666666666668, 12.5]",50.60938961698488,49.15121583962603,50.969878212749876,False
aime26,noncalibration24,jl_gaussian_r8_s50,full_centered_s50,24,12.0,13.0,-4.1666666666666625,"[-20.833333333333336, 12.5]",-0.6980497414476372,-2.3622097445242183,-0.28648592670779127,False
