request_id,layer,step,remaining_mask_ratio,tau,pack_m,grouping,candidate_tiles,retained_tiles,all_tiles,exception_rows,grouping_keys,complete_packs,partial_packs,total_packs,full_pack_rows,partial_pack_rows,padded_rows,weighted_utilization,complete_pack_row_fraction,partial_pack_row_fraction,original_v_loads,packed_v_loads,v_load_reduction,v_load_factor,v_bytes_before,v_bytes_after,average_rows_per_original_v_load,average_rows_per_packed_v_load,extra_qk_flops,baseline_qk_flops,candidate_main_pv_flops,packed_pv_flops,pv_flops_avoided,extra_qk_fraction_of_baseline,extra_qk_fraction_of_pv_avoided,q_read_bytes,tile_record_bytes,expanded_descriptor_bytes,count_offset_bytes,pack_descriptor_bytes,total_metadata_bytes,zero_tile_fraction,candidate_fraction_of_retained
context-0-regime-0,0,0,0.9,8,64,q-head,1505,64999,65536,6425,273,19,272,291,1216,5209,12199,0.3449849656357388,0.18926070038910506,0.810739299610895,1505,291,0.8066445182724252,5.171821305841925,24657920,4767744,4.269102990033223,22.079037800687285,105267200,137438953472,3156213760,305135616,2851078144,0.0007659196853637695,0.036921892239794044,1644800,60200,205600,2184,9312,277296,0.0081939697265625,0.02315420237234419
context-0-regime-0,0,0,0.9,8,128,q-head,1505,64999,65536,6425,273,0,273,273,0,6425,28519,0.18386561355311357,0.0,1.0,1505,273,0.8186046511627907,5.512820512820513,24657920,4472832,4.269102990033223,23.534798534798536,105267200,137438953472,3156213760,572522496,2583691264,0.0007659196853637695,0.04074294845779221,1644800,60200,205600,2184,8736,276720,0.0081939697265625,0.02315420237234419
context-0-regime-0,0,0,0.9,8,64,kv-head,1505,64999,65536,6425,273,19,272,291,1216,5209,12199,0.3449849656357388,0.18926070038910506,0.810739299610895,1505,291,0.8066445182724252,5.171821305841925,24657920,4767744,4.269102990033223,22.079037800687285,105267200,137438953472,3156213760,305135616,2851078144,0.0007659196853637695,0.036921892239794044,1644800,60200,205600,2184,9312,277296,0.0081939697265625,0.02315420237234419
context-0-regime-0,0,0,0.9,8,128,kv-head,1505,64999,65536,6425,273,0,273,273,0,6425,28519,0.18386561355311357,0.0,1.0,1505,273,0.8186046511627907,5.512820512820513,24657920,4472832,4.269102990033223,23.534798534798536,105267200,137438953472,3156213760,572522496,2583691264,0.0007659196853637695,0.04074294845779221,1644800,60200,205600,2184,8736,276720,0.0081939697265625,0.02315420237234419
context-0-regime-0,0,0,0.9,16,64,q-head,2636,64999,65536,20116,320,187,314,501,11968,8148,11948,0.627370259481038,0.5949492940942533,0.40505070590574666,2636,501,0.8099393019726859,5.261477045908183,43188224,8208384,7.631259484066768,40.15169660678643,329580544,137438953472,5528092672,525336576,5002756096,0.0023980140686035156,0.06587979459232865,5149696,105440,643712,2560,16032,767744,0.0081939697265625,0.04055447006877029
context-0-regime-0,0,0,0.9,16,128,q-head,2636,64999,65536,20116,320,46,318,364,5888,14228,26476,0.43174793956043955,0.29270232650626365,0.7072976734937363,2636,364,0.8619119878603945,7.241758241758242,43188224,5963776,7.631259484066768,55.26373626373626,329580544,137438953472,5528092672,763363328,4764729344,0.0023980140686035156,0.0691708846830986,5149696,105440,643712,2560,11648,763360,0.0081939697265625,0.04055447006877029
context-0-regime-0,0,0,0.9,16,64,kv-head,2636,64999,65536,20116,320,187,314,501,11968,8148,11948,0.627370259481038,0.5949492940942533,0.40505070590574666,2636,501,0.8099393019726859,5.261477045908183,43188224,8208384,7.631259484066768,40.15169660678643,329580544,137438953472,5528092672,525336576,5002756096,0.0023980140686035156,0.06587979459232865,5149696,105440,643712,2560,16032,767744,0.0081939697265625,0.04055447006877029
context-0-regime-0,0,0,0.9,16,128,kv-head,2636,64999,65536,20116,320,46,318,364,5888,14228,26476,0.43174793956043955,0.29270232650626365,0.7072976734937363,2636,364,0.8619119878603945,7.241758241758242,43188224,5963776,7.631259484066768,55.26373626373626,329580544,137438953472,5528092672,763363328,4764729344,0.0023980140686035156,0.0691708846830986,5149696,105440,643712,2560,11648,763360,0.0081939697265625,0.04055447006877029
context-0-regime-0,0,0,0.9,32,64,q-head,3730,64999,65536,46209,369,549,366,915,35136,11073,12351,0.7890881147540983,0.760371356229306,0.239628643770694,3730,915,0.7546916890080428,4.076502732240437,61112320,14991360,12.388471849865951,50.501639344262294,757088256,137438953472,7822376960,959447040,6862929920,0.005508542060852051,0.11031560351413293,11829504,149200,1478688,2952,29280,1660120,0.0081939697265625,0.05738549823843444
context-0-regime-0,0,0,0.9,32,128,q-head,3730,64999,65536,46209,369,204,368,572,26112,20097,27007,0.6311325393356644,0.5650847237551127,0.43491527624488735,3730,572,0.8466487935656837,6.520979020979021,61112320,9371648,12.388471849865951,80.78496503496504,757088256,137438953472,7822376960,1199570944,6622806016,0.005508542060852051,0.1143153301139962,11829504,149200,1478688,2952,18304,1649144,0.0081939697265625,0.05738549823843444
