layer,step,remaining_mask_ratio,active_count,tile_count
0,0,0.5,101,222
0,0,0.5,102,235
0,0,0.5,103,234
0,0,0.5,104,249
0,0,0.5,105,275
0,0,0.5,106,292
0,0,0.5,107,354
0,0,0.5,108,339
0,0,0.5,109,370
0,0,0.5,110,324
0,0,0.5,111,359
0,0,0.5,112,369
0,0,0.5,113,414
0,0,0.5,114,415
0,0,0.5,115,404
0,0,0.5,116,414
0,0,0.5,117,489
0,0,0.5,118,532
0,0,0.5,119,591
0,0,0.5,120,690
0,0,0.5,121,772
0,0,0.5,122,885
0,0,0.5,123,1026
0,0,0.5,124,1333
0,0,0.5,125,1630
0,0,0.5,126,2079
0,0,0.5,127,3442
0,0,0.5,128,22864
0,0,0.9,0,537
0,0,0.9,1,243
0,0,0.9,2,213
0,0,0.9,3,182
0,0,0.9,4,191
0,0,0.9,5,162
0,0,0.9,6,157
0,0,0.9,7,162
0,0,0.9,8,195
0,0,0.9,9,143
0,0,0.9,10,181
0,0,0.9,11,178
0,0,0.9,12,163
0,0,0.9,13,135
0,0,0.9,14,138
0,0,0.9,15,95
0,0,0.9,16,98
0,0,0.9,17,85
0,0,0.9,18,84
0,0,0.9,19,78
0,0,0.9,20,85
0,0,0.9,21,67
0,0,0.9,22,73
0,0,0.9,23,81
0,0,0.9,24,61
0,0,0.9,25,55
0,0,0.9,26,71
0,0,0.9,27,69
0,0,0.9,28,71
0,0,0.9,29,52
0,0,0.9,30,47
0,0,0.9,31,56
0,0,0.9,32,59
0,0,0.9,33,43
0,0,0.9,34,55
0,0,0.9,35,44
0,0,0.9,36,59
0,0,0.9,37,61
0,0,0.9,38,46
0,0,0.9,39,43
0,0,0.9,40,65
0,0,0.9,41,38
0,0,0.9,42,45
0,0,0.9,43,46
0,0,0.9,44,43
0,0,0.9,45,25
0,0,0.9,46,44
0,0,0.9,47,29
0,0,0.9,48,43
0,0,0.9,49,39
0,0,0.9,50,39
0,0,0.9,51,44
0,0,0.9,52,44
0,0,0.9,53,35
0,0,0.9,54,35
0,0,0.9,55,36
0,0,0.9,56,31
0,0,0.9,57,38
0,0,0.9,58,33
0,0,0.9,59,32
0,0,0.9,60,48
0,0,0.9,61,29
0,0,0.9,62,37
0,0,0.9,63,36
0,0,0.9,64,35
0,0,0.9,65,42
0,0,0.9,66,51
0,0,0.9,67,53
0,0,0.9,68,48
0,0,0.9,69,48
0,0,0.9,70,48
