dimension,value,active_count,tile_count
kv_head,1,109,1166
kv_head,1,110,1068
kv_head,1,111,1222
kv_head,1,112,1253
kv_head,1,113,1190
kv_head,1,114,1288
kv_head,1,115,1328
kv_head,1,116,1287
kv_head,1,117,1385
kv_head,1,118,1469
kv_head,1,119,1529
kv_head,1,120,1568
kv_head,1,121,1643
kv_head,1,122,1814
kv_head,1,123,2039
kv_head,1,124,2311
kv_head,1,125,2777
kv_head,1,126,3452
kv_head,1,127,5256
kv_head,1,128,30077
kv_head,10,0,116851
kv_head,10,1,22839
kv_head,10,2,13969
kv_head,10,3,10211
kv_head,10,4,8060
kv_head,10,5,6538
kv_head,10,6,5754
kv_head,10,7,5036
kv_head,10,8,4663
kv_head,10,9,4129
kv_head,10,10,3852
kv_head,10,11,3577
kv_head,10,12,3157
kv_head,10,13,2976
kv_head,10,14,2795
kv_head,10,15,2641
kv_head,10,16,2473
kv_head,10,17,2325
kv_head,10,18,2234
kv_head,10,19,2172
kv_head,10,20,2001
kv_head,10,21,1969
kv_head,10,22,1848
kv_head,10,23,1847
kv_head,10,24,1809
kv_head,10,25,1659
kv_head,10,26,1695
kv_head,10,27,1585
kv_head,10,28,1559
kv_head,10,29,1495
kv_head,10,30,1468
kv_head,10,31,1474
kv_head,10,32,1440
kv_head,10,33,1375
kv_head,10,34,1359
kv_head,10,35,1271
kv_head,10,36,1304
kv_head,10,37,1258
kv_head,10,38,1244
kv_head,10,39,1195
kv_head,10,40,1233
kv_head,10,41,1208
kv_head,10,42,1193
kv_head,10,43,1171
kv_head,10,44,1112
kv_head,10,45,1176
kv_head,10,46,1122
kv_head,10,47,1093
kv_head,10,48,1108
kv_head,10,49,1081
kv_head,10,50,1059
kv_head,10,51,1055
kv_head,10,52,1054
kv_head,10,53,1048
kv_head,10,54,1004
kv_head,10,55,1091
kv_head,10,56,1115
kv_head,10,57,1049
kv_head,10,58,1089
kv_head,10,59,967
kv_head,10,60,1007
kv_head,10,61,1038
kv_head,10,62,1030
kv_head,10,63,989
kv_head,10,64,967
kv_head,10,65,1064
kv_head,10,66,994
kv_head,10,67,975
kv_head,10,68,861
kv_head,10,69,962
kv_head,10,70,926
kv_head,10,71,885
kv_head,10,72,998
kv_head,10,73,854
kv_head,10,74,855
kv_head,10,75,875
kv_head,10,76,875
kv_head,10,77,876
kv_head,10,78,858
kv_head,10,79,840
kv_head,10,80,849
kv_head,10,81,851
kv_head,10,82,865
kv_head,10,83,884
kv_head,10,84,901
kv_head,10,85,902
kv_head,10,86,910
kv_head,10,87,897
kv_head,10,88,894
kv_head,10,89,912
kv_head,10,90,950
kv_head,10,91,920
kv_head,10,92,972
kv_head,10,93,978
kv_head,10,94,1000
kv_head,10,95,984
kv_head,10,96,1052
kv_head,10,97,1044
kv_head,10,98,1020
kv_head,10,99,954
kv_head,10,100,1065
kv_head,10,101,1054
kv_head,10,102,995
kv_head,10,103,975
kv_head,10,104,941
kv_head,10,105,985
kv_head,10,106,970
kv_head,10,107,984
kv_head,10,108,1039
kv_head,10,109,1024
kv_head,10,110,1018
kv_head,10,111,1100
kv_head,10,112,1087
kv_head,10,113,1104
kv_head,10,114,1169
kv_head,10,115,1212
kv_head,10,116,1267
kv_head,10,117,1399
kv_head,10,118,1427
kv_head,10,119,1592
kv_head,10,120,1583
kv_head,10,121,1887
kv_head,10,122,2069
kv_head,10,123,2425
kv_head,10,124,2532
kv_head,10,125,3151
kv_head,10,126,3835
kv_head,10,127,5636
kv_head,10,128,31088
kv_head,11,0,108982
kv_head,11,1,24132
kv_head,11,2,14953
kv_head,11,3,10559
kv_head,11,4,8255
kv_head,11,5,6876
kv_head,11,6,5967
kv_head,11,7,5124
kv_head,11,8,4654
kv_head,11,9,4226
kv_head,11,10,3820
kv_head,11,11,3595
kv_head,11,12,3331
kv_head,11,13,3000
kv_head,11,14,2884
kv_head,11,15,2732
kv_head,11,16,2545
kv_head,11,17,2430
kv_head,11,18,2304
kv_head,11,19,2304
kv_head,11,20,2147
kv_head,11,21,2066
