request_id,layer,step,remaining_mask_ratio,tau,pack_m,grouping,candidate_tiles,retained_tiles,all_tiles,exception_rows,grouping_keys,complete_packs,partial_packs,total_packs,full_pack_rows,partial_pack_rows,padded_rows,weighted_utilization,complete_pack_row_fraction,partial_pack_row_fraction,original_v_loads,packed_v_loads,v_load_reduction,v_load_factor,v_bytes_before,v_bytes_after,average_rows_per_original_v_load,average_rows_per_packed_v_load,extra_qk_flops,baseline_qk_flops,candidate_main_pv_flops,packed_pv_flops,pv_flops_avoided,extra_qk_fraction_of_baseline,extra_qk_fraction_of_pv_avoided,q_read_bytes,tile_record_bytes,expanded_descriptor_bytes,count_offset_bytes,pack_descriptor_bytes,total_metadata_bytes,zero_tile_fraction,candidate_fraction_of_retained
context-0,0,0,0.9,8,128,q-head,1320,65013,65536,5761,236,0,236,236,0,5761,24447,0.19071106991525424,0.0,1.0,1320,236,0.8212121212121212,5.593220338983051,21626880,3866624,4.364393939393939,24.411016949152543,94388224,137438953472,2768240640,494927872,2273312768,0.0006867647171020508,0.041520122232472326,1474816,52800,184352,1888,7552,246592,0.0079803466796875,0.020303631581376033
context-0,0,0,0.9,8,64,kv-head,1320,65013,65536,5761,236,14,236,250,896,4865,10239,0.3600625,0.15552855407047386,0.8444714459295262,1320,250,0.8106060606060606,5.28,21626880,4096000,4.364393939393939,23.044,94388224,137438953472,2768240640,262144000,2506096640,0.0006867647171020508,0.03766344142259414,1474816,52800,184352,1888,8000,247040,0.0079803466796875,0.020303631581376033
context-0,0,0,0.9,8,128,kv-head,1320,65013,65536,5761,236,0,236,236,0,5761,24447,0.19071106991525424,0.0,1.0,1320,236,0.8212121212121212,5.593220338983051,21626880,3866624,4.364393939393939,24.411016949152543,94388224,137438953472,2768240640,494927872,2273312768,0.0006867647171020508,0.041520122232472326,1474816,52800,184352,1888,7552,246592,0.0079803466796875,0.020303631581376033
context-0,0,0,0.9,16,64,q-head,2334,65013,65536,18077,280,164,276,440,10496,7581,10083,0.6419389204545455,0.5806273164795044,0.41937268352049567,2334,440,0.8114824335904027,5.304545454545455,38240256,7208960,7.745072836332477,41.08409090909091,296173568,137438953472,4894752768,461373440,4433379328,0.0021549463272094727,0.06680537488174078,4627712,93360,578464,2240,14080,688144,0.0079803466796875,0.035900512205251256
context-0,0,0,0.9,16,128,q-head,2334,65013,65536,18077,280,39,280,319,4992,13085,22755,0.44271649686520376,0.2761520163743984,0.7238479836256015,2334,319,0.863324764353042,7.316614420062696,38240256,5226496,7.745072836332477,56.66771159874608,296173568,137438953472,4894752768,668991488,4225761280,0.0021549463272094727,0.07008762406947891,4627712,93360,578464,2240,10208,684272,0.0079803466796875,0.035900512205251256
context-0,0,0,0.9,16,64,kv-head,2334,65013,65536,18077,280,164,276,440,10496,7581,10083,0.6419389204545455,0.5806273164795044,0.41937268352049567,2334,440,0.8114824335904027,5.304545454545455,38240256,7208960,7.745072836332477,41.08409090909091,296173568,137438953472,4894752768,461373440,4433379328,0.0021549463272094727,0.06680537488174078,4627712,93360,578464,2240,14080,688144,0.0079803466796875,0.035900512205251256
context-0,0,0,0.9,16,128,kv-head,2334,65013,65536,18077,280,39,280,319,4992,13085,22755,0.44271649686520376,0.2761520163743984,0.7238479836256015,2334,319,0.863324764353042,7.316614420062696,38240256,5226496,7.745072836332477,56.66771159874608,296173568,137438953472,4894752768,668991488,4225761280,0.0021549463272094727,0.07008762406947891,4627712,93360,578464,2240,10208,684272,0.0079803466796875,0.035900512205251256
context-0,0,0,0.9,32,64,q-head,3289,65013,65536,40462,324,491,322,813,31424,9038,11570,0.7776368388683886,0.7766299243734862,0.22337007562651376,3289,813,0.7528124049863181,4.045510455104551,53886976,13320192,12.302219519610825,49.76875768757687,662929408,137438953472,6897532928,852492288,6045040640,0.004823446273803711,0.10966500433651344,10358272,131560,1294784,2592,26016,1454952,0.0079803466796875,0.05058988202359528
context-0,0,0,0.9,32,128,q-head,3289,65013,65536,40462,324,184,323,507,23552,16910,24434,0.6234898915187377,0.582077010528397,0.417922989471603,3289,507,0.8458498023715415,6.487179487179487,53886976,8306688,12.302219519610825,79.80670611439842,662929408,137438953472,6897532928,1063256064,5834276864,0.004823446273803711,0.11362666247304097,10358272,131560,1294784,2592,16224,1445160,0.0079803466796875,0.05058988202359528
context-0,0,0,0.9,32,64,kv-head,3289,65013,65536,40462,324,491,322,813,31424,9038,11570,0.7776368388683886,0.7766299243734862,0.22337007562651376,3289,813,0.7528124049863181,4.045510455104551,53886976,13320192,12.302219519610825,49.76875768757687,662929408,137438953472,6897532928,852492288,6045040640,0.004823446273803711,0.10966500433651344,10358272,131560,1294784,2592,26016,1454952,0.0079803466796875,0.05058988202359528
context-0,0,0,0.9,32,128,kv-head,3289,65013,65536,40462,324,184,323,507,23552,16910,24434,0.6234898915187377,0.582077010528397,0.417922989471603,3289,507,0.8458498023715415,6.487179487179487,53886976,8306688,12.302219519610825,79.80670611439842,662929408,137438953472,6897532928,1063256064,5834276864,0.004823446273803711,0.11362666247304097,10358272,131560,1294784,2592,16224,1445160,0.0079803466796875,0.05058988202359528
context-0,0,1,0.5,1,64,q-head,612,61339,65536,612,224,0,224,224,0,612,13724,0.042689732142857144,0.0,1.0,612,224,0.6339869281045751,2.732142857142857,10027008,3670016,1.0,2.732142857142857,10027008,137438953472,1283457024,234881024,1048576000,7.295608520507812e-05,0.0095625,156672,24480,19584,1792,7168,53024,0.0640411376953125,0.00997733905019645
context-0,0,1,0.5,1,128,q-head,612,61339,65536,612,224,0,224,224,0,612,28060,0.021344866071428572,0.0,1.0,612,224,0.6339869281045751,2.732142857142857,10027008,3670016,1.0,2.732142857142857,10027008,137438953472,1283457024,469762048,813694976,7.295608520507812e-05,0.012322809278350515,156672,24480,19584,1792,7168,53024,0.0640411376953125,0.00997733905019645
context-0,0,1,0.5,1,64,kv-head,612,61339,65536,612,224,0,224,224,0,612,13724,0.042689732142857144,0.0,1.0,612,224,0.6339869281045751,2.732142857142857,10027008,3670016,1.0,2.732142857142857,10027008,137438953472,1283457024,234881024,1048576000,7.295608520507812e-05,0.0095625,156672,24480,19584,1792,7168,53024,0.0640411376953125,0.00997733905019645
context-0,0,1,0.5,1,128,kv-head,612,61339,65536,612,224,0,224,224,0,612,28060,0.021344866071428572,0.0,1.0,612,224,0.6339869281045751,2.732142857142857,10027008,3670016,1.0,2.732142857142857,10027008,137438953472,1283457024,469762048,813694976,7.295608520507812e-05,0.012322809278350515,156672,24480,19584,1792,7168,53024,0.0640411376953125,0.00997733905019645
context-0,0,1,0.5,2,64,q-head,868,61339,65536,1124,266,0,266,266,0,1124,15900,0.06602443609022557,0.0,1.0,868,266,0.6935483870967742,3.263157894736842,14221312,4358144,1.294930875576037,4.225563909774436,18415616,137438953472,1820327936,278921216,1541406720,0.00013399124145507812,0.011947278911564626,287744,34720,35968,2128,8512,81328,0.0640411376953125,0.014150866496030258
