layer,step,remaining_mask_ratio,active_count,tile_count
0,0,0.9,0,523
0,0,0.9,1,212
0,0,0.9,2,178
0,0,0.9,3,149
0,0,0.9,4,146
0,0,0.9,5,156
0,0,0.9,6,153
0,0,0.9,7,144
0,0,0.9,8,182
0,0,0.9,9,137
0,0,0.9,10,154
0,0,0.9,11,150
0,0,0.9,12,133
0,0,0.9,13,135
0,0,0.9,14,120
0,0,0.9,15,98
0,0,0.9,16,87
0,0,0.9,17,81
0,0,0.9,18,91
0,0,0.9,19,75
0,0,0.9,20,77
0,0,0.9,21,67
0,0,0.9,22,65
0,0,0.9,23,58
0,0,0.9,24,56
0,0,0.9,25,61
0,0,0.9,26,43
0,0,0.9,27,54
0,0,0.9,28,59
0,0,0.9,29,40
0,0,0.9,30,39
0,0,0.9,31,41
0,0,0.9,32,48
0,0,0.9,33,37
0,0,0.9,34,31
0,0,0.9,35,44
0,0,0.9,36,30
0,0,0.9,37,36
0,0,0.9,38,43
0,0,0.9,39,32
0,0,0.9,40,32
0,0,0.9,41,26
0,0,0.9,42,46
0,0,0.9,43,29
0,0,0.9,44,33
0,0,0.9,45,22
0,0,0.9,46,27
0,0,0.9,47,32
0,0,0.9,48,32
0,0,0.9,49,32
0,0,0.9,50,34
0,0,0.9,51,30
0,0,0.9,52,27
0,0,0.9,53,35
0,0,0.9,54,24
0,0,0.9,55,32
0,0,0.9,56,34
0,0,0.9,57,35
0,0,0.9,58,42
0,0,0.9,59,35
0,0,0.9,60,29
0,0,0.9,61,26
0,0,0.9,62,36
0,0,0.9,63,38
0,0,0.9,64,35
0,0,0.9,65,23
0,0,0.9,66,28
0,0,0.9,67,44
0,0,0.9,68,38
0,0,0.9,69,59
0,0,0.9,70,49
0,0,0.9,71,47
0,0,0.9,72,53
0,0,0.9,73,36
0,0,0.9,74,34
0,0,0.9,75,39
0,0,0.9,76,44
0,0,0.9,77,46
0,0,0.9,78,60
0,0,0.9,79,61
0,0,0.9,80,57
0,0,0.9,81,59
0,0,0.9,82,67
0,0,0.9,83,77
0,0,0.9,84,59
0,0,0.9,85,60
0,0,0.9,86,83
0,0,0.9,87,63
0,0,0.9,88,76
0,0,0.9,89,75
0,0,0.9,90,96
0,0,0.9,91,69
0,0,0.9,92,83
0,0,0.9,93,84
0,0,0.9,94,81
0,0,0.9,95,71
0,0,0.9,96,80
0,0,0.9,97,94
0,0,0.9,98,86
0,0,0.9,99,102
0,0,0.9,100,98
0,0,0.9,101,105
0,0,0.9,102,97
0,0,0.9,103,105
0,0,0.9,104,105
0,0,0.9,105,110
0,0,0.9,106,101
0,0,0.9,107,127
0,0,0.9,108,131
0,0,0.9,109,132
0,0,0.9,110,152
0,0,0.9,111,155
0,0,0.9,112,144
0,0,0.9,113,179
0,0,0.9,114,173
0,0,0.9,115,202
0,0,0.9,116,266
0,0,0.9,117,250
0,0,0.9,118,336
0,0,0.9,119,287
0,0,0.9,120,277
0,0,0.9,121,350
0,0,0.9,122,450
0,0,0.9,123,425
0,0,0.9,124,424
0,0,0.9,125,648
0,0,0.9,126,1049
0,0,0.9,127,2312
0,0,0.9,128,49295
0,1,0.5,0,4197
0,1,0.5,1,612
0,1,0.5,2,256
0,1,0.5,3,209
0,1,0.5,4,173
0,1,0.5,5,184
0,1,0.5,6,186
0,1,0.5,7,216
0,1,0.5,8,191
0,1,0.5,9,258
0,1,0.5,10,224
0,1,0.5,11,232
0,1,0.5,12,264
0,1,0.5,13,202
0,1,0.5,14,251
0,1,0.5,15,214
0,1,0.5,16,208
0,1,0.5,17,196
0,1,0.5,18,148
0,1,0.5,19,153
0,1,0.5,20,150
0,1,0.5,21,145
0,1,0.5,22,133
0,1,0.5,23,113
0,1,0.5,24,108
0,1,0.5,25,142
0,1,0.5,26,118
0,1,0.5,27,125
0,1,0.5,28,142
0,1,0.5,29,139
0,1,0.5,30,143
0,1,0.5,31,139
0,1,0.5,32,158
0,1,0.5,33,147
0,1,0.5,34,167
0,1,0.5,35,212
0,1,0.5,36,199
0,1,0.5,37,164
0,1,0.5,38,200
0,1,0.5,39,222
0,1,0.5,40,190
0,1,0.5,41,214
0,1,0.5,42,180
0,1,0.5,43,213
0,1,0.5,44,214
0,1,0.5,45,231
0,1,0.5,46,208
0,1,0.5,47,257
0,1,0.5,48,256
0,1,0.5,49,281
0,1,0.5,50,271
0,1,0.5,51,271
0,1,0.5,52,259
0,1,0.5,53,272
0,1,0.5,54,329
0,1,0.5,55,278
0,1,0.5,56,246
0,1,0.5,57,222
0,1,0.5,58,237
0,1,0.5,59,218
0,1,0.5,60,201
0,1,0.5,61,212
0,1,0.5,62,221
0,1,0.5,63,212
0,1,0.5,64,201
0,1,0.5,65,239
0,1,0.5,66,181
0,1,0.5,67,187
0,1,0.5,68,192
0,1,0.5,69,187
0,1,0.5,70,162
0,1,0.5,71,185
0,1,0.5,72,175
0,1,0.5,73,180
0,1,0.5,74,168
0,1,0.5,75,171
0,1,0.5,76,184
0,1,0.5,77,174
0,1,0.5,78,166
0,1,0.5,79,163
0,1,0.5,80,166
0,1,0.5,81,169
0,1,0.5,82,159
0,1,0.5,83,160
0,1,0.5,84,178
0,1,0.5,85,172
0,1,0.5,86,165
0,1,0.5,87,176
0,1,0.5,88,181
0,1,0.5,89,170
0,1,0.5,90,201
0,1,0.5,91,193
0,1,0.5,92,197
0,1,0.5,93,196
0,1,0.5,94,199
0,1,0.5,95,184
0,1,0.5,96,227
0,1,0.5,97,174
0,1,0.5,98,230
0,1,0.5,99,255
0,1,0.5,100,244
0,1,0.5,101,242
0,1,0.5,102,259
0,1,0.5,103,264
0,1,0.5,104,286
0,1,0.5,105,266
0,1,0.5,106,282
0,1,0.5,107,305
0,1,0.5,108,320
0,1,0.5,109,348
0,1,0.5,110,355
0,1,0.5,111,369
0,1,0.5,112,404
0,1,0.5,113,446
0,1,0.5,114,437
0,1,0.5,115,445
0,1,0.5,116,511
0,1,0.5,117,492
0,1,0.5,118,506
0,1,0.5,119,578
0,1,0.5,120,641
0,1,0.5,121,675
0,1,0.5,122,769
0,1,0.5,123,871
0,1,0.5,124,1268
0,1,0.5,125,1449
0,1,0.5,126,2117
0,1,0.5,127,3279
0,1,0.5,128,23108
0,2,0.15,0,23902
0,2,0.15,1,3980
0,2,0.15,2,2227
0,2,0.15,3,1758
0,2,0.15,4,1433
0,2,0.15,5,1236
0,2,0.15,6,1106
0,2,0.15,7,1028
0,2,0.15,8,965
0,2,0.15,9,838
0,2,0.15,10,858
0,2,0.15,11,874
0,2,0.15,12,810
0,2,0.15,13,767
0,2,0.15,14,745
0,2,0.15,15,684
0,2,0.15,16,667
0,2,0.15,17,697
0,2,0.15,18,637
0,2,0.15,19,644
0,2,0.15,20,592
0,2,0.15,21,528
0,2,0.15,22,541
0,2,0.15,23,569
0,2,0.15,24,507
0,2,0.15,25,480
0,2,0.15,26,539
0,2,0.15,27,537
0,2,0.15,28,496
0,2,0.15,29,437
0,2,0.15,30,436
0,2,0.15,31,420
0,2,0.15,32,407
0,2,0.15,33,403
0,2,0.15,34,352
0,2,0.15,35,376
0,2,0.15,36,382
0,2,0.15,37,384
0,2,0.15,38,342
0,2,0.15,39,315
0,2,0.15,40,297
0,2,0.15,41,325
0,2,0.15,42,287
0,2,0.15,43,318
0,2,0.15,44,279
0,2,0.15,45,293
0,2,0.15,46,288
0,2,0.15,47,276
0,2,0.15,48,234
0,2,0.15,49,243
0,2,0.15,50,239
0,2,0.15,51,199
0,2,0.15,52,245
0,2,0.15,53,229
0,2,0.15,54,237
0,2,0.15,55,216
0,2,0.15,56,210
0,2,0.15,57,192
0,2,0.15,58,191
0,2,0.15,59,205
0,2,0.15,60,185
0,2,0.15,61,184
0,2,0.15,62,183
0,2,0.15,63,166
0,2,0.15,64,188
0,2,0.15,65,196
0,2,0.15,66,163
0,2,0.15,67,136
0,2,0.15,68,134
0,2,0.15,69,119
0,2,0.15,70,131
