split,scope,policy,new_maximum_protection,rows,relative_output_error_count,relative_output_error_mean,relative_output_error_maximum,relative_output_error_minimum,row_cosine_count,row_cosine_mean,row_cosine_maximum,row_cosine_minimum,maximum_absolute_output_error,relative_denominator_error_count,relative_denominator_error_mean,relative_denominator_error_maximum,relative_denominator_error_minimum,relative_numerator_error_count,relative_numerator_error_mean,relative_numerator_error_maximum,relative_numerator_error_minimum,physical_tiles,baseline_kept_tiles,candidate_tiles,replaced_tiles,physical_replacement_fraction,kept_replacement_fraction
calibration,all_rows,all_candidates,all_rows,18432,18432,0.01911441328294964,0.6399818658828735,0.0,18432,0.9994144664152473,1.0000003576278687,0.783967912197113,2.0376696586608887,18432,0.019625037300607398,0.46539872884750366,0.0,18432,0.01936327196631657,0.6228542923927307,0.0,9216,6498,1781,793,0.08604600694444445,0.12203755001538935
calibration,all_rows,all_candidates,none,18432,18432,0.06458967672636153,1.19938063621521,0.0,18432,0.9946045400817335,1.0000003576278687,0.1901964247226715,7.256598949432373,18432,0.07480700946891577,0.6669836044311523,0.0,18432,0.08493628575115254,1.1796576976776123,0.0,9216,6498,1781,1781,0.19325086805555555,0.27408433364112034
calibration,all_rows,all_candidates,veto_rows,18432,18432,0.01911441328294964,0.6399818658828735,0.0,18432,0.9994144664152473,1.0000003576278687,0.783967912197113,2.0376696586608887,18432,0.019625037300607398,0.46539872884750366,0.0,18432,0.01936327196631657,0.6228542923927307,0.0,9216,6498,1781,793,0.08604600694444445,0.12203755001538935
calibration,all_rows,cumulative_exact_mass_0.003,all_rows,18432,18432,1.1038813457361954e-05,0.00633101025596261,0.0,18432,0.9999999829645579,1.0000003576278687,0.9999804496765137,0.011445760726928711,18432,7.070102987604008e-06,0.002486884593963623,0.0,18432,1.0013934463748691e-05,0.006444335449486971,0.0,9216,6498,1781,8,0.0008680555555555555,0.0012311480455524776
calibration,all_rows,cumulative_exact_mass_0.003,none,18432,18432,2.074918381100782e-05,0.008332494646310806,0.0,18432,0.9999999708056243,1.0000003576278687,0.9999670386314392,0.011445760726928711,18432,1.1663657561358479e-05,0.002543032169342041,0.0,18432,1.8826524353870412e-05,0.00814656913280487,0.0,9216,6498,1781,11,0.001193576388888889,0.001692828562634657
calibration,all_rows,cumulative_exact_mass_0.003,veto_rows,18432,18432,1.1038813457361954e-05,0.00633101025596261,0.0,18432,0.9999999829645579,1.0000003576278687,0.9999804496765137,0.011445760726928711,18432,7.070102987604008e-06,0.002486884593963623,0.0,18432,1.0013934463748691e-05,0.006444335449486971,0.0,9216,6498,1781,8,0.0008680555555555555,0.0012311480455524776
calibration,all_rows,cumulative_exact_mass_0.01,all_rows,18432,18432,0.0003627710914882555,0.057103481143713,0.0,18432,0.9999989188573737,1.0000003576278687,0.9984761476516724,0.038601458072662354,18432,0.00022391358571540978,0.009181499481201172,0.0,18432,0.00034757018464858885,0.05582098662853241,0.0,9216,6498,1781,52,0.005642361111111111,0.008002462296091105
calibration,all_rows,cumulative_exact_mass_0.01,none,18432,18432,0.0005407977999881995,0.057103481143713,0.0,18432,0.9999985076234831,1.0000003576278687,0.9984761476516724,0.038601458072662354,18432,0.0003836624544217355,0.01323634386062622,0.0,18432,0.0005332808524087159,0.05582098662853241,0.0,9216,6498,1781,70,0.007595486111111111,0.01077254539858418
calibration,all_rows,cumulative_exact_mass_0.01,veto_rows,18432,18432,0.0003627710914882555,0.057103481143713,0.0,18432,0.9999989188573737,1.0000003576278687,0.9984761476516724,0.038601458072662354,18432,0.00022391358571540978,0.009181499481201172,0.0,18432,0.00034757018464858885,0.05582098662853241,0.0,9216,6498,1781,52,0.005642361111111111,0.008002462296091105
calibration,all_rows,cumulative_exact_mass_0.03,all_rows,18432,18432,0.002275952284549839,0.09119910001754761,0.0,18432,0.9999853527276881,1.0000003576278687,0.9959860444068909,0.24220633506774902,18432,0.0018599893018189403,0.037191152572631836,0.0,18432,0.0023648109733621523,0.09788622707128525,0.0,9216,6498,1781,162,0.017578125,0.024930747922437674
calibration,all_rows,cumulative_exact_mass_0.03,none,18432,18432,0.00465530423605855,0.09119910001754761,0.0,18432,0.9999649246359089,1.0000003576278687,0.9959860444068909,0.24220633506774902,18432,0.004465182256859003,0.04917258024215698,0.0,18432,0.005386051338125901,0.09788622707128525,0.0,9216,6498,1781,252,0.02734375,0.038781163434903045
calibration,all_rows,cumulative_exact_mass_0.03,veto_rows,18432,18432,0.002275952284549839,0.09119910001754761,0.0,18432,0.9999853527276881,1.0000003576278687,0.9959860444068909,0.24220633506774902,18432,0.0018599893018189403,0.037191152572631836,0.0,18432,0.0023648109733621523,0.09788622707128525,0.0,9216,6498,1781,162,0.017578125,0.024930747922437674
calibration,all_rows,cumulative_predicted_error_0.003,all_rows,18432,18432,2.14822050061506e-05,0.01021149754524231,0.0,18432,0.9999999681151368,1.0000003576278687,0.9999493956565857,0.0806732177734375,18432,1.307227972170545e-05,0.008573770523071289,0.0,18432,2.039360797332298e-05,0.010707108303904533,0.0,9216,6498,1781,10,0.0010850694444444445,0.0015389350569405972
calibration,all_rows,cumulative_predicted_error_0.003,none,18432,18432,2.8087108667306094e-05,0.01021149754524231,0.0,18432,0.9999999571559278,1.0000003576278687,0.9999493956565857,0.0806732177734375,18432,1.588884171926313e-05,0.008573770523071289,0.0,18432,2.669148139065952e-05,0.010707108303904533,0.0,9216,6498,1781,12,0.0013020833333333333,0.0018467220683287165
calibration,all_rows,cumulative_predicted_error_0.003,veto_rows,18432,18432,2.14822050061506e-05,0.01021149754524231,0.0,18432,0.9999999681151368,1.0000003576278687,0.9999493956565857,0.0806732177734375,18432,1.307227972170545e-05,0.008573770523071289,0.0,18432,2.039360797332298e-05,0.010707108303904533,0.0,9216,6498,1781,10,0.0010850694444444445,0.0015389350569405972
calibration,all_rows,cumulative_predicted_error_0.01,all_rows,18432,18432,0.00020035272136794113,0.020380884408950806,0.0,18432,0.9999996177050181,1.0000003576278687,0.9997934103012085,0.0989828109741211,18432,0.00015585487643774186,0.019068598747253418,0.0,18432,0.000186539321223254,0.025637999176979065,0.0,9216,6498,1781,50,0.005425347222222222,0.007694675284702986
calibration,all_rows,cumulative_predicted_error_0.01,none,18432,18432,0.00029878044828834585,0.023610057309269905,0.0,18432,0.9999994170341071,1.0000003576278687,0.9997934103012085,0.0989828109741211,18432,0.0002432152169704851,0.019068598747253418,0.0,18432,0.00027541852244079515,0.025637999176979065,0.0,9216,6498,1781,61,0.006618923611111111,0.009387503847337643
calibration,all_rows,cumulative_predicted_error_0.01,veto_rows,18432,18432,0.00020035272136794113,0.020380884408950806,0.0,18432,0.9999996177050181,1.0000003576278687,0.9997934103012085,0.0989828109741211,18432,0.00015585487643774186,0.019068598747253418,0.0,18432,0.000186539321223254,0.025637999176979065,0.0,9216,6498,1781,50,0.005425347222222222,0.007694675284702986
calibration,all_rows,cumulative_predicted_error_0.03,all_rows,18432,18432,0.0015517679421693336,0.09119910001754761,0.0,18432,0.9999923599825706,1.0000003576278687,0.9959860444068909,0.2610197067260742,18432,0.001373836599264501,0.050323426723480225,0.0,18432,0.0016207991415119983,0.09788622707128525,0.0,9216,6498,1781,158,0.017144097222222224,0.024315173899661435
calibration,all_rows,cumulative_predicted_error_0.03,none,18432,18432,0.0036970942985241014,0.09119910001754761,0.0,18432,0.9999754027457028,1.0000003576278687,0.9959860444068909,0.32601118087768555,18432,0.003771334624616429,0.05481308698654175,0.0,18432,0.004316902156113734,0.09788622707128525,0.0,9216,6498,1781,242,0.026258680555555556,0.03724222837796245
calibration,all_rows,cumulative_predicted_error_0.03,veto_rows,18432,18432,0.0015517679421693336,0.09119910001754761,0.0,18432,0.9999923599825706,1.0000003576278687,0.9959860444068909,0.2610197067260742,18432,0.001373836599264501,0.050323426723480225,0.0,18432,0.0016207991415119983,0.09788622707128525,0.0,9216,6498,1781,158,0.017144097222222224,0.024315173899661435
calibration,all_rows,exact_allmax_lt_0.001,all_rows,18432,18432,1.2500443730600799e-06,0.0022843522019684315,0.0,18432,0.9999999921063945,1.0000003576278687,0.9999974966049194,0.0035424232482910156,18432,7.621484756883648e-07,0.0009417533874511719,0.0,18432,1.1182155579544583e-06,0.0023311416152864695,0.0,9216,6498,1781,2,0.00021701388888888888,0.0003077870113881194
calibration,all_rows,exact_allmax_lt_0.001,none,18432,18432,1.2500443730600799e-06,0.0022843522019684315,0.0,18432,0.9999999921063945,1.0000003576278687,0.9999974966049194,0.0035424232482910156,18432,7.621484756883648e-07,0.0009417533874511719,0.0,18432,1.1182155579544583e-06,0.0023311416152864695,0.0,9216,6498,1781,2,0.00021701388888888888,0.0003077870113881194
calibration,all_rows,exact_allmax_lt_0.001,veto_rows,18432,18432,1.2500443730600799e-06,0.0022843522019684315,0.0,18432,0.9999999921063945,1.0000003576278687,0.9999974966049194,0.0035424232482910156,18432,7.621484756883648e-07,0.0009417533874511719,0.0,18432,1.1182155579544583e-06,0.0023311416152864695,0.0,9216,6498,1781,2,0.00021701388888888888,0.0003077870113881194
calibration,all_rows,exact_allmax_lt_0.003,all_rows,18432,18432,1.4169680748908513e-05,0.00633101025596261,0.0,18432,0.9999999806006801,1.0000003576278687,0.9999804496765137,0.011445760726928711,18432,9.688558445001641e-06,0.004357337951660156,0.0,18432,1.2172421263564217e-05,0.006444335449486971,0.0,9216,6498,1781,10,0.0010850694444444445,0.0015389350569405972
calibration,all_rows,exact_allmax_lt_0.003,none,18432,18432,2.388005110255438e-05,0.008332494646310806,0.0,18432,0.9999999684417465,1.0000003576278687,0.9999670386314392,0.011445760726928711,18432,1.4282113018756112e-05,0.004357337951660156,0.0,18432,2.0985011153685936e-05,0.00814656913280487,0.0,9216,6498,1781,13,0.0014105902777777778,0.0020006155740227762
calibration,all_rows,exact_allmax_lt_0.003,veto_rows,18432,18432,1.4169680748908513e-05,0.00633101025596261,0.0,18432,0.9999999806006801,1.0000003576278687,0.9999804496765137,0.011445760726928711,18432,9.688558445001641e-06,0.004357337951660156,0.0,18432,1.2172421263564217e-05,0.006444335449486971,0.0,9216,6498,1781,10,0.0010850694444444445,0.0015389350569405972
calibration,all_rows,exact_allmax_lt_0.01,all_rows,18432,18432,0.00045445319377790546,0.057103481143713,0.0,18432,0.9999986430759438,1.0000003576278687,0.9984761476516724,0.07456547021865845,18432,0.00032106333593320515,0.028027832508087158,0.0,18432,0.00043344521794498993,0.05582098662853241,0.0,9216,6498,1781,83,0.009006076388888888,0.012773160972606955
calibration,all_rows,exact_allmax_lt_0.01,none,18432,18432,0.0007269148375393757,0.057103481143713,0.0,18432,0.9999978065542463,1.0000003576278687,0.9984761476516724,0.07456547021865845,18432,0.0005968186790899684,0.030429303646087646,0.0,18432,0.0007125596270701451,0.05582098662853241,0.0,9216,6498,1781,111,0.012044270833333334,0.017082179132040628
