split,scope,method,rows,u_cosine_count,u_cosine_mean,u_cosine_maximum,u_cosine_minimum,relative_u_error_count,relative_u_error_mean,relative_u_error_maximum,relative_u_error_minimum,relative_contribution_error_count,relative_contribution_error_mean,relative_contribution_error_maximum,relative_contribution_error_minimum,worst_veto_row_relative_u_error_count,worst_veto_row_relative_u_error_mean,worst_veto_row_relative_u_error_maximum,worst_veto_row_relative_u_error_minimum
calibration,all_rows,kmeans_joint_r1,227968,227968,0.6568623220334886,0.9999815225601196,-0.4273096024990082,227968,0.7656188487511937,3.774380922317505,0.006137701217085123,227968,0.008776951672936689,1.0595096349716187,6.031384837098044e-14,1781,1.0716153337572614,3.348433256149292,0.06914883852005005
calibration,all_rows,kmeans_joint_r2,227968,227968,0.7010516245067365,1.0000001192092896,-0.41229507327079773,227968,0.7250264422482071,11.4871826171875,9.939751907950267e-05,227968,0.008308551468745809,1.1037237644195557,6.148595901086379e-14,1781,1.0600670435032697,6.381099700927734,0.0005799275240860879
calibration,all_rows,kmeans_joint_r4,227968,227968,0.7451880860235143,1.0000001192092896,-0.3961525559425354,227968,0.6753985922998144,11.403779029846191,9.377833339385688e-05,227968,0.007804306949294536,1.4635603427886963,5.046469494997437e-14,1781,1.0338775378383984,6.330565452575684,0.0005131060024723411
calibration,all_rows,kmeans_joint_r8,227968,227968,0.7918319003918213,1.0000001192092896,-0.3854708969593048,227968,0.6129309043472835,9.41580581665039,4.360630555311218e-06,227968,0.007173616514693599,2.2636446952819824,5.833143213243575e-14,1781,0.9881282732852559,9.15939712524414,4.8851899919100106e-05
calibration,all_rows,kmeans_k_r1,227968,227968,0.6568623220334886,0.9999815225601196,-0.4273096024990082,227968,0.7656188487511937,3.774380922317505,0.006137701217085123,227968,0.008776951672936689,1.0595096349716187,6.031384837098044e-14,1781,1.0716153337572614,3.348433256149292,0.06914883852005005
calibration,all_rows,kmeans_k_r2,227968,227968,0.7038115770577951,1.0000001192092896,-0.35582250356674194,227968,0.7176544377131974,5.371706485748291,0.0001410919358022511,227968,0.00821165487349012,1.0998144149780273,6.305227200813571e-14,1781,1.0510808591602974,5.093228340148926,0.0005799275240860879
calibration,all_rows,kmeans_k_r4,227968,227968,0.7517459595136985,1.0000001192092896,-0.3628735840320587,227968,0.6479710090535552,6.076521396636963,9.293860057368875e-05,227968,0.007321715931990048,1.052053689956665,5.906734113327386e-14,1781,0.9831089207688055,6.076521396636963,0.00041369235259480774
calibration,all_rows,kmeans_k_r8,227968,227968,0.8016452778958153,1.000000238418579,-0.35172292590141296,227968,0.5755850840284579,5.348865985870361,7.329175423365086e-05,227968,0.006551516929003502,1.2856254577636719,6.839403446801812e-14,1781,0.9093537191806909,4.976914882659912,0.0004173264023847878
calibration,all_rows,mean_v,227968,227968,0.6568623217479737,0.9999813437461853,-0.4273096024990082,227968,0.7656188487511937,3.774380922317505,0.006137701217085123,227968,0.008776951672936689,1.0595096349716187,6.031384837098044e-14,1781,1.0716153337572614,3.348433256149292,0.06914883852005005
calibration,all_rows,norm_weighted_mean_v,227968,227968,0.6572284775501313,0.9998353123664856,-0.4941539764404297,227968,0.8002488704982704,3.8480992317199707,0.018264569342136383,227968,0.009328723591501772,1.0810657739639282,6.255850600999507e-14,1781,1.1240981977845028,3.3995401859283447,0.08233942836523056
calibration,all_rows,oracle_row_centroid_r1,227968,227968,0.7349572285477651,0.9999935626983643,-0.6033233404159546,227968,0.6532376307464053,4.9625678062438965,0.005192695651203394,227968,0.007565180419530951,0.9698822498321533,9.800474098714193e-14,1781,0.9507423401096441,4.787469863891602,0.09947007894515991
calibration,all_rows,oracle_row_centroid_r2,227968,227968,0.7938489221862045,1.0000001192092896,-0.5535836219787598,227968,0.5597631928913627,2.8576371669769287,0.0,227968,0.006189136490384095,0.9722713232040405,0.0,1781,0.805665669497364,2.455139636993408,0.0
calibration,all_rows,oracle_row_centroid_r4,227968,227968,0.844973319839705,1.0000001192092896,-0.17134621739387512,227968,0.4808690028141831,2.252218008041382,0.0,227968,0.0051456433769345505,0.9423441290855408,0.0,1781,0.6734641146663616,2.1793107986450195,0.0
calibration,all_rows,oracle_row_centroid_r8,227968,227968,0.8887244215419967,1.000000238418579,-0.22049245238304138,227968,0.4045133012267034,3.7448625564575195,0.0,227968,0.004181142826184393,0.8665416240692139,0.0,1781,0.5379243098164854,2.0415287017822266,0.0
calibration,all_rows,oracle_svd_1,227968,227968,0.731551985560283,1.0,-0.38816896080970764,227968,0.6742986991683161,3.210740566253662,6.81540768709965e-05,227968,0.007793309765167293,1.0484901666641235,5.886488670635293e-14,1781,0.978345140636988,2.792534589767456,0.025305457413196564
calibration,all_rows,oracle_svd_2,227968,227968,0.7766151775718715,1.0000001192092896,-0.3289172649383545,227968,0.6139845043604097,2.8429760932922363,1.3137777443716914e-07,227968,0.007129295423385096,1.0067218542099,4.3717945387954094e-14,1781,0.9192992688703107,2.7853033542633057,2.4850139652699e-06
calibration,all_rows,oracle_svd_4,227968,227968,0.8326629762083073,1.000000238418579,-0.28565171360969543,227968,0.5259192977145638,2.720107078552246,1.3208592974933708e-07,227968,0.006240998628967742,0.9985051155090332,3.84188428954272e-14,1781,0.8279956984841742,2.597867250442505,5.729109489038819e-07
