split,scope,method,rows,relative_output_error_count,relative_output_error_mean,relative_output_error_maximum,relative_output_error_minimum,row_cosine_count,row_cosine_mean,row_cosine_maximum,row_cosine_minimum,maximum_absolute_output_error,relative_denominator_error_count,relative_denominator_error_mean,relative_denominator_error_maximum,relative_denominator_error_minimum,relative_numerator_error_count,relative_numerator_error_mean,relative_numerator_error_maximum,relative_numerator_error_minimum
calibration,all_rows,exact_mass__exact_u,18432,18432,8.114843844032111e-08,3.752107886612066e-07,0.0,18432,0.9999999913593961,1.0000003576278687,0.9999997615814209,3.337860107421875e-06,18432,4.751685385902723e-08,1.9669532775878906e-06,0.0,18432,6.309440913800322e-08,6.810046215832699e-07,0.0
calibration,all_rows,exact_mass__kmeans_k_r1,18432,18432,0.08678165840826328,1.6244652271270752,0.0,18432,0.9857246299307008,1.0000003576278687,-0.04470594972372055,8.163187026977539,18432,4.751685385902723e-08,1.9669532775878906e-06,0.0,18432,0.08678165926465772,1.6244652271270752,0.0
calibration,all_rows,exact_mass__kmeans_k_r2,18432,18432,0.07612418932826971,1.6414836645126343,0.0,18432,0.9879267776203859,1.0000003576278687,-0.022792547941207886,7.25163459777832,18432,4.751685385902723e-08,1.9669532775878906e-06,0.0,18432,0.07612419007849872,1.6414837837219238,0.0
calibration,all_rows,exact_mass__kmeans_k_r4,18432,18432,0.06231063901552752,1.737808346748352,0.0,18432,0.9908343675312304,1.0000003576278687,-0.02726547047495842,7.42624044418335,18432,4.751685385902723e-08,1.9669532775878906e-06,0.0,18432,0.06231063930191887,1.7378082275390625,0.0
calibration,all_rows,exact_mass__kmeans_k_r8,18432,18432,0.053265556951368885,1.649078607559204,0.0,18432,0.9925178235628968,1.0000003576278687,-0.026630524545907974,8.42799186706543,18432,4.751685385902723e-08,1.9669532775878906e-06,0.0,18432,0.05326555709601824,1.649078607559204,0.0
calibration,all_rows,exact_mass__mean_v,18432,18432,0.08678165840826328,1.6244652271270752,0.0,18432,0.9857246299307008,1.0000003576278687,-0.04470594972372055,8.163187026977539,18432,4.751685385902723e-08,1.9669532775878906e-06,0.0,18432,0.08678165926465772,1.6244652271270752,0.0
calibration,all_rows,exact_mass__oracle_centroid_r1,18432,18432,0.07289926644568824,1.6279983520507812,0.0,18432,0.9872245291593976,1.0000003576278687,-0.10910136997699738,7.700406074523926,18432,4.751685385902723e-08,1.9669532775878906e-06,0.0,18432,0.07289926752901084,1.6279985904693604,0.0
calibration,all_rows,exact_mass__oracle_centroid_r2,18432,18432,0.05231424126886516,1.2410986423492432,0.0,18432,0.9935535228643049,1.0000003576278687,0.1864844560623169,7.423225402832031,18432,4.751685385902723e-08,1.9669532775878906e-06,0.0,18432,0.05231424179314353,1.2410986423492432,0.0
calibration,all_rows,exact_mass__oracle_centroid_r4,18432,18432,0.04049578653013498,1.1673041582107544,0.0,18432,0.9958503738614835,1.0000003576278687,0.32297664880752563,6.5222368240356445,18432,4.751685385902723e-08,1.9669532775878906e-06,0.0,18432,0.04049578690963221,1.1673041582107544,0.0
calibration,all_rows,exact_mass__oracle_centroid_r8,18432,18432,0.030895907509111316,0.9119049310684204,0.0,18432,0.9975161248391183,1.0000003576278687,0.5282182097434998,6.176802158355713,18432,4.751685385902723e-08,1.9669532775878906e-06,0.0,18432,0.030895907867938763,0.9119049310684204,0.0
calibration,all_rows,exact_mass__proxy_mean_q_r1,18432,18432,0.06842167630108754,1.387915015220642,0.0,18432,0.9900856424517568,1.0000003576278687,0.0729030966758728,7.908781051635742,18432,4.751685385902723e-08,1.9669532775878906e-06,0.0,18432,0.06842167710866491,1.387915015220642,0.0
calibration,all_rows,exact_mass__proxy_mean_q_r2,18432,18432,0.06402195370202948,1.3153960704803467,0.0,18432,0.9912591590659253,1.0000003576278687,0.1268816590309143,7.879144191741943,18432,4.751685385902723e-08,1.9669532775878906e-06,0.0,18432,0.06402195440405466,1.3153960704803467,0.0
calibration,all_rows,exact_mass__proxy_mean_q_r4,18432,18432,0.058500342409136374,1.2355877161026,0.0,18432,0.992596103057925,1.0000003576278687,0.11312076449394226,7.861883640289307,18432,4.751685385902723e-08,1.9669532775878906e-06,0.0,18432,0.05850034314765204,1.2355877161026,0.0
calibration,all_rows,exact_mass__proxy_mean_q_r8,18432,18432,0.051264144408748005,1.2102265357971191,0.0,18432,0.9943120089438808,1.0000003576278687,0.19011633098125458,7.257182598114014,18432,4.751685385902723e-08,1.9669532775878906e-06,0.0,18432,0.05126414506392278,1.2102265357971191,0.0
