split,method,rows,log_z_correlation,absolute_log_z_error_count,absolute_log_z_error_mean,absolute_log_z_error_maximum,absolute_log_z_error_minimum,normalized_mass_correlation,relative_mass_error_count,relative_mass_error_mean,relative_mass_error_maximum,relative_mass_error_minimum,worst_veto_row_relative_mass_error_count,worst_veto_row_relative_mass_error_mean,worst_veto_row_relative_mass_error_maximum,worst_veto_row_relative_mass_error_minimum,candidate_pair_ranking_accuracy,candidate_top1_ranking_accuracy
calibration,exact,5863,1.0,5863,0.0,0.0,0.0,0.9999999999999608,5863,2.0840210506318392e-07,1.910435912577668e-06,0.0,1781,3.292596679532305e-07,1.910435912577668e-06,0.0,1.0,1.0
calibration,existing_online_proxy,5863,0.42276389778474505,5863,1.43808462815723,11.222296714782715,0.0,0.6911703503448696,5863,71.38631436700591,74778.3125,0.0,1781,191.25587384851,74778.3125,8.620040148343833e-08,0.7160909856781803,0.5645161290322581
calibration,kmeans_joint_r1,5863,0.4571477766300475,5863,3.0724958431572307,16.92687225341797,0.07161283493041992,0.5313042593530425,5863,3.423033335602793,3247.55517578125,0.00036967484629713,1781,8.09078067337036,3247.55517578125,0.0006730828899890184,0.7076102218477955,0.5564516129032258
calibration,kmeans_joint_r2,5863,0.5406367533392968,5863,2.7229605548118094,16.611461639404297,0.0007123947143554688,0.47478723732787487,5863,3.3885828316804965,4335.31787109375,8.229671948356554e-05,1781,8.303765100401675,4335.31787109375,0.001056545996107161,0.7118786857624263,0.5241935483870968
calibration,kmeans_joint_r4,5863,0.6482728110613579,5863,2.3048779551774063,15.865385055541992,0.0007009506225585938,0.503824228834513,5863,2.740982987795677,1522.21923828125,1.771804272721056e-05,1781,6.624501017497296,1522.21923828125,0.00025149507564492524,0.7178882336422353,0.5645161290322581
calibration,kmeans_joint_r8,5863,0.7534227902106332,5863,1.8685784323130494,13.32204818725586,3.4332275390625e-05,0.5529141984617266,5863,2.0932329867919752,1107.3717041015625,4.637761230696924e-05,1781,4.677587987379407,1107.3717041015625,0.00024318350187968463,0.7346251053074979,0.6048387096774194
calibration,kmeans_k_r1,5863,0.4571477766300475,5863,3.0724958431572307,16.92687225341797,0.07161283493041992,0.5313042593530425,5863,3.423033335602793,3247.55517578125,0.00036967484629713,1781,8.09078067337036,3247.55517578125,0.0006730828899890184,0.7076102218477955,0.5564516129032258
calibration,kmeans_k_r2,5863,0.5444865502781399,5863,2.655838417014164,16.2402286529541,0.0007123947143554688,0.49746353739750565,5863,2.9885322660090052,1459.04931640625,1.0792621651489753e-05,1781,7.136753571022339,1459.04931640625,0.002394536044448614,0.7245155855096883,0.5806451612903226
calibration,kmeans_k_r4,5863,0.6452562007199847,5863,2.194224732967849,14.056116104125977,0.000637054443359375,0.5169596619336383,5863,2.8008440508976578,3601.548828125,4.508788697421551e-05,1781,6.679323665665542,3601.548828125,0.0005003632977604866,0.7343442853131142,0.5725806451612904
calibration,kmeans_k_r8,5863,0.7638460708984134,5863,1.7141514527153159,13.940638542175293,0.0006456375122070312,0.576433400439155,5863,3.5109334414722766,9300.3515625,3.385706804692745e-05,1781,9.332999408331728,9300.3515625,0.0003060199960600585,0.7565852288682954,0.5645161290322581
