batch_size,block_size,scheduler,trial,request_id,block_index,prompt_id,prompt_difficulty,steps_needed,steps_executed,useful_token_steps,executed_token_steps,token_step_min,token_step_mean,token_step_max,block_internal_waste_ratio,latency_ms,tokens_generated
4,16,real_llada_confidence_cutoff,0,0,0,0,hard,4,4,40,64,1,2.5,4,1.6,469.61823400488356,16
4,16,real_llada_confidence_cutoff,0,1,0,1,hard,2,4,20,64,1,1.25,2,1.6,469.61823400488356,16
4,16,real_llada_confidence_cutoff,0,2,0,2,hard,2,4,27,64,1,1.6875,2,1.1851851851851851,469.61823400488356,16
4,16,real_llada_confidence_cutoff,0,3,0,3,hard,3,4,36,64,1,2.25,3,1.3333333333333333,469.61823400488356,16
