mass_budget,policy,omission_fraction,maximum_query_group_error,verdict
0.0025,causal temporal certificate,0.001595,0.000022,safe but negligible
0.0025,temporal numerator plus exact current denominator,0.004557,0.000098,noncausal diagnostic; negligible
0.0025,exact current mass oracle,0.042708,0.013716,unsafe and below hardware gate
0.0050,causal temporal certificate,0.002669,0.003740,safe but negligible
0.0050,temporal numerator plus exact current denominator,0.006999,0.006579,noncausal diagnostic; negligible
0.0050,exact current mass oracle,0.064681,0.028501,unsafe and below hardware gate
0.0100,causal temporal certificate,0.004460,0.007139,safe in pilot but normalized bound is 2 percent
0.0100,temporal numerator plus exact current denominator,0.010352,0.012836,unsafe
0.0100,exact current mass oracle,0.096973,0.055031,unsafe and below hardware gate
