source\target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,nan,0.587648839556004,0.5891019172552977,0.634752774974773,0.6915438950554995,0.6700706357214934,0.671321897073663,0.5189909182643794,0.6898486377396569,0.5780827447023209,0.6679313824419778,0.6586478304742684,0.6083148335015136,0.5746518668012109,0.6293844601412715,0.67313824419778,0.5901109989909182,0.6023007063572149,0.6268819374369324,0.6578405650857719,0.6805247225025227,0.6117053481331988,0.64343087790111,0.612108980827447,0.6,0.6718869828456105,0.6263168516649849,0.6418567103935419,0.6303531786074672,0.6312008072653885,0.7180625630676085,0.621029263370333
1,nan,nan,0.6083294337856808,0.658867571361722,0.6931211979410389,0.6802526906878802,0.6970051474029013,0.5499766027140852,0.6754328497894244,0.5781469349555451,0.6817501169864296,0.6355638745905475,0.6127281235376696,0.6049602246139448,0.6230697239120262,0.6415067852129153,0.6613476836686945,0.6577445016378101,0.6289658399625644,0.6398221806270472,0.6582124473561067,0.6224145999064109,0.6450163781001403,0.643378568086102,0.6365465605989705,0.6748245203556388,0.6532990173139915,0.6188114178755264,0.6431913897987833,0.6955077211043519,0.710575573233505,0.5983153954141319
2,nan,nan,nan,0.6578056551174831,0.7556252489048187,0.7178912783751493,0.7129131819992035,0.5394265232974911,0.6928514536041418,0.6243030665073676,0.66268418956591,0.6724910394265233,0.6595977698128236,0.6248008761449622,0.6784647550776584,0.6881222620469932,0.6341596973317404,0.6341596973317404,0.6564117881322182,0.6845380326563122,0.6889187574671446,0.6345579450418161,0.6657706093189965,0.6432198327359617,0.6138988450816408,0.709926324173636,0.6565611310234967,0.6659697331740343,0.6586519315013939,0.6595479888490641,0.7240641178813222,0.6114595778574273
3,nan,nan,nan,nan,0.6764456351864255,0.6421522661308328,0.6973878097789685,0.5412368832328645,0.6411252511721366,0.5925429783433802,0.6610404108059835,0.6275507925876311,0.6228175932127707,0.6100022326412146,0.6059834784550123,0.6319267693681625,0.6267916945746819,0.6311230185309221,0.6041527126590757,0.6293369055592766,0.6822058495199821,0.6437597678053136,0.6614422862246037,0.6609064523331101,0.6145568207189105,0.6932350971198928,0.6408573342263898,0.6329091315025676,0.634695244474213,0.6519312346505917,0.6870283545434249,0.6013842375530253
4,nan,nan,nan,nan,nan,0.6632503078695428,0.6397330473125968,0.4863941524649426,0.6510547014658563,0.5924999006872442,0.6414412267111588,0.6026298017717395,0.6045763317840543,0.5747030548603662,0.6111309736622572,0.633456481150439,0.585269932070075,0.5750605807809955,0.6101775712072458,0.6300401223533151,0.6348071346283717,0.5853096571723673,0.634330433400866,0.587256187184682,0.5917848488459858,0.6983672982957931,0.5932149525285028,0.6342509831962817,0.5886465657649068,0.6272196400905732,0.7072657212092321,0.5810987963294005
5,nan,nan,nan,nan,nan,nan,0.6741751527494908,0.504725050916497,0.6660285132382892,0.5836252545824847,0.625050916496945,0.6279837067209776,0.5958044806517312,0.600285132382892,0.6305498981670061,0.6617107942973524,0.5936048879837067,0.6219551934826884,0.6202036659877801,0.6554378818737271,0.6267209775967414,0.6206517311608961,0.6046843177189409,0.6239511201629327,0.5857026476578412,0.6747046843177189,0.5942973523421589,0.6756822810590631,0.6320162932790224,0.6468839103869654,0.6959266802443992,0.600285132382892
6,nan,nan,nan,nan,nan,nan,nan,0.5157080715321412,0.6277589817947479,0.5759223457386822,0.6510794264540035,0.6266714999194458,0.6083051393587885,0.5760028999516674,0.5956581279200902,0.6045593684549702,0.601176091509586,0.5960206218785242,0.5944498147253101,0.629329788947962,0.6473336555501853,0.6009747059771227,0.6342435959400676,0.6322700177219268,0.574955695182858,0.6414934751087482,0.5998469469953278,0.6237312711454809,0.6510794264540035,0.6035121636861608,0.6849927501208313,0.5595295633961657
7,nan,nan,nan,nan,nan,nan,nan,nan,0.7034475064152628,0.6026442039495704,0.7352448956822493,0.6700881401316523,0.6551935735802744,0.6272453419613968,0.6116813566886087,0.6917884636840343,0.6692513667298895,0.6843132879616199,0.6594890103759902,0.6537431663505523,0.7218007363605935,0.6644538658931162,0.6778980252147718,0.6496150842351891,0.6505076425304027,0.6980363717505299,0.6647327903603704,0.6848711368961286,0.6815240432890773,0.7295548365502622,0.7302800401651233,0.6584848822938748
8,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5788822437616004,0.6594761806558053,0.6332027222107651,0.6118787378840999,0.5896885955867189,0.5910909465869252,0.6848009898948236,0.6201691070323778,0.6086615797071561,0.6367910909465869,0.6247061249742215,0.6292843885337183,0.6222313879150341,0.6473087234481336,0.5885337182924314,0.6228088265621777,0.6724273045988863,0.6332852134460714,0.6469375128892555,0.6163332645906372,0.627882037533512,0.7022478861620953,0.6205403175912559
9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7179332225411693,0.6842423326786523,0.6599687767537896,0.6271340081583321,0.6368535025431837,0.6949690285541622,0.6313642544190965,0.6241124036863575,0.6714508737472932,0.6513068439341291,0.6935085863927078,0.6415369894747445,0.6888250994611472,0.6796092058216247,0.6490406405801481,0.7225159893236642,0.666465226368535,0.7101274109885682,0.6752278793372615,0.6623860603313693,0.7470413456211915,0.6548824092259656
