candidate_rate,candidate_tiles,correct_pre_qk_sparsity,false_new_max,false_skips,oracle_exact_skip_rate,oracle_skip_recall,policy,precision,required_precision,source_noise_bucket,target_noise_bucket,threshold,tiles
0.10436979846605744,40933,0.09035625407963446,1970,5496,0.3007888993146214,0.30039756881161683,previous_step_binary_raw,0.8657318056335964,,high,mid,,392192
0.07937183828328982,31129,0.0690478133159269,1385,4049,0.3007888993146214,0.22955572321072842,previous_step_binary_safe,0.8699283626200649,,high,mid,,392192
0.05059511667754569,19843,0.04553636994125326,655,1984,0.3007888993146214,0.15138979545127026,continuous_score_optimistic_headroom,0.900015118681651,0.9,high,mid,0.0285092405974865,392192
0.0004028639033942559,158,0.0004003141318537859,0,1,0.3007888993146214,0.0013308806700178864,continuous_score_optimistic_headroom,0.9936708860759493,0.99,high,mid,0.0008864105329848827,392192
0.00032892052872062665,129,0.00032892052872062665,0,0,0.3007888993146214,0.001093526155619792,continuous_score_optimistic_headroom,1.0,0.999,high,mid,0.0007776766433380545,392192
0.00032892052872062665,129,0.00032892052872062665,0,0,0.3007888993146214,0.001093526155619792,continuous_score_optimistic_headroom,1.0,0.9999,high,mid,0.0007776766433380545,392192
0.3007888993146214,117967,0.27937591791775457,8398,8398,0.49490045691906004,0.5645093149781552,previous_step_binary_raw,0.9288105995744572,,mid,low,,392192
0.23241167591383813,91150,0.21452247878590078,7016,7016,0.49490045691906004,0.433465913774627,previous_step_binary_safe,0.9230279758639605,,mid,low,,392192
0.2768312459203655,108571,0.24914837630548303,10857,10857,0.49490045691906004,0.5034312917319265,continuous_score_optimistic_headroom,0.9000009210562673,0.9,mid,low,0.5767635107040406,392192
0.04399375815926893,17254,0.043555197454308095,172,172,0.49490045691906004,0.08800799604319512,continuous_score_optimistic_headroom,0.9900312970905297,0.99,mid,low,0.042198285460472114,392192
0.003704818048302872,1453,0.003702268276762402,1,1,0.49490045691906004,0.007480834226362212,continuous_score_optimistic_headroom,0.9993117687543015,0.999,mid,low,0.005554371047765017,392192
0.0013335305156657964,523,0.0013335305156657964,0,0,0.49490045691906004,0.002694542906602918,continuous_score_optimistic_headroom,1.0,0.9999,mid,low,0.002787947421893478,392192
