source\target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,nan,0.6531438337681029,0.5837006386615095,0.6987496626787802,0.7191688405145273,0.7071152289286678,0.766753620581092,0.6782405325177656,0.7803364216965009,0.8407843842763335,0.6539534046955113,0.8513088063326437,0.8471709993703337,0.6966807591976253,0.8339480075559953,0.7847440856346136,0.7598272915354862,0.7285238823423585,0.8164972564540793,0.6582711163083566,0.8240532517765584,0.758478006656472,0.7179994602860484,0.6136547629756229,0.7752990914815148,0.7027975173158226,0.7287937393181614,0.6557524512008636,0.7891517495727265,0.7400377799766124,0.6584510209588917,0.6514347395880183
1,nan,nan,0.51157334009766,0.6472192275984526,0.6141163041410362,0.6012429450187076,0.6335848817299765,0.6118967594647726,0.7211617730991186,0.7591476948443148,0.5872915213393367,0.7362546768977107,0.7568647346058723,0.6009892827699918,0.7392352083201218,0.6879954340795231,0.5994673092776968,0.6577462109201598,0.7091762318472953,0.5983258291584755,0.675756230578984,0.6607267423425709,0.6446191895491153,0.5850085611008942,0.6696683366098041,0.6176041600608789,0.6358044264062401,0.6193163802397108,0.6694780899232672,0.6553998351195384,0.6380873866446826,0.5401737586403703
2,nan,nan,nan,0.7764864010120177,0.7401960784313726,0.6690385831752056,0.737033523086654,0.6645319418089817,0.7840765338393422,0.788741302972802,0.6650853889943074,0.8222643896268185,0.7927735610373181,0.6707779886148008,0.7642314990512334,0.7210626185958254,0.6733870967741935,0.668010752688172,0.7135515496521189,0.6397849462365591,0.7126027830487034,0.6737033523086654,0.6198608475648324,0.5765338393421885,0.6686432637571158,0.6670619860847565,0.6956831119544592,0.683032890575585,0.7065939278937381,0.7062776723592663,0.6816097406704618,0.5806451612903226
3,nan,nan,nan,nan,0.6649076517150396,0.5772275218185509,0.6969758473716258,0.587883093160138,0.7126547594885326,0.7455855490156281,0.6073168256545566,0.775218185508423,0.7387862796833773,0.588999391110209,0.7408159123198701,0.6841891617617212,0.629135376496854,0.6280190785467831,0.6839354576821596,0.5569819362695352,0.6455754008524457,0.6463872539070429,0.5429267302618226,0.5759590014207429,0.63801501928151,0.6021920032474122,0.6792165618023138,0.6267505581489751,0.638167241729247,0.646894662066166,0.6251268520397808,0.5408463568094175
4,nan,nan,nan,nan,nan,0.6079057079623243,0.7094034690411241,0.6045601935251428,0.7359617067270575,0.7804827834680117,0.6244788717895928,0.778063719182665,0.7719388542899789,0.6163466982345978,0.7349837871223429,0.7168665397086829,0.6340007205723404,0.6614854084101086,0.7039477070358742,0.5519069432291934,0.7243296103762417,0.6334345565906634,0.6123835503628596,0.602347007051315,0.6679190900200731,0.6131041227031757,0.6691543568891862,0.6107365278707088,0.6796026558237686,0.6445004889598024,0.6291111225487673,0.545833547789387
5,nan,nan,nan,nan,nan,nan,0.7322291642107744,0.6907344099964635,0.8012495579394082,0.8109159495461511,0.6772368265943652,0.7919368148060828,0.7929977602263351,0.6723446893787575,0.7878698573617824,0.713485795119651,0.6526582576918543,0.7018743369091124,0.7204998231757633,0.6145821053872451,0.7062360014145939,0.6666273723918426,0.6236001414593894,0.6057408935518095,0.6693386773547094,0.6380407874572674,0.6890251090416126,0.6728751620888836,0.7406577861605564,0.7130142638217611,0.677177885182129,0.6018507603442178
6,nan,nan,nan,nan,nan,nan,nan,0.571272504806852,0.7049029889879391,0.7458049292081804,0.5988026568781681,0.7217706694633805,0.705558468799161,0.5896696381751442,0.6831410592553749,0.6930169550777836,0.5789634679251879,0.6328439084076211,0.6897395560216746,0.5223737108897046,0.6592378954728194,0.6248470547107149,0.5599982520538367,0.563581541688516,0.62620171298724,0.593689914350638,0.6163258171648314,0.5995892326516343,0.6282992483831498,0.6277748645341723,0.6011186855444852,0.5245586435937774
7,nan,nan,nan,nan,nan,nan,nan,nan,0.7937866539863687,0.7872880012680298,0.6728483119353305,0.7741321921065145,0.7741321921065145,0.651925820256776,0.7560099329000898,0.6998467797326571,0.6204364135890527,0.6490727532097005,0.6929782849896973,0.5959740053891266,0.6782902731547524,0.645162994663708,0.6262482168330956,0.5610503513499234,0.6478047234110001,0.6450573255138162,0.6729539810852222,0.6437364611401701,0.6958841866117187,0.6864796322713583,0.6436307919902784,0.5664394779943995
8,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7208113906768091,0.6039009167154281,0.7287302516091282,0.724127169884923,0.5763604447045055,0.6900331577920812,0.6411156621806124,0.5757753071971914,0.6257850594889799,0.6434562122098694,0.5247903257265457,0.6496196606202458,0.6019894675248684,0.552135751901697,0.530641700799688,0.5943046615954749,0.5867368831675444,0.6149015018529355,0.590832845718744,0.6405305246732982,0.6431831480397894,0.6023015408621026,0.4994733762434172
9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5741300783384952,0.7328475132082346,0.7108398615412643,0.567389324102751,0.6797959555474585,0.6537802878484241,0.5848788486063036,0.6225177627983239,0.6545090180360722,0.5153215521952997,0.6412096921114957,0.6175623975223173,0.5700127527782839,0.5583895062852978,0.6053926033885954,0.5641464747677173,0.6021861905629441,0.5659683002368373,0.6309345964656586,0.6139187465840772,0.5801421023865914,0.49848788486063034
