auroc_target_skip,average_precision_target_skip,false_skip_new_max,false_skip_rate,group,jaccard,mutual_information_skip_nats,p_target_keep_given_source_skip,p_target_skip_given_source_skip,pearson_log_score,skip_mask_agreement,skip_precision,skip_recall,source_skip_tiles,spearman_log_score,target_skip_tiles,tiles,value
0.9897553235524077,0.5067620357976255,0,nan,global,0.0,0.0,nan,nan,0.990322539902401,0.9868827160493827,nan,0.0,0,0.9885715877234865,68,5184,all
0.9952456418383518,0.8555672359096974,0,nan,noise_bucket,0.0,0.0,nan,nan,0.9901629281775769,0.9737654320987654,nan,0.0,0,0.9886541588446339,68,2592,low
nan,nan,0,nan,noise_bucket,nan,0.0,nan,nan,0.9904932748358815,1.0,nan,nan,0,0.9884708120177288,0,2592,mid
0.9901950335713524,0.5647365969025249,0,nan,layer,0.0,0.0,nan,nan,0.9945130968548772,0.9872685185185185,nan,0.0,0,0.9935002768138055,22,1728,0
0.9892358520728978,0.4334852770763869,0,nan,layer,0.0,0.0,nan,nan,0.9918478453916383,0.9872685185185185,nan,0.0,0,0.9900519033923032,22,1728,1
0.9892410015649452,0.5647385754751387,0,nan,layer,0.0,0.0,nan,nan,0.984671478661888,0.9861111111111112,nan,0.0,0,0.9817101627639456,24,1728,2
0.9868509026075328,0.4301127071079022,0,nan,head,0.0,0.0,nan,nan,0.9890402175798744,0.9891975308641975,nan,0.0,0,0.983131858019632,14,1296,0
0.9935546875,0.7529418756855197,0,nan,head,0.0,0.0,nan,nan,0.991641692440042,0.9876543209876543,nan,0.0,0,0.989395025360169,16,1296,1
0.9891247379454927,0.4727979589672619,0,nan,head,0.0,0.0,nan,nan,0.989356869701485,0.9814814814814815,nan,0.0,0,0.9876794273414288,24,1296,2
0.9897481613550256,0.5292979629168911,0,nan,head,0.0,0.0,nan,nan,0.990360997863766,0.9891975308641975,nan,0.0,0,0.9881804197621467,14,1296,3
0.9868509026075328,0.4301127071079022,0,nan,kv_group,0.0,0.0,nan,nan,0.9890402175798744,0.9891975308641975,nan,0.0,0,0.983131858019632,14,1296,0
0.9935546875,0.7529418756855197,0,nan,kv_group,0.0,0.0,nan,nan,0.991641692440042,0.9876543209876543,nan,0.0,0,0.989395025360169,16,1296,1
0.9891247379454927,0.4727979589672619,0,nan,kv_group,0.0,0.0,nan,nan,0.989356869701485,0.9814814814814815,nan,0.0,0,0.9876794273414288,24,1296,2
0.9897481613550256,0.5292979629168911,0,nan,kv_group,0.0,0.0,nan,nan,0.990360997863766,0.9891975308641975,nan,0.0,0,0.9881804197621467,14,1296,3
0.9897553235524077,0.5067620357976255,0,nan,diffusion_block,0.0,0.0,nan,nan,0.990322539902401,0.9868827160493827,nan,0.0,0,0.9885715877234865,68,5184,0
0.9897553235524077,0.5067620357976255,0,nan,sequence_length,0.0,0.0,nan,nan,0.990322539902401,0.9868827160493827,nan,0.0,0,0.9885715877234865,68,5184,48
0.9797703663203936,0.5319525797566138,0,nan,region,0.0,0.0,nan,nan,0.9871524930207227,0.9730902777777778,nan,0.0,0,0.9832199268506915,62,2304,is_local
nan,nan,0,nan,region,nan,0.0,nan,nan,0.9900383435313735,1.0,nan,nan,0,0.989930292753319,0,2592,is_distant
0.9757983193277311,0.5371804792341834,0,nan,region,0.0,0.0,nan,nan,0.9872228837967674,0.9837962962962963,nan,0.0,0,0.9802531187355137,14,864,is_diagonal
0.97265625,0.48115966926435516,0,nan,region,0.0,0.0,nan,nan,0.9878866115667876,0.9629629629629629,nan,0.0,0,0.9772163964546469,32,864,is_sink
