auroc_target_skip,average_precision_target_skip,false_skip_new_max,false_skip_rate,group,jaccard,mutual_information_skip_nats,p_target_keep_given_source_skip,p_target_skip_given_source_skip,pearson_log_score,skip_mask_agreement,skip_precision,skip_recall,source_skip_tiles,spearman_log_score,target_skip_tiles,tiles,value
0.7586234479426159,0.02299996822089291,92,0.9387755102040817,global,0.030303030303030304,0.0005658880411296923,0.9387755102040817,0.061224489795918366,0.27149115626509435,0.9835390946502057,0.061224489795918366,0.05660377358490566,98,0.2845926279848443,106,11664,all
nan,nan,0,nan,noise_bucket,nan,0.0,nan,nan,0.27482097258610116,1.0,nan,nan,0,0.28702002993622316,0,3888,high
0.7655478283427956,0.06843137255410643,92,0.9387755102040817,noise_bucket,0.030303030303030304,0.0004218885795169594,0.9387755102040817,0.061224489795918366,0.2694916484204715,0.9506172839506173,0.061224489795918366,0.05660377358490566,98,0.28053901628761196,106,3888,low
nan,nan,0,nan,noise_bucket,nan,0.0,nan,nan,0.27023907559575,1.0,nan,nan,0,0.28670014797631305,0,3888,mid
0.7512642634854771,0.01916764486984142,34,1.0,layer,0.0,7.259113148068422e-05,1.0,0.0,0.2732672970733055,0.9830246913580247,0.0,0.0,34,0.28723643827305856,32,3888,0
0.7541438993864281,0.02209407131130528,30,0.9375,layer,0.03125,0.00059304880087902,0.9375,0.0625,0.27338964043630987,0.9840534979423868,0.0625,0.058823529411764705,32,0.2845982278123946,34,3888,1
0.7689838877338877,0.033885316261694096,28,0.875,layer,0.058823529411764705,0.001727645602574614,0.875,0.125,0.26784141645359755,0.9835390946502057,0.125,0.1,32,0.2828846526798892,40,3888,2
0.7603734439834025,0.018132623365505217,14,1.0,head,0.0,5.973432030517782e-05,1.0,0.0,0.25948563163697486,0.9845679012345679,0.0,0.0,14,0.2695354410437042,16,1944,1
0.6865017361111111,0.028635837284679378,30,1.0,head,0.0,9.622682401973811e-05,1.0,0.0,0.26699809891673476,0.9799382716049383,0.0,0.0,30,0.27540449725096605,48,3888,2
0.839608520437536,0.02591256494338053,48,0.8888888888888888,head,0.06666666666666667,0.0019735916787054007,0.8888888888888888,0.1111111111111111,0.28093896801569057,0.98559670781893,0.1111111111111111,0.14285714285714285,54,0.28617672349873985,42,5832,3
0.7603734439834025,0.018132623365505217,14,1.0,kv_group,0.0,5.973432030517782e-05,1.0,0.0,0.25948563163697486,0.9845679012345679,0.0,0.0,14,0.2695354410437042,16,1944,1
0.6865017361111111,0.028635837284679378,30,1.0,kv_group,0.0,9.622682401973811e-05,1.0,0.0,0.26699809891673476,0.9799382716049383,0.0,0.0,30,0.27540449725096605,48,3888,2
0.839608520437536,0.02591256494338053,48,0.8888888888888888,kv_group,0.06666666666666667,0.0019735916787054007,0.8888888888888888,0.1111111111111111,0.28093896801569057,0.98559670781893,0.1111111111111111,0.14285714285714285,54,0.28617672349873985,42,5832,3
0.7586234479426159,0.02299996822089291,92,0.9387755102040817,diffusion_block,0.030303030303030304,0.0005658880411296923,0.9387755102040817,0.061224489795918366,0.27149115626509435,0.9835390946502057,0.061224489795918366,0.05660377358490566,98,0.2845926279848443,106,11664,0
0.7586234479426159,0.02299996822089291,92,0.9387755102040817,sequence_length,0.030303030303030304,0.0005658880411296923,0.9387755102040817,0.061224489795918366,0.27149115626509435,0.9835390946502057,0.061224489795918366,0.05660377358490566,98,0.2845926279848443,106,11664,48
0.6082858021107278,0.023542116846993946,90,0.9574468085106383,region,0.02197802197802198,0.0002366859446182792,0.9574468085106383,0.0425531914893617,0.09491495911425196,0.9656635802469136,0.0425531914893617,0.043478260869565216,94,0.13204723168509688,92,5184,is_local
nan,nan,0,nan,region,nan,0.0,nan,nan,0.16193710744440756,1.0,nan,nan,0,0.15405833902002333,0,5832,is_distant
0.502204356846473,0.014315865379138433,26,1.0,region,0.0,0.00011128250867254167,1.0,0.0,-0.010234316087999946,0.9783950617283951,0.0,0.0,26,-0.018350695436741046,16,1944,is_diagonal
0.554936835106383,0.043949798112461316,26,0.8125,region,0.06666666666666667,0.0031460274968442333,0.8125,0.1875,-0.09803777520352118,0.9567901234567902,0.1875,0.09375,32,-0.07512216143062049,64,1944,is_sink
0.6583208338140841,0.012637222150386486,42,1.0,source_head,0.0,6.723606889927472e-05,1.0,0.0,0.2750173282503809,0.9835390946502057,0.0,0.0,42,0.2644143244244953,54,5832,head:0
0.8332057416267943,0.050335109579559285,28,0.875,source_head,0.06060606060606061,0.0017795688884490444,0.875,0.125,0.30763387653767765,0.9840534979423868,0.125,0.10526315789473684,32,0.34757135967686165,38,3888,head:1
0.9113249444855662,0.040214262469221454,22,0.9166666666666666,source_head,0.05555555555555555,0.0016816539063696165,0.9166666666666666,0.08333333333333333,0.18299398821981286,0.9825102880658436,0.08333333333333333,0.14285714285714285,24,0.1890547683267989,14,1944,head:2
