split,condition,threshold,correct,count,accuracy,delta_pp,ci95_pp,whole,global_s,local_s,mass,agreement,local_operator_error
calibration6,blasst_aggressive_s50,local: exp(8.09133)/L; global: exp(7.77928)/L,2.0,6,33.33333333333333,-16.666666666666664,"[-50.0, 0.0]",51.43692987569518,49.54629205529647,51.87806033226464,68.05132676175764,1.7749171055197972,0.5307186838300222
calibration6,blasst_original_s50,local: 1 (unattainable); global: 1 (unattainable),3.0,6,50.0,0.0,"[0.0, 0.0]",28.25583362381841,36.388977128335455,26.30263827082009,93.42993252910524,4.7543245250981645,0.14602652656245235
calibration6,dense,none / ranking budget,3.0,6,50.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,99.99999996880808,100.0,5.844504781096942e-08
calibration6,full_centered_s50,local: exp(-0.740297); global: exp(-1.21186),3.0,6,50.0,0.0,"[0.0, 0.0]",50.71056932079935,49.868485470625394,50.917286965961075,72.98737588891868,4.23737529569063,0.2600395475779997
calibration6,jl_gaussian_r16_s50,local: exp(-0.759528); global: exp(-1.23614),2.0,6,33.33333333333333,-16.666666666666664,"[-50.0, 0.0]",51.01023121236609,51.180897435897435,50.96667539181363,72.70317205999552,4.850299401197605,0.2636293086623327
calibration6,jl_gaussian_r24_s50,local: exp(-0.759528); global: exp(-1.23614),2.0,6,33.33333333333333,-16.666666666666664,"[-66.66666666666666, 33.33333333333333]",50.28031086798952,49.42841025476892,50.48478010370655,72.87888656915878,4.545454545454546,0.26116613445493464
calibration6,jl_gaussian_r2_s50,local: exp(-0.855113); global: exp(-1.26686),3.0,6,50.0,0.0,"[0.0, 0.0]",49.94396330098335,51.171577443927205,49.632253190060446,73.36954521198138,5.333603731494626,0.28186020940010176
calibration6,jl_gaussian_r32_s50,local: exp(-0.759528); global: exp(-1.23614),3.0,6,50.0,0.0,"[0.0, 0.0]",50.495021464345335,49.21753211605081,50.803265128428386,72.94479374767565,6.769763166432356,0.2612358325146761
calibration6,jl_gaussian_r4_s50,local: exp(-0.759528); global: exp(-1.23614),2.0,6,33.33333333333333,-16.666666666666664,"[-50.0, 0.0]",50.50422186117667,49.66279034781562,50.71074883686582,72.60625652398262,3.9511853556066816,0.27472056929601596
calibration6,jl_gaussian_r8_s50,local: exp(-0.759528); global: exp(-1.26821),2.0,6,33.33333333333333,-16.666666666666664,"[-50.0, 0.0]",50.60122740550257,48.99744068120933,50.99148300481142,72.74938240929554,3.9933444259567388,0.2655342405616157
calibration6,mass_s50,local: exp(-0.0184422); global: exp(-0.04564),3.0,6,50.0,0.0,"[0.0, 0.0]",50.55545794533269,51.932367729951324,50.219944982050876,75.46301429286218,5.900990099009901,0.29767904984842647
full,blasst_aggressive_s50,local: exp(8.09133)/L; global: exp(7.77928)/L,11.0,30,36.666666666666664,-20.0,"[-36.666666666666664, -3.3333333333333335]",51.36144231334116,49.60947672935712,51.77313018516766,69.94234863371463,2.4105820105820106,0.5001396467515733
full,blasst_original_s50,local: 1 (unattainable); global: 1 (unattainable),16.0,30,53.333333333333336,-3.3333333333333335,"[-20.0, 13.333333333333334]",28.818749818062933,35.46716276528976,27.2322178923574,93.41787295180517,5.7354735755186335,0.14683512729667697
full,dense,none / ranking budget,17.0,30,56.666666666666664,0.0,"[0.0, 0.0]",0.0,0.0,0.0,99.99999999250477,100.0,2.870897610837873e-08
full,full_centered_s50,local: exp(-0.740297); global: exp(-1.21186),15.0,30,50.0,-6.666666666666667,"[-23.333333333333332, 13.333333333333334]",51.30589972496203,51.42517710361238,51.27643520296559,72.68300919719147,4.875011321438275,0.2573772586398094
full,jl_gaussian_r16_s50,local: exp(-0.759528); global: exp(-1.23614),11.0,30,36.666666666666664,-20.0,"[-36.666666666666664, -3.3333333333333335]",51.035903991754864,50.68110430659818,51.124969005702944,72.53673438926938,4.73361924638213,0.26213747053907127
full,jl_gaussian_r24_s50,local: exp(-0.759528); global: exp(-1.23614),16.0,30,53.333333333333336,-3.3333333333333335,"[-20.0, 13.333333333333334]",50.67194813263354,50.349125206864166,50.74933656191642,73.19164690920297,4.778930641241354,0.2526062870315015
full,jl_gaussian_r2_s50,local: exp(-0.855113); global: exp(-1.26686),16.0,30,53.333333333333336,-3.3333333333333335,"[-20.0, 13.333333333333334]",50.205182880857,51.63106708910373,49.847106590657425,73.02591925996451,4.89617240992255,0.2808035372904341
