split,candidate,reference,count,candidate_correct,reference_correct,delta_pp,paired_ci95_pp,candidate_overall_sparsity_pct,reference_overall_sparsity_pct,overall_sparsity_gap_pp,candidate_global_sparsity_pct,reference_global_sparsity_pct,global_sparsity_gap_pp,candidate_local_sparsity_pct,reference_local_sparsity_pct,local_sparsity_gap_pp,within2pp_all_types
full,jl_gaussian_r2_s50,jl_gaussian_r8_s50,30,16.0,15.0,3.3333333333333335,"[-10.0, 16.666666666666664]",50.205182880857,50.78100792023631,-0.5758250393793074,51.63106708910373,49.32274597912675,2.30832110997698,49.847106590657425,51.14489286416355,-1.297786273506124,False
full,jl_gaussian_r2_s50,jl_gaussian_r16_s50,30,16.0,11.0,16.666666666666668,"[-3.3333333333333335, 36.666666666666664]",50.205182880857,51.035903991754864,-0.8307211108978585,51.63106708910373,50.68110430659818,0.9499627825055534,49.847106590657425,51.124969005702944,-1.277862415045522,True
full,jl_gaussian_r2_s50,jl_gaussian_r24_s50,30,16.0,16.0,0.0,"[-16.666666666666664, 16.666666666666664]",50.205182880857,50.67194813263354,-0.4667652517765353,51.63106708910373,50.349125206864166,1.2819418822395678,49.847106590657425,50.74933656191642,-0.9022299712589998,True
full,jl_gaussian_r2_s50,jl_gaussian_r32_s50,30,16.0,15.0,3.3333333333333335,"[-16.666666666666664, 23.333333333333332]",50.205182880857,50.66209872342243,-0.4569158425654307,51.63106708910373,50.66969045007185,0.9613766390318856,49.847106590657425,50.66023008176459,-0.813123491107165,True
full,jl_gaussian_r2_s50,full_centered_s50,30,16.0,15.0,3.3333333333333335,"[-10.0, 16.666666666666664]",50.205182880857,51.30589972496203,-1.100716844105032,51.63106708910373,51.42517710361238,0.20588998549135873,49.847106590657425,51.27643520296559,-1.4293286123081617,True
full,jl_gaussian_r4_s50,jl_gaussian_r8_s50,30,13.0,15.0,-6.666666666666667,"[-23.333333333333332, 10.0]",51.01654944287309,50.78100792023631,0.23554152263678407,50.235264227642276,49.32274597912675,0.9125182485155203,51.20632272452566,51.14489286416355,0.06142986036211662,True
full,jl_gaussian_r4_s50,jl_gaussian_r16_s50,30,13.0,11.0,6.666666666666667,"[-13.333333333333334, 26.666666666666668]",51.01654944287309,51.035903991754864,-0.01935454888176702,50.235264227642276,50.68110430659818,-0.4458400789559058,51.20632272452566,51.124969005702944,0.08135371882271869,True
full,jl_gaussian_r4_s50,jl_gaussian_r24_s50,30,13.0,16.0,-10.0,"[-26.666666666666668, 6.666666666666667]",51.01654944287309,50.67194813263354,0.3446013102395562,50.235264227642276,50.349125206864166,-0.11386097922189142,51.20632272452566,50.74933656191642,0.45698616260924085,True
full,jl_gaussian_r4_s50,jl_gaussian_r32_s50,30,13.0,15.0,-6.666666666666667,"[-26.666666666666668, 13.333333333333334]",51.01654944287309,50.66209872342243,0.35445071945066076,50.235264227642276,50.66969045007185,-0.4344262224295736,51.20632272452566,50.66023008176459,0.5460926427610757,True
full,jl_gaussian_r4_s50,full_centered_s50,30,13.0,15.0,-6.666666666666667,"[-23.333333333333332, 10.0]",51.01654944287309,51.30589972496203,-0.2893502820889404,50.235264227642276,51.42517710361238,-1.1899128759701005,51.20632272452566,51.27643520296559,-0.07011247843992097,True
