condition,name,target,count,accuracy,dense_accuracy,delta,paired_ci95,matching_tokens,compared_tokens,token_agreement,sequence_exact_match,relative_accuracy,length_terminated,empty_outputs,overall_eligible,overall_skipped,overall_softmax_skipped,overall_pv_omitted,overall_compensated,overall_mass_sum,overall_rows,overall_error_sq,overall_dense_sq,overall_denominator_mass_sum,overall_same_budget_best_mass_sum,overall_wrongly_replaced_vs_mass,overall_unnecessarily_retained_vs_mass,overall_physical_sparsity,overall_pv_omission,overall_mass,overall_denominator_mass,overall_relative_error,overall_rescued_rows,overall_prefix_eligible,overall_prefix_skipped,overall_prefix_replaced,overall_canvas_eligible,overall_canvas_skipped,overall_canvas_replaced,overall_boundary_eligible,overall_boundary_skipped,overall_boundary_replaced,overall_softmax_sparsity,overall_compensation_fraction,overall_mass_selection_gap,overall_wrongly_replaced_fraction,overall_rescued_row_rate,overall_prefix_sparsity,overall_canvas_sparsity,overall_boundary_sparsity,global_eligible,global_skipped,global_softmax_skipped,global_pv_omitted,global_compensated,global_mass_sum,global_rows,global_error_sq,global_dense_sq,global_denominator_mass_sum,global_same_budget_best_mass_sum,global_wrongly_replaced_vs_mass,global_unnecessarily_retained_vs_mass,global_physical_sparsity,global_pv_omission,global_mass,global_denominator_mass,global_relative_error,global_rescued_rows,global_prefix_eligible,global_prefix_skipped,global_prefix_replaced,global_canvas_eligible,global_canvas_skipped,global_canvas_replaced,global_boundary_eligible,global_boundary_skipped,global_boundary_replaced,global_softmax_sparsity,global_compensation_fraction,global_mass_selection_gap,global_wrongly_replaced_fraction,global_rescued_row_rate,global_prefix_sparsity,global_canvas_sparsity,global_boundary_sparsity,local_eligible,local_skipped,local_softmax_skipped,local_pv_omitted,local_compensated,local_mass_sum,local_rows,local_error_sq,local_dense_sq,local_denominator_mass_sum,local_same_budget_best_mass_sum,local_wrongly_replaced_vs_mass,local_unnecessarily_retained_vs_mass,local_physical_sparsity,local_pv_omission,local_mass,local_denominator_mass,local_relative_error,local_rescued_rows,local_prefix_eligible,local_prefix_skipped,local_prefix_replaced,local_canvas_eligible,local_canvas_skipped,local_canvas_replaced,local_boundary_eligible,local_boundary_skipped,local_boundary_replaced,local_softmax_sparsity,local_compensation_fraction,local_mass_selection_gap,local_wrongly_replaced_fraction,local_rescued_row_rate,local_prefix_sparsity,local_canvas_sparsity,local_boundary_sparsity,overall_mass_sample_p10_p50_p90,overall_relative_error_sample_p10_p50_p90,overall_physical_sparsity_sample_p10_p50_p90,global_mass_sample_p10_p50_p90,global_relative_error_sample_p10_p50_p90,global_physical_sparsity_sample_p10_p50_p90,local_mass_sample_p10_p50_p90,local_relative_error_sample_p10_p50_p90,local_physical_sparsity_sample_p10_p50_p90,per_task_official_scores,paired_ci_convention
dense,dense,0.0,130,0.8923076923076922,0.8923076923076922,0.0,"[0.0, 0.0]",5902,5902,1.0,1.0,1.0,10,0,18188320.0,0.0,0.0,0.0,0.0,62668800.0,62668800.0,0.0,6877913217.262085,62668800.0,62668800.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15741120.0,0.0,0.0,1958400.0,0.0,0.0,488800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10436320.0,0.0,0.0,0.0,0.0,10444800.0,10444800.0,0.0,1776324653.305664,10444800.0,10444800.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10029120.0,0.0,0.0,326400.0,0.0,0.0,80800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7752000.0,0.0,0.0,0.0,0.0,52224000.0,52224000.0,0.0,5101588563.956421,52224000.0,52224000.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5712000.0,0.0,0.0,1632000.0,0.0,0.0,408000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","{""cwe"": 1.0, ""fwe"": 1.0, ""niah_multikey_1"": 1.0, ""niah_multikey_2"": 1.0, ""niah_multikey_3"": 1.0, ""niah_multiquery"": 1.0, ""niah_multivalue"": 1.0, ""niah_single_1"": 1.0, ""niah_single_2"": 1.0, ""niah_single_3"": 1.0, ""qa_1"": 1.0, ""qa_2"": 0.6, ""vt"": 0.0}","10000 paired task-stratified prompt bootstrap draws, seed42; individual official scores rounded to1e-4"
blasst_s50,blasst,0.5,130,0.9223076923076923,0.8923076923076922,0.030000000000000027,"[0.006923076923076923, 0.05384615384615384]",4935,5911,0.834884114363052,0.5846153846153846,1.0336206896551725,6,0,19041760.0,9953461.0,9953461.0,9953461.0,0.0,58563514.03641415,65617920.0,268661111.96921134,7031432494.801819,58563514.03641415,62249925.44112587,1696005.0,1696005.0,0.522717490400047,0.522717490400047,0.8924926915759315,0.8924926915759315,0.19547017335659173,0.0,16479040.0,9197237.0,9197237.0,2050560.0,711699.0,711699.0,512160.0,44525.0,44525.0,0.522717490400047,0.0,0.05617994908573334,0.08906765971212745,0.0,0.5581172811037536,0.34707543305243443,0.08693572321149641,10924960.0,7626256.0,7626256.0,7626256.0,0.0,8613062.789117813,10936320.0,110119009.58607455,1791985490.3339844,8613062.789117813,8923881.038835526,700102.0,700102.0,0.698058024926407,0.698058024926407,0.7875649934454929,0.7875649934454929,0.24789279483844642,0.0,10498240.0,7509555.0,7509555.0,341760.0,114688.0,114688.0,84960.0,2013.0,2013.0,0.698058024926407,0.0,0.028420734736887034,0.06408279755715353,0.0,0.7153156148078154,0.3355805243445693,0.023693502824858756,8116800.0,2327205.0,2327205.0,2327205.0,0.0,49950451.24729633,54681600.0,158542102.3831368,5239447004.467834,49950451.24729633,53326044.402290344,995903.0,995903.0,0.28671459195742166,0.28671459195742166,0.9134782312020192,0.9134782312020192,0.173952061732175,0.0,5980800.0,1687682.0,1687682.0,1708800.0,597011.0,597011.0,427200.0,42512.0,42512.0,0.28671459195742166,0.0,0.0617317919555026,0.12269650601222157,0.0,0.28218331995719637,0.3493744147940075,0.09951310861423221,"[0.8742698345465275, 0.8866361492986066, 0.9110223007510262]","[0.17199986714220394, 0.2001568001398168, 0.2166680974065406]","[0.44421242477217654, 0.5459485619469027, 0.5940840092165899]","[0.7416887384466827, 0.7732699608275047, 0.8290760968444603]","[0.20725179317088643, 0.25545734009975973, 0.29051803551191696]","[0.5895827101455708, 0.729945796996124, 0.7993489583333334]","[0.8980145358876326, 0.9092373748593188, 0.9299355630107224]","[0.15000732288287583, 0.17409724544038568, 0.19270096400770936]","[0.25099342105263156, 0.30182565789473687, 0.32992214912280704]","{""cwe"": 0.99, ""fwe"": 1.0, ""niah_multikey_1"": 1.0, ""niah_multikey_2"": 1.0, ""niah_multikey_3"": 1.0, ""niah_multiquery"": 1.0, ""niah_multivalue"": 1.0, ""niah_single_1"": 1.0, ""niah_single_2"": 1.0, ""niah_single_3"": 1.0, ""qa_1"": 1.0, ""qa_2"": 0.6, ""vt"": 0.4}","10000 paired task-stratified prompt bootstrap draws, seed42; individual official scores rounded to1e-4"
mass_s50,mass,0.5,130,0.9307692307692309,0.8923076923076922,0.03846153846153866,"[0.015384615384615385, 0.06923076923076923]",4724,5990,0.7886477462437396,0.34615384615384615,1.0431034482758623,7,0,21732160.0,10768589.0,10768589.0,10768589.0,0.0,56862041.78072572,74956800.0,773679085.2886205,7983896692.5164795,56862041.78072572,68742886.79848099,2719556.0,2719556.0,0.49551397560113675,0.49551397560113675,0.7585975092416661,0.7585975092416661,0.3112955941395814,0.0,18804800.0,9410539.0,9410539.0,2342400.0,1261475.0,1261475.0,584960.0,96575.0,96575.0,0.49551397560113675,0.0,0.15850256438048677,0.1251397007936625,0.0,0.5004328150259508,0.5385395321038251,0.16509675875273522,12460160.0,6174613.0,6174613.0,6174613.0,0.0,11076356.02306366,12492800.0,31922310.03338208,1995286709.6757812,11076356.02306366,11294323.938034058,1025318.0,1025318.0,0.4955484520262982,0.4955484520262982,0.8866191744895988,0.8866191744895988,0.1264865947423944,0.0,11972800.0,6083599.0,6083599.0,390400.0,90933.0,90933.0,96960.0,81.0,81.0,0.4955484520262982,0.0,0.017447482947809775,0.08228770738096461,0.0,0.5081183181878925,0.23292264344262295,0.0008353960396039604,9272000.0,4593976.0,4593976.0,4593976.0,0.0,45785685.75766206,62464000.0,741756775.2552383,5988609982.840698,45785685.75766206,57448562.86044693,1694238.0,1694238.0,0.4954676445211389,0.4954676445211389,0.7329931761920796,0.7329931761920796,0.3519392838560264,0.0,6832000.0,3326940.0,3326940.0,1952000.0,1170542.0,1170542.0,488000.0,96494.0,96494.0,0.4954676445211389,0.0,0.18671358066702215,0.1827262726488352,0.0,0.48696428571428574,0.5996629098360656,0.19773360655737704,"[0.7331167575972762, 0.754054019726593, 0.7791639400830415]","[0.28504738598716073, 0.3140039959315723, 0.3356138662823116]","[0.4369301945058997, 0.502457478106185, 0.592943281938326]","[0.8631823807768524, 0.881984100335588, 0.9102727887034416]","[0.09955592018915928, 0.12938752857714164, 0.14812008417967681]","[0.3993257812794194, 0.5038528311965812, 0.6671721117424243]","[0.7055261677816743, 0.7298804951682946, 0.7522730123897782]","[0.3254903305068783, 0.3551642177532358, 0.3792292343221645]","[0.47936079545454546, 0.496999601275917, 0.5234095394736842]","{""cwe"": 1.0, ""fwe"": 1.0, ""niah_multikey_1"": 1.0, ""niah_multikey_2"": 1.0, ""niah_multikey_3"": 1.0, ""niah_multiquery"": 1.0, ""niah_multivalue"": 1.0, ""niah_single_1"": 1.0, ""niah_single_2"": 1.0, ""niah_single_3"": 1.0, ""qa_1"": 1.0, ""qa_2"": 0.8, ""vt"": 0.3}","10000 paired task-stratified prompt bootstrap draws, seed42; individual official scores rounded to1e-4"
full_centered_s50,full_centered,0.5,130,0.9192307692307692,0.8923076923076922,0.02692307692307694,"[0.0038461538461538464, 0.05384615384615384]",4656,6002,0.7757414195268244,0.4230769230769231,1.0301724137931034,7,0,20610560.0,10497160.0,0.0,10497160.0,0.0,52638397.424295425,71024640.0,439561933.96311045,7662730956.528046,52638397.424295425,65300855.14038086,2908690.0,2908690.0,0.5093097907092287,0.5093097907092287,0.7411286762494738,0.7411286762494738,0.23950702100541735,0.0,17836960.0,9502055.0,9502055.0,2219520.0,948057.0,948057.0,554080.0,47048.0,47048.0,0.0,0.0,0.17828260327803752,0.14112619938516954,0.0,0.5327171782635606,0.4271450583910035,0.08491192607565695,11824960.0,6072370.0,0.0,6072370.0,0.0,10427749.594596863,11837440.0,26906984.727455538,1957340367.0429688,10427749.594596863,10722322.97700882,1228353.0,1228353.0,0.513521398803886,0.513521398803886,0.8809125617191608,0.8809125617191608,0.11724635219667941,0.0,11363360.0,6030301.0,6030301.0,369920.0,42046.0,42046.0,91680.0,23.0,23.0,0.0,0.0,0.024884889166234995,0.10387798351960599,0.0,0.530679394122865,0.11366241349480968,0.00025087260034904014,8785600.0,4424790.0,0.0,4424790.0,0.0,42210647.82969856,59187200.0,412654949.2356549,5705390589.485077,42210647.82969856,54578532.16337204,1680337.0,1680337.0,0.5036411855763977,0.5036411855763977,0.7131718991555364,0.7131718991555364,0.26893717487518676,0.0,6473600.0,3471754.0,3471754.0,1849600.0,906011.0,906011.0,462400.0,47025.0,47025.0,0.0,0.0,0.208962146100398,0.1912603578583136,0.0,0.5362941794364805,0.4898415873702422,0.10169766435986159,"[0.6968037335653208, 0.731062573741009, 0.7786694939667035]","[0.21433629148655872, 0.24594333803665397, 0.2671458592230537]","[0.4520853587962963, 0.5141055872708598, 0.6067455947136564]","[0.8517802726229032, 0.8771029802246226, 0.9051556518843228]","[0.09666581289374569, 0.11850831491999485, 0.1398749555184716]","[0.42506865690008555, 0.519948711832061, 0.6707376893939394]","[0.663980132913217, 0.703701845646991, 0.7568805556854641]","[0.24045481133713878, 0.2742266089707241, 0.30101233362737534]","[0.47666940789473683, 0.5086535087719298, 0.5448421052631579]","{""cwe"": 1.0, ""fwe"": 1.0, ""niah_multikey_1"": 1.0, ""niah_multikey_2"": 1.0, ""niah_multikey_3"": 1.0, ""niah_multiquery"": 1.0, ""niah_multivalue"": 0.95, ""niah_single_1"": 1.0, ""niah_single_2"": 1.0, ""niah_single_3"": 1.0, ""qa_1"": 1.0, ""qa_2"": 0.6, ""vt"": 0.4}","10000 paired task-stratified prompt bootstrap draws, seed42; individual official scores rounded to1e-4"
jl_gaussian_r2_s50,jl_gaussian_r2,0.5,130,0.9192307692307692,0.8923076923076922,0.02692307692307694,"[-0.0038461538461538464, 0.06153846153846153]",4501,6002,0.7499166944351883,0.43846153846153846,1.0301724137931034,6,0,21680320.0,11006966.0,0.0,11006966.0,0.0,54449743.96605349,74711040.0,590987381.7158403,8090992313.352295,54449743.96605349,68483762.45524979,3129334.0,3129334.0,0.507693890127083,0.507693890127083,0.7288045242852127,0.7288045242852127,0.2702640060132662,0.0,18763200.0,9940194.0,9940194.0,2334720.0,1002422.0,1002422.0,582400.0,64350.0,64350.0,0.0,0.0,0.18784397177707998,0.144339843692344,0.0,0.5297707214121259,0.4293542694627193,0.11049107142857142,12438720.0,6350568.0,0.0,6350568.0,0.0,10965976.110076904,12451840.0,29678205.46004863,2061527508.5024414,10965976.110076904,11300146.745792389,1351850.0,1351850.0,0.5105483522420313,0.5105483522420313,0.8806711385688303,0.8806711385688303,0.11998425283040877,0.0,11953600.0,6302164.0,6302164.0,389120.0,48306.0,48306.0,96000.0,98.0,98.0,0.0,0.0,0.02683704863823215,0.10868079673792802,0.0,0.5272189131307723,0.12414165296052632,0.0010208333333333332,9241600.0,4656398.0,0.0,4656398.0,0.0,43483767.85597659,62259200.0,561309176.2557917,6029464804.8498535,43483767.85597659,57183615.7094574,1777484.0,1777484.0,0.5038519304016621,0.5038519304016621,0.6984312014284891,0.6984312014284891,0.30511368620599755,0.0,6809600.0,3638030.0,3638030.0,1945600.0,954116.0,954116.0,486400.0,64252.0,64252.0,0.0,0.0,0.22004535640484954,0.1923350934903047,0.0,0.5342501762218045,0.4903967927631579,0.1320970394736842,"[0.6819623003911531, 0.7196393021324587, 0.7651814723033021]","[0.2400818388842576, 0.2756410360154584, 0.29581161479460966]","[0.44698406035533683, 0.5137311662946429, 0.6104355726872246]","[0.8534282609509924, 0.8772948819434359, 0.9035585726983846]","[0.09958988609531734, 0.11944745758380901, 0.14350546165493686]","[0.41973324019757985, 0.5152614515127568, 0.6785151515151515]","[0.6446584207580114, 0.6886677163587156, 0.7380244006480788]","[0.27112194082580493, 0.3090637512400575, 0.33380128241848783]","[0.4774309210526316, 0.5081140350877194, 0.5454924342105263]","{""cwe"": 1.0, ""fwe"": 1.0, ""niah_multikey_1"": 1.0, ""niah_multikey_2"": 1.0, ""niah_multikey_3"": 0.9, ""niah_multiquery"": 1.0, ""niah_multivalue"": 0.95, ""niah_single_1"": 1.0, ""niah_single_2"": 1.0, ""niah_single_3"": 1.0, ""qa_1"": 1.0, ""qa_2"": 0.7, ""vt"": 0.4}","10000 paired task-stratified prompt bootstrap draws, seed42; individual official scores rounded to1e-4"
blasst_s75,blasst,0.75,130,0.032692307692307694,0.8923076923076922,-0.8596153846153846,"[-0.8923076923076922, -0.823076923076923]",348,5981,0.05818425012539709,0.0,0.03663793103448276,2,0,192301600.0,144598372.0,144598372.0,144598372.0,0.0,256105367.80775958,664412160.0,58270630091.80275,84505100190.9161,256105367.80775958,523787172.7379904,21202393.0,21202393.0,0.7519353557120689,0.7519353557120689,0.38546159029924976,0.38546159029924976,0.8303924590559278,0.0,166355680.0,126013690.0,126013690.0,20762880.0,15862680.0,15862680.0,5183040.0,2722002.0,2722002.0,0.7519353557120689,0.0,0.40288516834223925,0.11025593650806857,0.0,0.7574955661267472,0.7639922785278342,0.5251748008890536,110115200.0,82608805.0,82608805.0,82608805.0,0.0,89578032.26533985,110735360.0,972474537.398535,19628189572.865234,89578032.26533985,92304797.06593227,6387769.0,6387769.0,0.750203468730929,0.750203468730929,0.8089379243029494,0.8089379243029494,0.2225865906857401,0.0,105797280.0,81627000.0,81627000.0,3460480.0,947230.0,947230.0,857440.0,34575.0,34575.0,0.750203468730929,0.0,0.0246241561917749,0.05800987511260934,0.0,0.7715415746038083,0.2737279221379693,0.0403235211793245,82186400.0,61989567.0,61989567.0,61989567.0,0.0,166527335.54241973,553676800.0,57298155554.40421,64876910618.05087,166527335.54241973,431482375.6720581,14814624.0,14814624.0,0.7542557771115416,0.7542557771115416,0.30076632349850985,0.30076632349850985,0.9397779275241966,0.0,60558400.0,44386690.0,44386690.0,17302400.0,14915450.0,14915450.0,4325600.0,2687427.0,2687427.0,0.7542557771115416,0.0,0.4785373707723321,0.180256392785181,0.0,0.7329567822135328,0.8620451498058073,0.6212842149066026,"[0.3612056595136569, 0.38342727881714495, 0.4171275347438811]","[0.7939589812370933, 0.8268643059394933, 0.8663814899911421]","[0.7116853666245259, 0.7542870805678465, 0.7990267908883384]","[0.7747083260635069, 0.8110282720876147, 0.8426636386908857]","[0.1893548033093878, 0.22197480269180267, 0.25275608006786926]","[0.6798347277126499, 0.755860803642417, 0.8356831095041323]","[0.2763863194309285, 0.29979482423960413, 0.3355896714943642]","[0.8940767870772633, 0.9372290981960327, 0.9820940928466806]","[0.7399206414473685, 0.7552234100877193, 0.7671580801728586]","{""cwe"": 0.0, ""fwe"": 0.0, ""niah_multikey_1"": 0.0, ""niah_multikey_2"": 0.0, ""niah_multikey_3"": 0.0, ""niah_multiquery"": 0.025, ""niah_multivalue"": 0.0, ""niah_single_1"": 0.0, ""niah_single_2"": 0.1, ""niah_single_3"": 0.0, ""qa_1"": 0.1, ""qa_2"": 0.1, ""vt"": 0.1}","10000 paired task-stratified prompt bootstrap draws, seed42; individual official scores rounded to1e-4"
mass_s75,mass,0.75,130,0.21269230769230768,0.8923076923076922,-0.6796153846153845,"[-0.7365384615384615, -0.6211538461538462]",740,5969,0.12397386496900653,0.023076923076923078,0.23836206896551723,2,0,172376800.0,129687464.0,129687464.0,129687464.0,0.0,240920810.58443993,594493440.0,36403323603.60292,68977286752.86655,240920810.58443993,465862929.0169201,20309897.0,20309897.0,0.7523487151403205,0.7523487151403205,0.40525394289370115,0.40525394289370115,0.7264696319530386,0.0,149159040.0,112990684.0,112990684.0,18577920.0,14397789.0,14397789.0,4639840.0,2298991.0,2298991.0,0.7523487151403205,0.0,0.3783761153571016,0.11782268263478612,0.0,0.7575181765717988,0.774994671093427,0.4954892841132453,98839200.0,74609924.0,74609924.0,74609924.0,0.0,77833913.60683155,99082240.0,699068339.36311,16339876065.71875,77833913.60683155,81883992.75440216,7108750.0,7108750.0,0.7548616743154538,0.7548616743154538,0.7855485867783323,0.7855485867783323,0.20684043271225946,0.0,94973440.0,73371155.0,73371155.0,3096320.0,1226805.0,1226805.0,769440.0,11964.0,11964.0,0.7548616743154538,0.0,0.0408759344517303,0.07192237492816615,0.0,0.7725439343883932,0.3962138926209177,0.015548970679975047,73537600.0,55077540.0,55077540.0,55077540.0,0.0,163086896.97760838,495411200.0,35704255264.23981,52637410687.1478,163086896.97760838,383978936.2625179,13201147.0,13201147.0,0.7489711385740084,0.7489711385740084,0.3291950141167749,0.3291950141167749,0.8235931590762192,0.0,54185600.0,39619529.0,39619529.0,15481600.0,13170984.0,13170984.0,3870400.0,2287027.0,2287027.0,0.7489711385740084,0.0,0.44587615153817584,0.17951560834185504,0.0,0.7311818822713045,0.8507508267879289,0.5909019739561803,"[0.3797938381315928, 0.40540878594042185, 0.4273164182957655]","[0.6993794510859721, 0.7285270784343134, 0.7649867585069019]","[0.7141891810574402, 0.7537619045878653, 0.7983992885676842]","[0.7557760917906899, 0.7750450679028731, 0.8339129082430853]","[0.16715501780100037, 0.2147853239568393, 0.23700530500498376]","[0.687672153307888, 0.7565993757951655, 0.8310567600013623]","[0.30357931812829214, 0.3290204510678603, 0.3501099473084771]","[0.7896448200426449, 0.8213682310688613, 0.8652582624815258]","[0.738031429234143, 0.7497000639619883, 0.7593640350877193]","{""cwe"": 0.0, ""fwe"": 0.1, ""niah_multikey_1"": 0.3, ""niah_multikey_2"": 0.1, ""niah_multikey_3"": 0.0, ""niah_multiquery"": 0.025, ""niah_multivalue"": 0.4, ""niah_single_1"": 0.5, ""niah_single_2"": 0.7, ""niah_single_3"": 0.6, ""qa_1"": 0.0, ""qa_2"": 0.0, ""vt"": 0.04}","10000 paired task-stratified prompt bootstrap draws, seed42; individual official scores rounded to1e-4"
full_centered_s75,full_centered,0.75,130,0.49782307692307687,0.8923076923076922,-0.3944846153846154,"[-0.46307615384615386, -0.3280769038461538]",1780,6505,0.2736356648731745,0.16153846153846155,0.5579051724137931,16,0,201478880.0,152908142.0,0.0,152908142.0,0.0,277615584.0459358,695500800.0,24655245727.644585,79776913511.96838,277615584.0459358,552768712.5635033,23292773.0,23292773.0,0.7589288862435606,0.7589288862435606,0.3991592591208174,0.3991592591208174,0.5559248053894017,0.0,174318560.0,135615122.0,135615122.0,21734400.0,14909912.0,14909912.0,5425920.0,2383108.0,2383108.0,0.0,0.0,0.3956187088750544,0.11560900576775095,0.0,0.7779729364446333,0.686005226737338,0.4392080974286388,115446880.0,88036667.0,0.0,88036667.0,0.0,95440697.99912453,115916800.0,693792564.2048905,20678228247.293457,95440697.99912453,98167888.67206955,8751369.0,8751369.0,0.7625729426382073,0.7625729426382073,0.8233551823301241,0.8233551823301241,0.18317160805200502,0.0,110926560.0,87403183.0,87403183.0,3622400.0,627707.0,627707.0,897920.0,5777.0,5777.0,0.0,0.0,0.02352713905961019,0.0758042919825984,0.0,0.7879373794698041,0.17328483878091872,0.006433758018531717,86032000.0,64871475.0,0.0,64871475.0,0.0,182174886.0468113,579584000.0,23961453163.439697,59098685264.67493,182174886.0468113,454600823.8914337,14541404.0,14541404.0,0.7540389041286963,0.7540389041286963,0.31432007447895616,0.31432007447895616,0.6367481129917869,0.0,63392000.0,48211939.0,48211939.0,18112000.0,14282205.0,14282205.0,4528000.0,2377331.0,2377331.0,0.0,0.0,0.4700370228381432,0.16902320066951831,0.0,0.7605366450025239,0.7885493043286219,0.5250289310954064,"[0.3624587892496687, 0.39192674927571525, 0.43114409348468774]","[0.538826500882035, 0.5558629936926343, 0.5767661216527]","[0.7317319532786382, 0.7540067588607994, 0.7964794993575625]","[0.7953615239997549, 0.8189271899982578, 0.857427104720105]","[0.1635135342379155, 0.1854141648676515, 0.20598130246134236]","[0.7152566821146782, 0.7539348639562711, 0.8278947679924242]","[0.27192011566604474, 0.3072500688124503, 0.3488803267530014]","[0.6152163113212039, 0.6357067435554511, 0.660151794038741]","[0.7472194353070176, 0.7537698739035088, 0.7617257639683448]","{""cwe"": 0.22, ""fwe"": 0.3667, ""niah_multikey_1"": 0.9, ""niah_multikey_2"": 0.8, ""niah_multikey_3"": 0.1, ""niah_multiquery"": 0.075, ""niah_multivalue"": 0.65, ""niah_single_1"": 0.8, ""niah_single_2"": 0.7, ""niah_single_3"": 0.4, ""qa_1"": 0.6, ""qa_2"": 0.5, ""vt"": 0.36}","10000 paired task-stratified prompt bootstrap draws, seed42; individual official scores rounded to1e-4"
jl_gaussian_r2_s75,jl_gaussian_r2,0.75,130,0.025,0.8923076923076922,-0.8673076923076922,"[-0.8999999999999999, -0.8365384615384613]",459,6343,0.07236323506227338,0.0,0.02801724137931035,10,0,191544480.0,144884496.0,0.0,144884496.0,0.0,255003233.29912135,659374080.0,35028277972.41598,78110189736.90237,255003233.29912135,513875441.4406967,22269524.0,22269524.0,0.7564013121129881,0.7564013121129881,0.38673530099806375,0.38673530099806375,0.6696618331310874,0.0,165795360.0,127982780.0,127982780.0,20605440.0,14106713.0,14106713.0,5143680.0,2795003.0,2795003.0,0.0,0.0,0.39260294875645607,0.11626293798704092,0.0,0.7719322181272141,0.6846111026990931,0.5433858638173448,109981280.0,82704408.0,0.0,82704408.0,0.0,89646776.00350761,109895680.0,704221801.1803828,20064711015.04492,89646776.00350761,92615647.37203026,8849539.0,8849539.0,0.7519862289291414,0.7519862289291414,0.8157443131841726,0.8157443131841726,0.18734334847738254,0.0,105696160.0,82041342.0,82041342.0,3434240.0,652668.0,652668.0,850880.0,10398.0,10398.0,0.0,0.0,0.027015360098983362,0.08046404806345225,0.0,0.776199835452868,0.19004728848304137,0.01222028958254983,81563200.0,62180088.0,0.0,62180088.0,0.0,165356457.29561374,549478400.0,34324056171.235596,58045478721.85745,165356457.29561374,421259794.06866646,13419985.0,13419985.0,0.7623546893697157,0.7623546893697157,0.30093349856084195,0.30093349856084195,0.7689801040028785,0.0,60099200.0,45941438.0,45941438.0,17171200.0,13454045.0,13454045.0,4292800.0,2784605.0,2784605.0,0.0,0.0,0.4657204664879506,0.1645348024599329,0.0,0.7644267810553219,0.7835238655423034,0.6486687010808796,"[0.3596667330188278, 0.38442114136667516, 0.40978186869513933]","[0.6565458079668968, 0.6695137647140172, 0.6825611608599624]","[0.7169063421828908, 0.7515257215871844, 0.8061749724669603]","[0.7877706537104677, 0.8108335080132861, 0.8474859185978615]","[0.17102469138829926, 0.1884483188299536, 0.20631416779003892]","[0.6886325964581625, 0.7451715180368135, 0.8331281565656566]","[0.2717275790127905, 0.29867029586720184, 0.32586306076615207]","[0.7533319978496674, 0.7670599182096657, 0.7857748632077637]","[0.754321134868421, 0.7624191337719298, 0.7713891173245615]","{""cwe"": 0.0, ""fwe"": 0.0, ""niah_multikey_1"": 0.3, ""niah_multikey_2"": 0.0, ""niah_multikey_3"": 0.0, ""niah_multiquery"": 0.0, ""niah_multivalue"": 0.025, ""niah_single_1"": 0.0, ""niah_single_2"": 0.0, ""niah_single_3"": 0.0, ""qa_1"": 0.0, ""qa_2"": 0.0, ""vt"": 0.0}","10000 paired task-stratified prompt bootstrap draws, seed42; individual official scores rounded to1e-4"
